!!SBtab TableType='Proteomaps' Organism='sce' DefaultProteinLength='350' ProteinURL='identifiers.org/sgd/'
!Protein:Identifier	!Abundance:[original]	!Abundance:[ppm]	!SizeWeightedAbundance:[original]	!SizeWeightedAbundance:[ppm]	!Protein:Size	!Protein:Name	!Identifiers:kegg.orthology	!Pathway	!Protein
YAL001C	947.57353	68.10731719329539	331650.74	57.29303234287596		TFC3	K15204	Transcription machinery	Tfc3p
YAL002W	1024.4411	73.6322118913014	358554.39	61.940667652211964					
YAL003W	13818.963	993.2448158650155	2874344.3	496.5461586018508	208.0	EFB1	K03232	Translation factors	translation elongation factor 1 subunit beta
YAL005C	9038.4981	649.6465314387768	5802715.8	1002.425575790717	642.0	Ssa1	K03283	Chaperones and folding catalysts	Hsp70 family ATPase SSA1
YAL007C	2969.2097	213.4134190634361	1039223.4	179.52699236453844		ERP2	K14825	Ribosome biogenesis	Erp2p
YAL008W	1740.3791	125.09061054109642	609132.69	105.22834626955162					
YAL009W	774.81653	55.69032218039952	271185.79	46.84764531928488					
YAL010C	763.52553	54.878775958303706	267233.94	46.16495885862994		MDM10	K17774	Mitochondrial biogenesis	Mdm10p
YAL011W	1255.4138	90.23348919997828	784633.62	135.5463261380567	625.0	SWC3	K11682	Chromosome-related	Swc3p
YAL012W	2290.4504	164.62725790610708	902437.46	155.89706986091102	394.0	CYS3	K01758	Amino acid metabolism	cystathionine gamma-lyase CYS3
YAL013W	1700.2746	122.20807972327323	595096.11	102.80351154153816					
YAL014C	1831.3507	131.6292393869039	466994.43	80.67380456299577	255.0	SYN8	K08501	SNARE interactions in vesicular transport	Syn8p
YAL015C	596.62225	42.882519972173114	238052.28	41.12379480092631	399.0	NTG1	K10773	Base excision repair	bifunctional N-glycosylase/AP lyase NTG1
YAL016W	3745.957	269.2425162946935	2378682.7	410.9200686979909	635.0	TPD3	K03456	mRNA surveillance pathway	protein phosphatase 2A structural subunit TPD3
YAL017W	2630.914	189.09824792834974	920819.9	159.07265671309466		PSK1	K08286	Other enzymes	Psk1p
YAL018C	137.77446	9.902607609094977	48221.061	8.330241649636587					
YAL019W	690.24498	49.61170010093025	241585.74	41.73420392608689		FUN30	K14439	Chromosome-related	Fun30p
YAL020C	899.94163	64.68375076904194	314979.57	54.41306927690004		ATS1	K15462	Transfer RNA biogenesis	Ats1p
YAL021C	1899.9007	136.55630461803207	1590216.9	274.7117292242072	837.0	CCR4	K12603	RNA degradation	Ccr4p
YAL022C	1083.6432	77.88739217605375	379275.12	65.52019668946966		FUN26	K15014	Alcoholism	Fun26p
YAL023C	5687.8963	408.8203661268073	4317113.3	745.7860999338038	759.0	PMT2	K00728	Glycan metabolism	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2
YAL024C	1171.9349	84.23340188089985	1681726.6	290.5201311647151	1435.0	LTE1	K06681	Cell cycle	Lte1p
YAL025C	472.59794	33.96821121045665	165409.28	28.574636163488815		MAK16	K14831	Ribosome biogenesis	Mak16p
YAL026C	1346.586	96.78653627022577	1824624.0	315.20581514634256	1355.0	DRS2	K14802	Ribosome biogenesis	aminophospholipid-translocating P4-type ATPase DRS2
YAL027W	455.02276	32.70498643571093	159257.97	27.511990553890428		SAW1	K15080	DNA repair and recombination proteins	Saw1p
YAL028W	408.2154	29.34068423269269	142875.39	24.681881729770954					
YAL029C	2127.2755	152.89898108068306	744546.43	128.62121970468942		MYO4	K10357	Messenger RNA Biogenesis	myosin 4
YAL030W	1771.2484	127.30935678091066	209007.31	36.10624409198515	118.0	SNC1	K08513	SNARE interactions in vesicular transport	SNAP receptor SNC1
YAL031C	1475.1654	106.02824438370969	516307.89	89.19275934874152					
YAL032C	874.08772	62.82548817167188	336523.77	58.1348536679175	385.0	PRP45	K06063	Spliceosome	Prp45p
YAL033W	2008.9319	144.39297616621855	347545.22	60.03882135185931	173.0	POP5	K03537	Ribosome biogenesis in eukaryotes	Pop5p
YAL034C	2083.0611	149.72104916302885	729071.39	125.94788941986239					
YAL034W-A	598.75146	43.03555799640026	173039.17	29.89270810429795	289.0	MTW1	K11559	Chromosome-related	Mtw1p
YAL035W	5235.5983	376.3112231667954	5256540.7	908.0732228631356	1004.0	FUN12	K03243	RNA transport	translation initiation factor eIF5B
YAL036C	1611.8137	115.84990868455249	564134.79	97.45490924944578					
YAL037C-A	83.638935	6.011589914034867	29273.627	5.0570514587251845					
YAL037W	236.60181	17.00587238035006	82810.633	14.305628489787273					
YAL038W	16854.32	1211.41260490603	8427160.0	1455.8012155757306	500.0	Pyk1	K00873	Glycolysis	pyruvate kinase CDC19
YAL039C	2654.1443	190.76793725641213	713964.82	123.33821273528777	269.0	CYC3	K01764	Cofactor biosynthesis	holocytochrome c synthase CYC3
YAL040C	3569.5738	256.564886359243	2070352.8	357.6557372721792	580.0	CLN3	K06646	Cell cycle	Cln3p
YAL041W	1209.8648	86.9596322457455	1033224.5	178.49067575109842	854.0	CDC24	K11236	MAPK signaling pathway	Cdc24p
YAL042W	2671.4183	192.009514569359	934996.4	161.52166277594492					
YAL043C	1538.3917	110.57266603831042	538437.09	93.01560313712555		Pta1	K06100	mRNA surveillance pathway	Pta1p
YAL044C	5102.131	366.71819481781574	1785745.9	308.48958034846584		Gcv3		Amino acid metabolism	glycine decarboxylase subunit H
YAL044W-A	2616.5886	188.0686027020623	915806.01	158.2065016671761					
YAL046C	2160.4484	155.2832997124218	756156.94	130.62694815549068					
YAL047C	376.05767	27.029331447936926	131620.18	22.737531747148086		Spc72		Cytoskeleton proteins	
YAL048C	846.12398	60.8155804971816	296143.39	51.159098337603375		GEM1	K07870	Mitochondrial biogenesis	ERMES complex Ca(2+)-binding regulatory GTPase GEM1
YAL049C	4562.5811	327.9377782934002	1596903.4	275.86682949855197					
YAL051W	1138.3132	81.81682552668508	398409.62	68.82570273889009					
YAL053W	2466.836	177.30506034274725	863392.6	149.15202708849608					
YAL054C	8972.9137	644.9326201777352	6397687.5	1105.207595367082	713.0	ACS1	K01895	Glycolysis	acetate--CoA ligase 1
YAL055W	1026.5269	73.78212980025964	359284.42	62.066781142570136					
YAL056W	1535.6387	110.37479279861245	537473.55	92.849150535863					
YAL058W	515.07483	37.02125873555448	258567.56	44.667832123331074	502.0	CNE1	K08054	Protein processing in endoplasmic reticulum	Cne1p
YAL059W	702.37856	50.48380717820395	245832.5	42.46783641559206					
YAL060W	1981.7337	142.43809205871642	757022.27	130.77643487057313	382.0	BDH1	K00004	Butanoate metabolism	(R,R)-butanediol dehydrogenase
YAL061W	818.38193	58.82160690133595	341265.26	58.95395131239561	417.0	BDH2	K00004	Butanoate metabolism	putative dehydrogenase BDH2
YAL062W	6454.9312	463.9513797935015	2949903.6	509.59911129149367	457.0	GDH3	K00262	Amino acid metabolism	glutamate dehydrogenase (NADP(+)) GDH3
YAL063C-A	180.70281	12.988104045487415	63245.984	10.925813724609858					
YAL064C-A	133.32567	9.582848622521809	46663.984	8.06125487481031					
YAL064W	132.75268	9.541664682233199	46463.438	8.026610331384191					
YAL064W-B	263.97944	18.973653108047973	92392.804	15.960959133759205					
YAL065C	257.08437	18.47806653382193	89979.529	15.544063206956045					
YAL067C	505.09078	36.30365019258081	176781.77	30.53924639589485					
YAL067W-A	89.908983	6.4622527221793575	31468.144	5.436156698948653					
YAR002C-A	4758.6943	342.0335117592687	1665543.0	287.7243963557888					
YAR002W	1479.909	106.36919298517402	517968.15	89.4795711010011		NUP60	K18718	Messenger RNA Biogenesis	Nup60p
YAR003W	879.93437	63.24571903868246	307977.03	53.2033727428224		SWD1	K14961	Chromosome-related	Swd1p
YAR007C	2341.4816	168.29515070293786	1454060.1	251.1904913517921	621.0	RFA1	K07466	DNA replication	Rfa1p
YAR008W	677.89408	48.72397304092819	186420.87	32.204411587614956	275.0	SEN34	K15323	Transfer RNA biogenesis	Sen34p
YAR014C	1401.8707	100.7601514880719	490654.74	84.76114929822076					
YAR015W	5625.5398	404.3384617783778	1721415.2	297.37638073449887	306.0	ADE1	K01923	Purine metabolism	phosphoribosylaminoimidazolesuccinocarboxamide synthase
YAR018C	1285.4382	92.39150783346457	1028350.6	177.64870413259413	800.0	KIN3	K08857	Chromosome-related	Kin3p
YAR019C	1007.0133	72.37958012711385	980830.95	169.43963200939567	974.0	CDC15	K06683	Cell cycle	Cdc15p
YAR023C	561.24051	40.33943987048358	196434.18	33.934221970939426					
YAR027W	98.096175	7.050711205677108	34333.661	5.93117793170713					
YAR028W	104.6744	7.523524388463953	36636.04	6.328916451791717					
YAR029W	1447.4192	104.03397250455683	506596.72	87.51514398476806					
YAR031W	357.26143	25.678342380395847	125041.5	21.601057497117974					
YAR033W	175.14318	12.588502883256384	61300.113	10.589662356040428					
YAR035C-A	247.48116	17.78783105463561	86618.406	14.963425489255236					
YAR035W	12253.043	880.6935396180681	8417840.5	1454.1912616376828	687.0	YAT1	K00624	Peroxisome	carnitine O-acetyltransferase YAT1
YAR042W	1475.6677	106.06434744520635	516483.7	89.22313072079454					
YAR050W	248.48565	17.86002927132439	86969.977	15.024159768557062		Flo1		Cell wall	
YAR068W	738.28441	53.064557945951634	258399.54	44.638806482398536					
YBL001C	3886.8121	279.36654643090185	1360384.2	235.00787596414662					
YBL002W	9310.7928	669.2178479813075	1219713.9	210.70692597204933	131.0	HTB2	K11252	Chromosome-related	histone H2B
YBL003C	10922.152	785.0350892530585	1441724.1	249.0594337006567	132.0	HTA2	K11251	Chromosome-related	histone H2A
YBL004W	3478.9168	250.0488695443869	1217620.9	210.34535790591553		UTP20	K14772	Ribosome biogenesis	Utp20p
YBL005W	542.86467	39.01866726134026	190002.63	32.823164591224774					
YBL006C	2525.6507	181.53239606046037	454617.13	78.53561229115739	180.0	LDB7	K11764	Transcription machinery	Ldb7p
YBL007C	2955.288	212.41278997476803	1034350.8	178.68524532247275					
YBL008W	838.77235	60.28717844663282	704568.77	121.71503470002912	840.0	HIR1	K11293	Chromosome-related	Hir1p
YBL008W-A	105.80399	7.604714229666434	37031.397	6.397214811047549					
YBL009W	1307.6025	93.98457788309688	457660.88	79.06142347190021		ALK2	K16315	Chromosome-related	Alk2p
YBL010C	674.57358	48.48531045741308	236100.75	40.78666583384458					
YBL011W	3273.4946	235.28404708892577	2484582.4	429.2143590626102	759.0	SCT1	K13507	Lipid and steroid metabolism	bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1
YBL013W	338.35395	24.319357882711653	135679.93	23.438858052206204	401.0	FMT1	K00604	Other central metabolism enzymes	Fmt1p
YBL014C	1168.8054	84.00846751706592	409081.89	70.66934919142598		RRN6	K15218	Transcription machinery	Rrn6p
YBL015W	20174.525	1450.0539851499097	10611800.0	1833.2001931192167	526.0	ACH1	K01067	Glycolysis	Ach1p
YBL016W	134.13398	9.640946304461607	47349.295	8.179643108432007	353.0	Fus3	K04371	MAPK signaling pathway	mitogen-activated serine/threonine-protein kinase FUS3
YBL017C	3012.1138	216.4971725190575	1054239.8	182.12109208183008					
YBL018C	2965.5731	213.1520366357261	1037950.6	179.3071147560458		Pop8	K14528	Ribosome biogenesis in eukaryotes	Pop8p
YBL019W	830.70134	59.707070601978	431964.7	74.62237994126204	520.0	APN2	K10772	Base excision repair	DNA-(apurinic or apyrimidinic site) lyase APN2
YBL020W	2077.6042	149.32883177047245	1192544.8	206.0134338814638	574.0	RFT1	K06316	Carbohydrate metabolism	Rft1p
YBL021C	1247.9174	89.69468173391513	436771.09	75.45268913255912					
YBL022C	4645.0746	333.867039499003	5262869.5	909.1665300666461	1133.0	PIM1	K08675	Mitochondrial biogenesis	ATP-dependent Lon protease PIM1
YBL023C	2015.9294	144.89592494747046	1749826.7	302.2844987999361	868.0	MCM2	K02540	DNA replication	MCM DNA helicase complex subunit MCM2
YBL024W	1953.5264	140.41067838849028	683734.24	118.11584658683927		NCL1	K15334	Transfer RNA biogenesis	Ncl1p
YBL025W	623.23263	44.795154225785204	218131.42	37.682444191312406		RRN10	K15221	Transcription machinery	Rrn10p
YBL026W	3173.4977	228.0967203316595	304655.78	52.62962312999544	96.0	LSM2	K12621	RNA degradation	Sm-like protein LSM2
YBL027W	11620.637	835.2390448761739	2196300.4	379.4133245469961	189.0	RPL19B	K02885	Ribosome	ribosomal 60S subunit protein L19B
YBL028C	719.63183	51.723894512124694	251871.14	43.51101815800875					
YBL029C-A	2914.2102	209.46030273696732	1019973.6	176.20156811252593					
YBL029W	2292.8103	164.79687688844027	802483.6	138.62992993601503					
YBL030C	18007.639	1294.3079797462858	6302673.6	1088.7938389987928		Pet9	K05863	Transport	ADP/ATP carrier protein PET9
