Systematic name	Abundance (data value)	Abundance [ppm]	Size-weighted abundance	Size-weighted abundance [ppm]	Size	Gene name	KO number	KO category
4155	25900000.0	75.1247645995	9065000000.0	75.1247645995	350			
121506	1171200.0	3.39714765633	409920000.0	3.39714765633	350			
12954	60600000.0	175.774545742	21210000000.0	175.774545742	350	CryAa	K09541	Chaperones and folding catalysts
Abpa	1630000000.0	4727.92920066	5.705e+11	4727.92920066	350			
14077	44500000.0	129.075367748	15575000000.0	129.075367748	350	FabP3	K08752	PPAR signaling pathway
1415	39800000.0	115.442688458	13930000000.0	115.442688458	350			
10815	331330.0	0.961045878562	115965500.0	0.961045878562	350			
12955	77300000.0	224.214065774	27055000000.0	224.214065774	350	CryAb	K09542	Chaperones and folding catalysts
380684	21900000.0	63.5224843525	7665000000.0	63.5224843525	350	NefH	K04574	Cytoskeleton proteins
226180	4183100.0	12.1333746253	1464085000.0	12.1333746253	350	Ina	K07608	Cytoskeleton proteins
18039	8940500.0	25.9325466371	3129175000.0	25.9325466371	350	NefL	K04572	Cytoskeleton proteins
4151	409000000.0	1186.33315526	1.4315e+11	1186.33315526	350			
Abpg	3210000000.0	9310.82989824	1.1235e+12	9310.82989824	350			
20617	40500000.0	117.473087501	14175000000.0	117.473087501	350	SncA	K04528	Alzheimer's disease
5354	748730.0	2.17174382234	262055500.0	2.17174382234	350			
1417	929450.0	2.6959348439	325307500.0	2.6959348439	350			
Bpifa2	23400000.0	67.8733394451	8190000000.0	67.8733394451	350			
Try5	1123400.0	3.25850040738	393190000.0	3.25850040738	350			
845	408390.0	1.18456380752	142936500.0	1.18456380752	350			
21956	4039300.0	11.7162726505	1413755000.0	11.7162726505	350	TnnT2	K12045	Cytoskeleton proteins
10409	2289300.0	6.64027504238	801255000.0	6.64027504238	350			
22349	25700000.0	74.5446505871	8995000000.0	74.5446505871	350	Vil1	K05761	Cytoskeleton proteins
218038	836210.0	2.42548569134	292673500.0	2.42548569134	350	AmpH	K12562	Fc gamma R-mediated phagocytosis
21954	1709500.0	4.95852452057	598325000.0	4.95852452057	350	TnnI3	K12044	Cytoskeleton proteins
66473	12600000.0	36.5471827781	4410000000.0	36.5471827781	350	CtrB1	K01310	Peptidases
19752	23700000.0	68.7435104636	8295000000.0	68.7435104636	350	RnaSe1	K01168	Other enzymes
Amy2;Amy2a2	201000000.0	583.014582413	70350000000.0	583.014582413	350			
21924	8387600.0	24.32882145	2935660000.0	24.32882145	350	TnnC1	K05865	Calcium signaling pathway
342898	1584600.0	4.59624331986	554610000.0	4.59624331986	350			
16204	15400000.0	44.668778951	5390000000.0	44.668778951	350	FabP6	K08755	PPAR signaling pathway
5948	11100000.0	32.1963276855	3885000000.0	32.1963276855	350			
22003	137000000.0	397.378098461	47950000000.0	397.378098461	350	Tpm1	K10373	Cytoskeleton proteins
22003	2730000000.0	7918.55626859	9.555e+11	7918.55626859	350	Tpm1	K10373	Cytoskeleton proteins
22003	906570.0	2.62956980089	317299500.0	2.62956980089	350	Tpm1	K10373	Cytoskeleton proteins
22072	1001800.0	2.90579108787	350630000.0	2.90579108787	350	PrsS2	K01312	Peptidases
374897	1996700.0	5.79156824231	698845000.0	5.79156824231	350			
12716	361000000.0	1047.10579229	1.2635e+11	1047.10579229	350	CkmT1	K00933	Arginine and proline metabolism
5816	2610000000.0	7570.48786118	9.135e+11	7570.48786118	350			
17906	38400000.0	111.381890371	13440000000.0	111.381890371	350	Myl2	K10351	Regulation of actin cytoskeleton
17906	353140.0	1.02430731161	123599000.0	1.02430731161	350	Myl2	K10351	Regulation of actin cytoskeleton
12409	70600000.0	204.78024636	24710000000.0	204.78024636	350	Cbr2	K00079	Arachidonic acid metabolism
5334	255000000.0	739.645365748	89250000000.0	739.645365748	350			
56727	879660.0	2.55151546052	307881000.0	2.55151546052	350	MioX	K00469	Ascorbate and aldarate metabolism
109901	615130.0	1.78422766209	215295500.0	1.78422766209	350	CelA1	K01326	Peptidases
12613	6108800.0	17.7190023933	2138080000.0	17.7190023933	350	Cel	K12298	Steroid biosynthesis
793	4443600.0	12.8889731264	1555260000.0	12.8889731264	350			
794	998600.0	2.89650926367	349510000.0	2.89650926367	350			
22227	2348200.0	6.81111861902	821870000.0	6.81111861902	350	Ucp1	K08769	PPAR signaling pathway
51778	310880.0	0.901729220799	108808000.0	0.901729220799	350			
109697	15800000.0	45.8290069757	5530000000.0	45.8290069757	350	Cpa1	K08779	Chaperones and folding catalysts
55948	19800000.0	57.4312872228	6930000000.0	57.4312872228	350	Sfn	K06644	Cell cycle
8857	2476200.0	7.18239158692	866670000.0	7.18239158692	350			
7447	2608300.0	7.56555689208	912905000.0	7.56555689208	350			
Klk1b26;Egfbp2	1610000000.0	4669.91779943	5.635e+11	4669.91779943	350			
4975	1340500.0	3.88821416778	469175000.0	3.88821416778	350			
1264	110000000.0	319.062706793	38500000000.0	319.062706793	350			
1411	737900.0	2.14033064857	258265000.0	2.14033064857	350			
7356	10200000.0	29.5858146299	3570000000.0	29.5858146299	350			
16612	8000000000.0	23204.560494	2.8e+12	23204.560494	350	Klk1	K01325	Peptidases
14120	58700000.0	170.263462625	20545000000.0	170.263462625	350	Fbp2	K03841	Glycolysis / Gluconeogenesis
17897	20800000.0	60.3318572845	7280000000.0	60.3318572845	350	Myl3	K12749	Cytoskeleton proteins
Try4	5869100.0	17.0237357495	2054185000.0	17.0237357495	350			
29818	759910.0	2.20417219563	265968500.0	2.20417219563	350	HspB7	K09546	Chaperones and folding catalysts
107753	16100000.0	46.6991779943	5635000000.0	46.6991779943	350	LgaLs2	K10090	Glycan bindng proteins
140781	10600000.0	30.7460426546	3710000000.0	30.7460426546	350	Myh7	K10352	Cytoskeleton proteins
22004	482000000.0	1398.07476977	1.687e+11	1398.07476977	350	Tpm2	K10374	Cytoskeleton proteins
22004	137000000.0	397.378098461	47950000000.0	397.378098461	350	Tpm2	K10374	Cytoskeleton proteins
1113	3304400.0	9.58464371207	1156540000.0	9.58464371207	350			
Adh6a	2056000.0	5.96357204697	719600000.0	5.96357204697	350			
6876	707000000.0	2050.70303366	2.4745e+11	2050.70303366	350			
76703	14800000.0	42.928436914	5180000000.0	42.928436914	350	Cpb1	K01291	Peptidases
18040	13700000.0	39.7378098461	4795000000.0	39.7378098461	350	NefM	K04573	Cytoskeleton proteins
17888	13900000.0	40.3179238584	4865000000.0	40.3179238584	350	Myh6	K10352	Cytoskeleton proteins
14580	1169100.0	3.3910564592	409185000.0	3.3910564592	350	GfaP	K05640	Cytoskeleton proteins
233335	16700000.0	48.4395200313	5845000000.0	48.4395200313	350	SynM	K10376	Cytoskeleton proteins
18946	3975500.0	11.5312162805	1391425000.0	11.5312162805	350	PnlIprp1	K14074	Glycerolipid metabolism
20259	1794000.0	5.20362269079	627900000.0	5.20362269079	350	SciN	K05768	Regulation of actin cytoskeleton
17901	691000000.0	2004.29391267	2.4185e+11	2004.29391267	350	Myl1	K05738	Cytoskeleton proteins
17901	47000000.0	136.326792903	16450000000.0	136.326792903	350	Myl1	K05738	Cytoskeleton proteins
10551	154000000.0	446.68778951	53900000000.0	446.68778951	350			
29114	540990.0	1.56917939771	189346500.0	1.56917939771	350			
11847	418910.0	1.21507780457	146618500.0	1.21507780457	350	Arg2	K01476	Arginine and proline metabolism
17287	793070.0	2.30035509888	277574500.0	2.30035509888	350	Mep1a	K01395	Peptidases
69191	43300000.0	125.594683674	15155000000.0	125.594683674	350	PdiA2	K09581	Chaperones and folding catalysts
200504	1145700.0	3.32318311975	400995000.0	3.32318311975	350			
17907	1430000000.0	4147.81518831	5.005e+11	4147.81518831	350	MylPf	K12758	Regulation of actin cytoskeleton
6345	56900000.0	165.042436514	19915000000.0	165.042436514	350			
18645	12600000.0	36.5471827781	4410000000.0	36.5471827781	350	Pfn2	K05759	Cytokinesis
27295	7770100.0	22.5377194368	2719535000.0	22.5377194368	350			
11770	235000000.0	681.633964513	82250000000.0	681.633964513	350	FabP4	K08753	PPAR signaling pathway
69060	5087100.0	14.7554899612	1780485000.0	14.7554899612	350	PnlIp	K14073	Glycerolipid metabolism
68738	73400000.0	212.901842533	25690000000.0	212.901842533	350	AcsS1	K01895	Glycolysis / Gluconeogenesis
6295	508370.0	1.47456280229	177929500.0	1.47456280229	350			
6623	73400000.0	212.901842533	25690000000.0	212.901842533	350			
17896	430090.0	1.24750617786	150531500.0	1.24750617786	350	Myl4	K12750	Cytoskeleton proteins
AI747448	222110.0	0.644245616417	77738500.0	0.644245616417	350			
21953	616000000.0	1786.75115804	2.156e+11	1786.75115804	350	TnnI2	K12043	Cytoskeleton proteins
11636	211000000.0	612.02028303	73850000000.0	612.02028303	350	Ak1	K00939	Purine metabolism
17075	6990300.0	20.2758549027	2446605000.0	20.2758549027	350	EpcAm	K06737	Cellular antigens
Lgals4;Lgals6	248130.0	0.719718449423	86845500.0	0.719718449423	350			
67041	298000000.0	864.369878403	1.043e+11	864.369878403	350	OxcT1	K01027	Butanoate metabolism
5276	1055900.0	3.06271192821	369565000.0	3.06271192821	350			
56287	4217400.0	12.2328641784	1476090000.0	12.2328641784	350			
6276	1367600.0	3.96681961646	478660000.0	3.96681961646	350			
Car1;Ca1	49000000.0	142.127933026	17150000000.0	142.127933026	350			
12180	9472300.0	27.475069796	3315305000.0	27.475069796	350	SmyD1	K11426	Chromosome-related
76722	4373800.0	12.6865133361	1530830000.0	12.6865133361	350	CkmT2	K00933	Arginine and proline metabolism
103968	14900000.0	43.2184939202	5215000000.0	43.2184939202	350	PliN1	K08768	PPAR signaling pathway
12865	30300000.0	87.8872728712	10605000000.0	87.8872728712	350	Cox7a1	K02270	Oxidative phosphorylation
266629	2585500.0	7.49942389467	904925000.0	7.49942389467	350			
12709	89000000.0	258.150735496	31150000000.0	258.150735496	350	Ckb	K00933	Arginine and proline metabolism
12036	331000000.0	960.088690441	1.1585e+11	960.088690441	350	BcaT2	K00826	Valine, leucine and isoleucine degradation
18951	12500000.0	36.2571257719	4375000000.0	36.2571257719	350	SepT5	K04557	Parkinson's disease
16765	17100000.0	49.599748056	5985000000.0	49.599748056	350	StmN1	K04381	MAPK signaling pathway
67868	315040.0	0.913795592256	110264000.0	0.913795592256	350	CelA3b	K01345	Peptidases
Ren1;Ren2	818600.0	2.37440665255	286510000.0	2.37440665255	350			
