!!SBtab TableType='Proteomaps' Organism='sce' DefaultProteinLength='350' ProteinURL='identifiers.org/sgd/'
!Protein:Identifier	!Abundance:[original]	!Abundance:[ppm]	!SizeWeightedAbundance:[original]	!SizeWeightedAbundance:[ppm]	!Protein:Size	!Protein:Name	!Identifiers:kegg.orthology	!Pathway	!Protein
YAL001C	838.96534	73.41034694961972	293637.87	62.121234599177924		TFC3	K15204	Transcription machinery	Tfc3p
YAL002W	1089.714	95.35111762287808	381399.9	80.68793260216401					
YAL003W	11049.165	966.8135231350499	2298226.3	486.20654803244776	208.0	EFB1	K03232	Translation factors	translation elongation factor 1 subunit beta
YAL005C	7407.9256	648.2012576025725	4755888.2	1006.1428609316026	642.0	Ssa1	K03283	Chaperones and folding catalysts	Hsp70 family ATPase SSA1
YAL007C	2070.4862	181.1697135145055	724670.17	153.30926367772707		ERP2	K14825	Ribosome biogenesis	Erp2p
YAL008W	2114.4436	185.01603210616892	740055.26	156.56409175974343					
YAL009W	631.38075	55.246477661176215	220983.26	46.7506215630536					
YAL010C	555.19242	48.579918898674634	194317.35	41.10925367371915		MDM10	K17774	Mitochondrial biogenesis	Mdm10p
YAL011W	887.37404	77.64615895870708	554608.78	117.3315353811273	625.0	SWC3	K11682	Chromosome-related	Swc3p
YAL012W	1414.3068	123.75332797563058	557236.88	117.88752911807308	394.0	CYS3	K01758	Amino acid metabolism	cystathionine gamma-lyase CYS3
YAL013W	1294.0241	113.22846560284529	452908.44	95.81608616486592					
YAL014C	1524.6804	133.4111337081994	388793.5	82.2521026464859	255.0	SYN8	K08501	SNARE interactions in vesicular transport	Syn8p
YAL015C	453.57637	39.688407973861096	180976.97	38.286998916108416	399.0	NTG1	K10773	Base excision repair	bifunctional N-glycosylase/AP lyase NTG1
YAL016W	3281.2239	287.11053178714667	2083577.2	440.79596424908766	635.0	TPD3	K03456	mRNA surveillance pathway	protein phosphatase 2A structural subunit TPD3
YAL017W	2979.4241	260.7027328340626	1042798.4	220.61161268486035		PSK1	K08286	Other enzymes	Psk1p
YAL018C	131.85237	11.537220629197424	46148.329	9.763015826838158					
YAL019W	476.5299	41.69686591685372	166785.46	35.28468139477992		FUN30	K14439	Chromosome-related	Fun30p
YAL020C	744.92091	65.18136071405101	260722.32	55.15770975304356		ATS1	K15462	Transfer RNA biogenesis	Ats1p
YAL021C	1608.6026	140.75441420507354	1346400.4	284.84083171161467	837.0	CCR4	K12603	RNA degradation	Ccr4p
YAL022C	920.07135	80.5072078685694	322024.97	68.12673279561398		FUN26	K15014	Alcoholism	Fun26p
YAL023C	4760.3286	416.53374395680936	3613089.4	764.3754337449832	759.0	PMT2	K00728	Glycan metabolism	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2
YAL024C	1066.9918	93.36290129744722	1531133.2	323.92240387723155	1435.0	LTE1	K06681	Cell cycle	Lte1p
YAL025C	374.63077	32.78058519521579	131120.77	27.73955591625443		MAK16	K14831	Ribosome biogenesis	Mak16p
YAL026C	1095.5359	95.86053997744877	1484451.1	314.0464648994618	1355.0	DRS2	K14802	Ribosome biogenesis	aminophospholipid-translocating P4-type ATPase DRS2
YAL027W	380.45168	33.289920923748404	133158.09	28.170565832222007		SAW1	K15080	DNA repair and recombination proteins	Saw1p
YAL028W	426.73109	37.33941782516236	149355.88	31.597326530963684					
YAL029C	1836.773	160.71956345382975	642870.55	136.0039570286099		MYO4	K10357	Messenger RNA Biogenesis	myosin 4
YAL030W	2066.4555	180.81702303810297	243841.75	51.58650196183515	118.0	SNC1	K08513	SNARE interactions in vesicular transport	SNAP receptor SNC1
YAL031C	1222.5222	106.9719743793139	427882.77	90.52172301929615					
YAL032C	747.32048	65.39132560512732	287718.38	60.86892328457301	385.0	PRP45	K06063	Spliceosome	Prp45p
YAL033W	1897.4973	166.0330033764764	328267.03	69.44728614808906	173.0	POP5	K03537	Ribosome biogenesis in eukaryotes	Pop5p
YAL034C	1624.4274	142.13910079821497	568549.59	120.28081548764953					
YAL034W-A	529.34826	46.31852779970327	152981.65	32.36438463819169	289.0	MTW1	K11559	Chromosome-related	Mtw1p
YAL035W	3931.2584	343.98923213276834	3946983.4	835.0131464666356	1004.0	FUN12	K03243	RNA transport	translation initiation factor eIF5B
YAL036C	1393.2421	121.91014463817632	487634.73	103.16268627420838					
YAL037C-A	93.229556	8.15768390613014	32630.345	6.903187646733414					
YAL037W	206.9911	18.111938291137783	72446.885	15.3266672962335					
YAL038W	15399.24	1347.4496469192184	7699620.0	1628.9108088971027	500.0	Pyk1	K00873	Glycolysis	pyruvate kinase CDC19
YAL039C	2570.0075	224.87835103906056	691332.02	146.25633471712476	269.0	CYC3	K01764	Cofactor biosynthesis	holocytochrome c synthase CYC3
YAL040C	3269.619	286.09509086879405	1896379.0	401.1928187190379	580.0	CLN3	K06646	Cell cycle	Cln3p
YAL041W	1313.7383	114.95347877422873	1121932.5	237.3530091229111	854.0	CDC24	K11236	MAPK signaling pathway	Cdc24p
YAL042W	2405.4938	210.48322978772777	841922.83	178.11491970308117					
YAL043C	1167.6192	102.16790431060885	408666.72	86.45642738791341		Pta1	K06100	mRNA surveillance pathway	Pta1p
YAL044C	5967.5282	522.1649747695651	2088634.9	441.86595759916975		Gcv3		Amino acid metabolism	glycine decarboxylase subunit H
YAL044W-A	2784.8366	243.67612254875672	974692.81	206.20337803207042					
YAL046C	2289.0668	200.29574520784823	801173.38	169.4940761339684					
YAL047C	300.4777	26.29211381679218	105167.2	22.248888753138907		Spc72		Cytoskeleton proteins	
YAL048C	703.11729	61.52350013074006	246091.05	52.06235779399988		GEM1	K07870	Mitochondrial biogenesis	ERMES complex Ca(2+)-binding regulatory GTPase GEM1
YAL049C	4576.2535	400.42697969431197	1601688.7	338.8489348718961					
YAL051W	1063.7208	93.07668536763038	372302.28	78.76326468956074					
YAL053W	1577.816	138.0605544236919	552235.6	116.82947183078865					
YAL054C	2415.6868	211.37512797562843	1722384.7	364.3830546064603	713.0	ACS1	K01895	Glycolysis	acetate--CoA ligase 1
YAL055W	1004.6477	87.90772717635447	351626.7	74.38919483387737					
YAL056W	1491.0241	130.46617216778523	521858.44	110.40296191632576					
YAL058W	528.05557	46.205416069249296	265083.9	56.08043383629306	502.0	CNE1	K08054	Protein processing in endoplasmic reticulum	Cne1p
YAL059W	487.55346	42.661438975640564	170643.71	36.100922342830245					
YAL060W	2973.3284	260.1693526923981	1135811.4	240.28919171706536	382.0	BDH1	K00004	Butanoate metabolism	(R,R)-butanediol dehydrogenase
YAL061W	791.26558	69.23656793389353	329957.75	69.80497030429657	417.0	BDH2	K00004	Butanoate metabolism	putative dehydrogenase BDH2
YAL062W	9171.158	802.4859414451859	4191219.2	886.6830125820584	457.0	GDH3	K00262	Amino acid metabolism	glutamate dehydrogenase (NADP(+)) GDH3
YAL063C-A	151.22945	13.232735447092686	52930.308	11.19779298451778					
YAL064C-A	124.51072	10.89481855608833	43578.752	9.219403057689371					
YAL064W	124.69112	10.91060374524729	43641.892	9.23276078553487					
YAL064W-B	239.83493	20.98580785463409	83942.226	17.75859058684499					
YAL065C	220.90478	19.329399880368616	77316.673	16.35690649118564					
YAL067C	216.97469	18.985512884460977	75941.141	16.06590265686864					
YAL067W-A	95.458145	8.352687780423809	33410.351	7.068203609132156					
YAR002C-A	3669.4078	321.0770300685375	1284292.7	271.70149446565466					
YAR002W	1303.2243	114.03349274974255	456128.51	96.49731547597547		NUP60	K18718	Messenger RNA Biogenesis	Nup60p
YAR003W	574.24105	50.24669399717266	200984.37	42.51971041588735		SWD1	K14961	Chromosome-related	Swd1p
YAR007C	1281.4722	112.13016119151295	795794.24	168.3560798057638	621.0	RFA1	K07466	DNA replication	Rfa1p
YAR008W	338.93714	29.657355143553165	93207.713	19.71877198852398	275.0	SEN34	K15323	Transfer RNA biogenesis	Sen34p
YAR014C	1205.3993	105.47370267504584	421889.76	89.25385801208431					
YAR015W	5669.6217	496.09784364881244	1734904.2	367.0316462086416	306.0	ADE1	K01923	Purine metabolism	phosphoribosylaminoimidazolesuccinocarboxamide synthase
YAR018C	1084.2911	94.87660818668004	867432.88	183.51175697303808	800.0	KIN3	K08857	Chromosome-related	Kin3p
YAR019C	891.2913	77.98892331616177	868117.73	183.65664198911333	974.0	CDC15	K06683	Cell cycle	Cdc15p
YAR023C	532.89591	46.6289508946023	186513.57	39.458307056580246					
YAR027W	93.49684	8.181071536391578	32723.894	6.92297862047777					
YAR028W	107.53549	9.409468131660077	37637.421	7.9624711201216165					
YAR029W	1141.5398	99.88592946497587	399538.93	84.52537679160568					
YAR031W	296.58075	25.951126605633586	103803.26	21.960337291029465					
