!!SBtab TableType='Proteomaps' Organism='hsa' ProteinIdentifier='http://identifiers.org/uniprot/'
!ProteinIdentifier	!Abundance[original])	!Abundance[ppm]	!SizeWeightedAbundance[original]	!SizeWeightedAbundance[ppm]	!ProteinSize	!ProteinName	!Identifiers:kegg.orthology	!Pathway
P60709	447170470.0	9528.98557565	1.6768893e+11	10227.8407252	375.0	ActB		Cytoskeleton proteins
P68363	238561400.0	5083.62759175	1.0759119e+11	6562.30291861	451.0	TubA1b	K07374	Cytoskeleton proteins
P62805	1225945500.0	26124.3033021	1.2627239e+11	7701.72421587	103.0	HisT2h4a	K11254	Chromosome-related
P00352	3007899.0	64.0968670942	1506957400.0	91.9137611941	501.0	AldH1a1	K07249	Cofactor biosynthesis
P05783	2486084.2	52.9772470925	1069016200.0	65.2024401748	430.0	Krt18	K07604	Cytoskeleton proteins
Q71DI3	551475940.0	11751.684492	75000728000.0	4574.51484878	136.0	HisT2h3d	K11253	Chromosome-related
P0C0S8	883419020.0	18825.2303396	1.1484447e+11	7004.70178523	130.0	HisT1h2ag	K11251	Chromosome-related
P07355-2	90406763.0	1926.52421921	31642367000.0	1929.96096907	350			
P68104	413987040.0	8821.86279579	1.9126201e+11	11665.6321623	462.0	Eef1a1	K03231	Translation factors
P62807	506527360.0	10793.8520786	63822447000.0	3892.7186345	126.0	HisT1h2bc	K11252	Chromosome-related
P14618	177673550.0	3786.13707458	94344655000.0	5754.3578137	531.0	Pkm2	K00873	Glycolysis
P14618	529185.34	11.27668263	280997420.0	17.1388585756	531.0	Pkm2	K00873	Glycolysis
P04406	332538740.0	7086.239073	1.1140048e+11	6794.64271228	335.0	GapDh	K00134	Glycolysis
P07737	256050370.0	5456.30905004	35847052000.0	2186.41706596	140.0	Pfn1	K05759	Regulation of actin cytoskeleton
P23528	191944060.0	4090.23471311	39156588000.0	2388.27539425	204.0	Cfl1	K05765	Regulation of actin cytoskeleton
P62979	173600170.0	3699.33532476	27081627000.0	1651.78803118	156.0	Rps27a	K02977	Ribosome
P06733	265400170.0	5655.5487479	1.1518367e+11	7025.39059023	434.0	Eno1	K01689	RNA degradation
P06733	277577.77	5.91504749062	120468750.0	7.34774315375	434.0	Eno1	K01689	RNA degradation
Q06830	185076930.0	3943.8995074	36830309000.0	2246.38880046	199.0	PrdX1	K13279	Peroxisome
P15121	2833576.0	60.3821286131	895410020.0	54.6136889796	316.0	Akr1b1	K00011	Carbohydrate metabolism
P62937	234599790.0	4999.20760636	38708965000.0	2360.97355179	165.0	PpiA	K03767	Chaperones and folding catalysts
P08670	1488540.7	31.7200795014	693659970.0	42.3083604304	466.0	Vim	K07606	Cytoskeleton proteins
P68371	234402860.0	4995.01112368	1.0430927e+11	6362.12897134	445.0	TubB2c	K07375	Cytoskeleton proteins
P08238	281206010.0	5992.36352319	2.0359315e+11	12417.7446355	724.0	Hsp90ab1	K04079	Chaperones and folding catalysts
P52895	115263.23	2.45620346101	37230023.0	2.27076853219	323.0	Akr1c2	K00089	Lipid and steroid metabolism
P04083	8383954.0	178.657988603	2934383900.0	178.976699034	350			
P00338	113072720.0	2409.52475659	40819252000.0	2489.68615865	361.0	LdhA	K00016	Glycolysis
O43707	38374814.0	817.74865204	34959456000.0	2132.27997703	911.0	ActN4	K05699	Focal adhesion
O60218	439399.31	9.36338592963	138850180.0	8.4688805976	316.0	Akr1b10	K00100	Carbohydrate metabolism
P06703	304703220.0	6493.07765836	1.0664613e+11	6504.66093142	350			
P09382	136222560.0	2902.83660573	18390046000.0	1121.66295901	135.0	LgaLs1	K06830	CAM ligands
P42330	960343.71	20.4644581299	310191020.0	18.9194620477	323.0	Akr1c3	K00089	Lipid and steroid metabolism
P07195	158339200.0	3374.13146459	52885293000.0	3225.6294647	334.0	LdhB	K00016	Glycolysis
P11142	156905430.0	3343.57852211	1.0136091e+11	6182.29982888	646.0	HspA8	K03283	Chaperones and folding catalysts
P60866	131968900.0	2812.19317665	18739584000.0	1142.98230902	142.0	Rps20	K02969	Ribosome
Q53HE2	220591230.0	4700.69199513	63089092000.0	3847.98915752	286.0	Tpi1	K01803	Glycolysis
P62826	123107740.0	2623.36615992	28684103000.0	1749.52775255	233.0	Ran	K07936	RNA transport
P63104	138462390.0	2950.5662954	34061748000.0	2077.5261275	246.0	YwhAz	K06630	Cell cycle
P11413	8685858.1	185.091418374	4473216900.0	272.834646763	515.0	G6pD	K00036	Pentose phosphate metabolism
P62263	97509591.0	2077.88203485	34128357000.0	2081.58880619	350			
P29401	39447042.0	840.59731006	33727221000.0	2057.1223425	855.0	Tkt	K00615	Pentose phosphate metabolism
P05387	206806050.0	4406.93650323	23782696000.0	1450.57653302	115.0	RplP2	K02943	Ribosome
B4DNM7	9781764.2	208.444645207	3423617500.0	208.816494292	350			
P06748	220822780.0	4705.62621319	64921897000.0	3959.77732159	294.0	Npm1	K11276	Chromosome-related
P09211	111876940.0	2384.04326544	23494157000.0	1432.97769131	210.0	GstP1	K00799	Cofactor biosynthesis
P22626	124965960.0	2662.96392579	44112984000.0	2690.58055452	353.0			
P10599	214671300.0	4574.54116147	22540486000.0	1374.81049391	105.0	Txn	K03671	Chaperones and folding catalysts
P04792	85350673.0	1818.78139648	17496888000.0	1067.18662735	205.0	HspB1	K04455	Chaperones and folding catalysts
P16403	172956720.0	3685.62371771	36839781000.0	2246.96652558	213.0	HisT1h1c	K11275	Chromosome-related
P63241	165036910.0	3516.85641237	35317899000.0	2154.14246917	214.0	Eif5a	K03263	Translation factors
P62888	132284200.0	2818.91206655	15212683000.0	927.866250488	115.0	Rpl30	K02908	Ribosome
P09429	124385840.0	2650.60185029	26867341000.0	1638.7180982	216.0	HmgB1	K10802	Chromosome-related
P26447	510366.75	10.8756676152	178628360.0	10.895068715	350			
P04075	141090960.0	3006.5798457	51357109000.0	3132.42103078	364.0	AldOa	K01623	Glycolysis
Q07020	118844220.0	2532.51261902	22342713000.0	1362.74773733	188.0	Rpl18	K02883	Ribosome
P62857	85801277.0	1828.38354891	10381955000.0	633.225950911	121.0	Rps28	K02979	Ribosome
P25398	129469100.0	2758.92365252	17089921000.0	1042.36451383	132.0	Rps12	K02951	Ribosome
P62750	128769140.0	2744.00784481	24981213000.0	1523.67760762	194.0	Rpl23a	K02893	Ribosome
P62280	103066750.0	2196.30239465	16284546000.0	993.242325362	158.0	Rps11	K02949	Ribosome
P22392	152948960.0	3259.26806761	44661096000.0	2724.01151646	292.0	Nme1-nme2	K00940	Purine metabolism
P22392	0.0	0.0	0.0	0.0	292.0	Nme1-nme2	K00940	Purine metabolism
P61604	264872580.0	5644.30606119	27017003000.0	1647.84642348	102.0	HspE1	K04078	Chaperones and folding catalysts
P21333	28291782.0	602.884136306	74888347000.0	4567.66040127	2647.0	FlnA	K04437	Cytoskeleton proteins
P14174	146029690.0	3111.82178382	81776626000.0	4987.79678405	560.0	Mif	K07253	Amino acid metabolism
P05386	236928740.0	5048.83639995	27009876000.0	1647.4117268	114.0	RplP1	K02942	Ribosome
Q0P5T0	4535899.2	96.6578093795	317512940.0	19.3660474697	70.0	TmsB4x	K05764	Regulation of actin cytoskeleton
P62829	86864120.0	1851.03221714	12160977000.0	741.733731733	140.0	Rpl23	K02894	Ribosome
P60903	5204539.7	110.906213752	1821588900.0	111.104061169	350			
P62241	130724510.0	2785.67583001	27190698000.0	1658.44059206	208.0	Rps8	K02995	Ribosome
P42766	107213450.0	2284.66655807	13187254000.0	804.329382477	123.0	Rpl35	K02918	Ribosome
P62701	114481850.0	2439.55263263	30108727000.0	1836.41975768	263.0	Rps4x	K02987	Ribosome
P61247	104343030.0	2223.49930171	27546560000.0	1680.14566142	264.0	Rps3a	K02984	Ribosome
