!!SBtab TableType='Proteomaps' Organism='sce' DefaultProteinLength='350' ProteinURL='identifiers.org/sgd/'
!Protein:Identifier	!Abundance:[original]	!Abundance:[ppm]	!SizeWeightedAbundance:[original]	!SizeWeightedAbundance:[ppm]	!Protein:Size	!Protein:Name	!Identifiers:kegg.orthology	!Pathway	!Protein
YAL001C	1052.4741	74.35327930797166	368365.93	62.244746228477325		TFC3	K15204	Transcription machinery	Tfc3p
YAL002W	1199.2648	84.72348216323688	419742.68	70.92614834890122					
YAL003W	11943.271	843.746524986979	2484200.4	419.7685260379044	208.0	EFB1	K03232	Translation factors	translation elongation factor 1 subunit beta
YAL005C	9280.4233	655.6264954369027	5958031.8	1006.760254435577	642.0	Ssa1	K03283	Chaperones and folding catalysts	Hsp70 family ATPase SSA1
YAL007C	2745.9644	193.99190726208545	961087.54	162.40006243425267		ERP2	K14825	Ribosome biogenesis	Erp2p
YAL008W	2269.3117	160.31821273981757	794259.1	134.21017551530565					
YAL009W	814.64199	57.55134821699828	285124.7	48.17903380741734					
YAL010C	699.28968	49.402147657811376	244751.39	41.35694134258584		MDM10	K17774	Mitochondrial biogenesis	Mdm10p
YAL011W	1131.6939	79.94985590412891	707308.69	119.51770326383533	625.0	SWC3	K11682	Chromosome-related	Swc3p
YAL012W	1204.4021	85.08641280617512	474534.43	80.18460114382765	394.0	CYS3	K01758	Amino acid metabolism	cystathionine gamma-lyase CYS3
YAL013W	1855.3626	131.07428830349795	649376.91	109.72866293466055					
YAL014C	2368.8167	167.3478613150554	604048.26	102.0692403704471	255.0	SYN8	K08501	SNARE interactions in vesicular transport	Syn8p
YAL015C	681.64471	48.155597854076746	271976.24	45.957268738114415	399.0	NTG1	K10773	Base excision repair	bifunctional N-glycosylase/AP lyase NTG1
YAL016W	4118.3141	290.9431771815173	2615129.5	441.89231094771657	635.0	TPD3	K03456	mRNA surveillance pathway	protein phosphatase 2A structural subunit TPD3
YAL017W	3710.1505	262.1079762448413	1298552.7	219.42334155551262		PSK1	K08286	Other enzymes	Psk1p
YAL018C	249.53502	17.62869702844022	87337.257	14.757839842181673					
YAL019W	518.49358	36.62959304474111	181472.75	30.66441370170664		FUN30	K14439	Chromosome-related	Fun30p
YAL020C	1123.3086	79.35746645437321	393158.01	66.43399556561366		ATS1	K15462	Transfer RNA biogenesis	Ats1p
YAL021C	1995.0988	140.94611765116036	1669897.7	282.1714770527719	837.0	CCR4	K12603	RNA degradation	Ccr4p
YAL022C	1338.2926	94.54526575389515	468402.41	79.14844117982679		FUN26	K15014	Alcoholism	Fun26p
YAL023C	5824.9204	411.50840048976227	4421114.6	747.0591982380565	759.0	PMT2	K00728	Glycan metabolism	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2
YAL024C	1042.8921	73.6763475693864	1496550.2	252.88002996687828	1435.0	LTE1	K06681	Cell cycle	Lte1p
YAL025C	353.76263	24.99197998042198	123816.92	20.922002108587183		MAK16	K14831	Ribosome biogenesis	Mak16p
YAL026C	1219.4043	86.1462609932555	1652292.8	279.19668366490964	1355.0	DRS2	K14802	Ribosome biogenesis	aminophospholipid-translocating P4-type ATPase DRS2
YAL027W	554.71483	39.18848615017132	194150.19	32.80658802175504		SAW1	K15080	DNA repair and recombination proteins	Saw1p
YAL028W	737.94692	52.13313416189285	258281.42	43.64318231990339					
YAL029C	1813.977	128.15055357584242	634891.95	107.28106236712259		MYO4	K10357	Messenger RNA Biogenesis	myosin 4
YAL030W	2054.5365	145.14516436359105	242435.31	40.96558101280493	118.0	SNC1	K08513	SNARE interactions in vesicular transport	SNAP receptor SNC1
YAL031C	1714.2301	121.1038156886067	599980.54	101.38189613334977					
YAL032C	955.93865	67.53341810951488	368036.38	62.18906041594956	385.0	PRP45	K06063	Spliceosome	Prp45p
YAL033W	1909.7396	134.91581587071275	330384.95	55.826898460609996	173.0	POP5	K03537	Ribosome biogenesis in eukaryotes	Pop5p
YAL034C	3016.6898	213.11762378276978	1055841.4	178.41112504764					
YAL034W-A	681.39762	48.138141888382	196923.91	33.27527821117851	289.0	MTW1	K11559	Chromosome-related	Mtw1p
YAL035W	4465.4506	315.467046360333	4483312.4	757.5690906077705	1004.0	FUN12	K03243	RNA transport	translation initiation factor eIF5B
YAL036C	1390.7189	98.24898380926916	486751.62	82.2490045786814					
YAL037C-A	149.49002	10.560899513645298	52321.507	8.84104272484293					
YAL037W	298.78067	21.10771429751375	104573.23	17.670293676839744					
YAL038W	15277.565	1079.3016736380423	7638782.5	1290.765620498708	500.0	Pyk1	K00873	Glycolysis	pyruvate kinase CDC19
YAL039C	3378.0736	238.64801034408865	908701.8	153.54816591849456	269.0	CYC3	K01764	Cofactor biosynthesis	holocytochrome c synthase CYC3
YAL040C	3952.7377	279.2458363006268	2292587.9	387.3907449637858	580.0	CLN3	K06646	Cell cycle	Cln3p
YAL041W	1321.4036	93.35212234615491	1128478.7	190.6850351381356	854.0	CDC24	K11236	MAPK signaling pathway	Cdc24p
YAL042W	2994.56	211.55423785200952	1048096.0	177.102343702313					
YAL043C	1682.4092	118.85579052054695	588843.22	99.49996406361318		Pta1	K06100	mRNA surveillance pathway	Pta1p
YAL044C	7323.7069	517.3919478925129	2563297.4	433.1339659211039		Gcv3		Amino acid metabolism	glycine decarboxylase subunit H
YAL044W-A	3163.7106	223.50408232505737	1107298.7	187.10613812906868					
YAL046C	2830.6159	199.972212737858	990715.56	167.40646621907678					
YAL047C	445.10103	31.444689426424727	155785.36	26.3238790821724		Spc72		Cytoskeleton proteins	
YAL048C	889.27047	62.82356557395688	311244.66	52.59266207563959		GEM1	K07870	Mitochondrial biogenesis	ERMES complex Ca(2+)-binding regulatory GTPase GEM1
YAL049C	5369.492	379.3341217783121	1879322.2	317.55904630089896					
YAL051W	1297.0445	91.6312448765898	453965.58	76.7089733938302					
YAL053W	2531.1637	178.8170574081576	885907.3	149.6964582757573					
YAL054C	8766.418	619.3139822485232	6250456.0	1056.1727234987868	713.0	ACS1	K01895	Glycolysis	acetate--CoA ligase 1
YAL055W	1411.0444	99.68490282957966	493865.54	83.45108139694113					
YAL056W	2024.479	143.0217166770405	708567.65	119.73043641674066					
