!!SBtab TableType='Proteomaps' Organism='sce' DefaultProteinLength='350' ProteinURL='identifiers.org/sgd/'
!Protein:Identifier	!Abundance:[original]	!Abundance:[ppm]	!SizeWeightedAbundance:[original]	!SizeWeightedAbundance:[ppm]	!Protein:Size	!Protein:Name	!Identifiers:kegg.orthology	!Pathway	!Protein
YAL001C	917.61553	65.51158999528595	321165.44	55.05377469467099		TFC3	K15204	Transcription machinery	Tfc3p
YAL002W	1007.9578	71.96142171455014	352785.23	60.47399921992754					
YAL003W	14252.336	1017.5211316520043	2964485.9	508.16843438736424	208.0	EFB1	K03232	Translation factors	translation elongation factor 1 subunit beta
YAL005C	8951.2269	639.0575218660199	5746687.7	985.0899582359704	642.0	Ssa1	K03283	Chaperones and folding catalysts	Hsp70 family ATPase SSA1
YAL007C	3258.7355	232.65184273753863	1140557.4	195.51291112125807		ERP2	K14825	Ribosome biogenesis	Erp2p
YAL008W	1673.3358	119.4649450342605	585667.53	100.39438939197338					
YAL009W	731.44944	52.22058067779379	256007.3	43.88444850850404					
YAL010C	758.82644	54.17511472900034	265589.25	45.526974293456504		MDM10	K17774	Mitochondrial biogenesis	Mdm10p
YAL011W	1327.2576	94.757284359962	829536.0	142.19801497047314	625.0	SWC3	K11682	Chromosome-related	Swc3p
YAL012W	4244.3307	303.01672490526073	1672266.3	286.65778020726975	394.0	CYS3	K01758	Amino acid metabolism	cystathionine gamma-lyase CYS3
YAL013W	1645.303	117.46359126464867	575856.05	98.7125178638872					
YAL014C	1655.8761	118.21843964017602	422248.41	72.38128993369605	255.0	SYN8	K08501	SNARE interactions in vesicular transport	Syn8p
YAL015C	619.38945	44.22024951539962	247136.39	42.363808303640454	399.0	NTG1	K10773	Base excision repair	bifunctional N-glycosylase/AP lyase NTG1
YAL016W	3474.653	248.06690304368576	2206404.7	378.21911111937555	635.0	TPD3	K03456	mRNA surveillance pathway	protein phosphatase 2A structural subunit TPD3
YAL017W	2630.2314	187.7808683877952	920580.99	157.8048323370571		PSK1	K08286	Other enzymes	Psk1p
YAL018C	148.56588	10.60660668836855	51998.058	8.913441526250255					
YAL019W	744.63212	53.16173555035687	260621.24	44.67536428454374		FUN30	K14439	Chromosome-related	Fun30p
YAL020C	835.51942	59.650478753491804	292431.8	50.12829036261525		ATS1	K15462	Transfer RNA biogenesis	Ats1p
YAL021C	1959.5152	139.89623341698538	1640114.2	281.1463077731233	837.0	CCR4	K12603	RNA degradation	Ccr4p
YAL022C	1092.8583	78.02274757985538	382500.41	65.56773790093753		FUN26	K15014	Alcoholism	Fun26p
YAL023C	6056.0374	432.36042348249873	4596532.4	787.9317872008747	759.0	PMT2	K00728	Glycan metabolism	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2
YAL024C	1260.2277	89.97179939086496	1808426.7	309.9982242598312	1435.0	LTE1	K06681	Cell cycle	Lte1p
YAL025C	547.20525	39.06678212090411	191521.84	32.83043227960277		MAK16	K14831	Ribosome biogenesis	Mak16p
YAL026C	1608.3766	114.82729414705092	2179350.3	373.5814799903863	1355.0	DRS2	K14802	Ribosome biogenesis	aminophospholipid-translocating P4-type ATPase DRS2
YAL027W	402.96372	28.768904998387733	141037.3	24.176436100175415		SAW1	K15080	DNA repair and recombination proteins	Saw1p
YAL028W	289.69522	20.68229433326413	101393.33	17.380716758821947					
YAL029C	2243.3534	160.16037583336316	785173.69	134.59348373674155		MYO4	K10357	Messenger RNA Biogenesis	myosin 4
YAL030W	1643.6931	117.34865520996637	193955.79	33.24765691908482	118.0	SNC1	K08513	SNARE interactions in vesicular transport	SNAP receptor SNC1
YAL031C	1317.146	94.03538398694158	461001.1	79.02422718146602					
YAL032C	873.67531	62.37455320500553	336364.99	57.659262387121295	385.0	PRP45	K06063	Spliceosome	Prp45p
YAL033W	2398.4691	171.23459570868695	414935.15	71.12766012743934	173.0	POP5	K03537	Ribosome biogenesis in eukaryotes	Pop5p
YAL034C	1537.8496	109.79213970976984	538247.36	92.26568365338895					
YAL034W-A	523.40435	37.36755760764984	151263.86	25.92946011839336	289.0	MTW1	K11559	Chromosome-related	Mtw1p
YAL035W	5652.1479	403.52542400575595	5674756.5	972.7596026462863	1004.0	FUN12	K03243	RNA transport	translation initiation factor eIF5B
YAL036C	1848.9061	131.99948606251593	647117.14	110.92800404246442					
YAL037C-A	89.819352	6.41249888378226	31436.773	5.388851981924071					
YAL037W	243.42037	17.378580630540117	85197.129	14.604384408854266					
YAL038W	17353.277	1238.907506173774	8676638.5	1487.3384293344516	500.0	Pyk1	K00873	Glycolysis	pyruvate kinase CDC19
YAL039C	2493.5076	178.01970672982122	670753.54	114.97972592198272	269.0	CYC3	K01764	Cofactor biosynthesis	holocytochrome c synthase CYC3
YAL040C	3553.6893	253.70956438829532	2061139.8	353.317985158737	580.0	CLN3	K06646	Cell cycle	Cln3p
YAL041W	1301.9437	92.95004180165256	1111859.9	190.59362186242524	854.0	CDC24	K11236	MAPK signaling pathway	Cdc24p
YAL042W	2662.71	190.0996224381118	931948.5	159.75343656539317					
YAL043C	1548.5114	110.55332066996102	541978.99	92.90535496193283		Pta1	K06100	mRNA surveillance pathway	Pta1p
YAL044C	5944.2846	424.3820236243085	2080499.6	356.6366176595873		Gcv3		Amino acid metabolism	glycine decarboxylase subunit H
YAL044W-A	2589.35	184.86221081534407	906272.5	155.35208902606774					
YAL046C	2185.7638	156.04886492291408	765017.33	131.13830592525386					
YAL047C	399.88284	28.54895084462066	139958.99	23.991593559860334		Spc72		Cytoskeleton proteins	
YAL048C	870.16983	62.12428546106633	304559.44	52.20719511693154		GEM1	K07870	Mitochondrial biogenesis	ERMES complex Ca(2+)-binding regulatory GTPase GEM1
YAL049C	4765.9257	340.2551070668956	1668074.0	285.93914142828885					
YAL051W	1093.7427	78.08588780394447	382809.95	65.62079885736856					
YAL053W	2470.2319	176.3579779715326	864581.17	148.20541381549347					
YAL054C	8748.7867	624.604650323007	6237884.9	1069.2903627983455	713.0	ACS1	K01895	Glycolysis	acetate--CoA ligase 1
YAL055W	941.14041	67.19110853312968	329399.14	56.46518516493676					
YAL056W	1509.7397	107.78528151763736	528408.9	90.57918724772794					
YAL058W	554.1248	39.560791548307634	278170.65	47.68366201472419	502.0	CNE1	K08054	Protein processing in endoplasmic reticulum	Cne1p
YAL059W	816.31514	58.279422056669475	285710.3	48.97609930927455					
YAL060W	1777.6676	126.91353530067651	679069.02	116.40515501671359	382.0	BDH1	K00004	Butanoate metabolism	(R,R)-butanediol dehydrogenase
YAL061W	604.73774	43.17421576066377	252175.64	43.2276301835106	417.0	BDH2	K00004	Butanoate metabolism	putative dehydrogenase BDH2
YAL062W	6660.2485	475.4970406818619	3043733.6	521.7529751800189	457.0	GDH3	K00262	Amino acid metabolism	glutamate dehydrogenase (NADP(+)) GDH3
YAL063C-A	189.84877	13.553927952101402	66447.069	11.390272769844904					
YAL064C-A	144.54103	10.319259412333972	50589.361	8.671964463054852					
YAL064W	156.79983	11.194455453789605	54879.94	9.407450104273556					
YAL064W-B	262.20008	18.719325878988965	91770.028	15.731102466179575					
YAL065C	254.95965	18.202407773266007	89235.878	15.296701669062362					
YAL067C	769.49181	54.93655056323042	269322.13	46.16685987542399					
YAL067W-A	102.37033	7.308554473399247	35829.615	6.141867417636232					
YAR002C-A	4862.432	347.14500915645823	1701851.2	291.7291864549793					
YAR002W	1610.8865	115.00648416111832	563810.28	96.64764716172253		NUP60	K18718	Messenger RNA Biogenesis	Nup60p
YAR003W	984.66616	70.2985549472475	344633.16	59.07658166131605		SWD1	K14961	Chromosome-related	Swd1p
YAR007C	2546.2034	181.78183316644942	1581192.3	271.0459899830711	621.0	RFA1	K07466	DNA replication	Rfa1p
YAR008W	862.6986	61.59088978442551	237242.12	40.66774501816291	275.0	SEN34	K15323	Transfer RNA biogenesis	Sen34p
YAR014C	1335.9945	95.3810403796861	467598.08	80.15507317344215					
YAR015W	6107.61	436.0423609778143	1868928.7	320.369400799178	306.0	ADE1	K01923	Purine metabolism	phosphoribosylaminoimidazolesuccinocarboxamide synthase
YAR018C	1353.34	96.61939266025749	1082672.0	185.59026885404865	800.0	KIN3	K08857	Chromosome-related	Kin3p
YAR019C	875.44299	62.500753692700926	852681.47	146.1655822485161	974.0	CDC15	K06683	Cell cycle	Cdc15p
YAR023C	523.10488	37.346177459630894	183086.71	31.38449293276564					
YAR027W	114.14836	8.14942676368424	39951.926	6.848508770502106					
