!!SBtab TableType='Proteomaps' Organism='sce' DefaultProteinLength='350' ProteinURL='identifiers.org/sgd/'
!Protein:Identifier	!Abundance:[original]	!Abundance:[ppm]	!SizeWeightedAbundance:[original]	!SizeWeightedAbundance:[ppm]	!Protein:Size	!Protein:Name	!Identifiers:kegg.orthology	!Pathway	!Protein
YAL001C	853.92951	55.564769054094356	298875.33	46.828455272171496		TFC3	K15204	Transcription machinery	Tfc3p
YAL002W	1099.9219	71.5713716827056	384972.67	60.3183790984135					
YAL003W	18192.943	1183.8057642595143	3784132.1	592.9062823246014	208.0	EFB1	K03232	Translation factors	translation elongation factor 1 subunit beta
YAL005C	7614.2313	495.4542485701854	4888336.5	765.9154977614692	642.0	Ssa1	K03283	Chaperones and folding catalysts	Hsp70 family ATPase SSA1
YAL007C	3615.1154	235.23376338744862	1265290.4	198.24853025744207		ERP2	K14825	Ribosome biogenesis	Erp2p
YAL008W	1641.9164	106.83868457963236	574670.74	90.04069705022391					
YAL009W	769.15931	50.0488142469237	269205.76	42.179760675365664					
YAL010C	706.68392	45.983571652234026	247339.37	38.753685776246826		MDM10	K17774	Mitochondrial biogenesis	Mdm10p
YAL011W	1371.6258	89.25100949566367	857266.12	134.3183733390374	625.0	SWC3	K11682	Chromosome-related	Swc3p
YAL012W	13525.1	880.0715388481324	5328889.4	834.9423116262183	394.0	CYS3	K01758	Amino acid metabolism	cystathionine gamma-lyase CYS3
YAL013W	2115.8939	137.6801650717833	740562.86	116.03304550342581					
YAL014C	1814.4621	118.06614757218902	462687.84	72.49496577859954	255.0	SYN8	K08501	SNARE interactions in vesicular transport	Syn8p
YAL015C	646.94902	42.096651380595425	258132.66	40.44480259744641	399.0	NTG1	K10773	Base excision repair	bifunctional N-glycosylase/AP lyase NTG1
YAL016W	3551.2927	231.08085200029123	2255070.9	353.32955308230197	635.0	TPD3	K03456	mRNA surveillance pathway	protein phosphatase 2A structural subunit TPD3
YAL017W	3048.8712	198.38853455676866	1067104.9	167.1963827873148		PSK1	K08286	Other enzymes	Psk1p
YAL018C	145.30447	9.454889687648318	50856.565	7.968320367555203					
YAL019W	913.63905	59.450039163129716	319773.67	50.10285393181541		FUN30	K14439	Chromosome-related	Fun30p
YAL020C	921.25535	59.945628020981346	322439.37	50.52052177084056		ATS1	K15462	Transfer RNA biogenesis	Ats1p
YAL021C	2523.128	164.17868567853918	2111858.1	330.8906512190989	837.0	CCR4	K12603	RNA degradation	Ccr4p
YAL022C	1347.8903	87.70655230049839	471761.6	73.91666279290453		FUN26	K15014	Alcoholism	Fun26p
YAL023C	6915.0924	449.96162762160907	5248555.1	822.3553537987816	759.0	PMT2	K00728	Glycan metabolism	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2
YAL024C	1351.889	87.96674572327471	1939960.7	303.957382062014	1435.0	LTE1	K06681	Cell cycle	Lte1p
YAL025C	829.21339	53.95650340262006	290224.69	45.473053645962814		MAK16	K14831	Ribosome biogenesis	Mak16p
YAL026C	1493.2209	97.16314225426748	2023314.3	317.01741056745965	1355.0	DRS2	K14802	Ribosome biogenesis	aminophospholipid-translocating P4-type ATPase DRS2
YAL027W	364.38754	23.710516230185757	127535.64	19.98256936545337		SAW1	K15080	DNA repair and recombination proteins	Saw1p
YAL028W	312.19082	20.314101586802337	109266.79	17.120165081034813					
YAL029C	2576.168	167.6299721326508	901658.8	141.27391774543528		MYO4	K10357	Messenger RNA Biogenesis	myosin 4
YAL030W	1921.5817	125.03636673602489	226746.64	35.52717077503578	118.0	SNC1	K08513	SNARE interactions in vesicular transport	SNAP receptor SNC1
YAL031C	1450.5177	94.38446624168795	507681.2	79.54462607108573					
YAL032C	1012.832	65.90447514877017	389940.32	61.096721612774935	385.0	PRP45	K06063	Spliceosome	Prp45p
YAL033W	2347.7172	152.7647920521274	406155.08	63.63728648110648	173.0	POP5	K03537	Ribosome biogenesis in eukaryotes	Pop5p
YAL034C	1566.6242	101.93945852457462	548318.47	85.91176443803678					
YAL034W-A	559.61861	36.41410498042549	161729.78	25.340183711074904	289.0	MTW1	K11559	Chromosome-related	Mtw1p
YAL035W	8435.5421	548.8965343668591	8469284.3	1326.9864094499012	1004.0	FUN12	K03243	RNA transport	translation initiation factor eIF5B
YAL036C	2403.492	156.3940305838164	841222.2	131.8045760640656					
YAL037C-A	107.10925	6.969545694476885	37488.238	5.873740988978648					
YAL037W	248.02755	16.139029478911954	86809.643	13.60152905366487					
YAL038W	19051.236	1239.6544634404875	9525618.0	1492.4951365266304	500.0	Pyk1	K00873	Glycolysis	pyruvate kinase CDC19
YAL039C	2895.4308	188.40424394527795	778870.89	122.03523333679433	269.0	CYC3	K01764	Cofactor biosynthesis	holocytochrome c synthase CYC3
YAL040C	3826.1324	248.964534761643	2219156.8	347.70245155642397	580.0	CLN3	K06646	Cell cycle	Cln3p
YAL041W	1590.3857	103.48560752682525	1358189.4	212.8041533874256	854.0	CDC24	K11236	MAPK signaling pathway	Cdc24p
YAL042W	3237.2133	210.64386145097933	1133024.7	177.5248445103031					
YAL043C	1884.632	122.63206811058205	659621.2	103.35092515255806		Pta1	K06100	mRNA surveillance pathway	Pta1p
YAL044C	11145.409	725.2262275119463	3900893.1	611.2006569925742		Gcv3		Amino acid metabolism	glycine decarboxylase subunit H
YAL044W-A	3660.5552	238.19050860271147	1281194.3	200.7403888855968					
YAL046C	3331.5317	216.78111288939337	1166036.1	182.69714450699993					
YAL047C	395.17549	25.713872843776738	138311.42	21.67094268068404		Spc72		Cytoskeleton proteins	
YAL048C	709.91812	46.19401943975077	248471.34	38.931045368001826		GEM1	K07870	Mitochondrial biogenesis	ERMES complex Ca(2+)-binding regulatory GTPase GEM1
YAL049C	4481.7041	291.6222596468036	1568596.4	245.7711928163801					
YAL051W	1310.7642	85.2907754146765	458767.47	71.8807134373462					
YAL053W	2633.0594	171.3318672717052	921570.79	144.39377288066817					
YAL054C	5896.5791	383.6874731038392	4204260.9	658.7330025137555	713.0	ACS1	K01895	Glycolysis	acetate--CoA ligase 1
YAL055W	1075.8137	70.00266308366689	376534.79	58.99631318493731					
YAL056W	1669.5349	108.63580665604415	584337.22	91.55526276001113					
YAL058W	697.46724	45.38384686271892	350128.55	54.85892443242225	502.0	CNE1	K08054	Protein processing in endoplasmic reticulum	Cne1p
YAL059W	1287.9392	83.80556400225008	450778.72	70.62901821694925					
YAL060W	2361.406	153.6555154686629	902057.09	141.33632271358823	382.0	BDH1	K00004	Butanoate metabolism	(R,R)-butanediol dehydrogenase
YAL061W	678.28856	44.135899681502075	282846.33	44.31699569617492	417.0	BDH2	K00004	Butanoate metabolism	putative dehydrogenase BDH2
