!!SBtab TableType='Proteomaps' Organism='sce' DefaultProteinLength='350' ProteinURL='identifiers.org/sgd/'
!Protein:Identifier	!Abundance:[original]	!Abundance:[ppm]	!SizeWeightedAbundance:[original]	!SizeWeightedAbundance:[ppm]	!Protein:Size	!Protein:Name	!Identifiers:kegg.orthology	!Pathway	!Protein
YAL001C	866.61387	66.8582494161243	303314.85	55.90623979882663		TFC3	K15204	Transcription machinery	Tfc3p
YAL002W	1011.6667	78.04890608846058	354083.34	65.26376178024077					
YAL003W	12171.209	938.9945801557235	2531611.5	466.6203438323814	208.0	EFB1	K03232	Translation factors	translation elongation factor 1 subunit beta
YAL005C	8907.2389	687.1830934176078	5718447.4	1054.0100216701446	642.0	Ssa1	K03283	Chaperones and folding catalysts	Hsp70 family ATPase SSA1
YAL007C	2774.6435	214.0605102060368	971125.23	178.9953903775917		ERP2	K14825	Ribosome biogenesis	Erp2p
YAL008W	1518.7707	117.17138829834524	531569.74	97.97761419937048					
YAL009W	781.14192	60.2641881519277	273399.67	50.3923481225534					
YAL010C	777.43107	59.977900402060705	272100.87	50.15295653242613		MDM10	K17774	Mitochondrial biogenesis	Mdm10p
YAL011W	1173.2592	90.5155790125566	733287.0	135.1576385507079	625.0	SWC3	K11682	Chromosome-related	Swc3p
YAL012W	2480.5221	191.36938720356324	977325.71	180.13824745085344	394.0	CYS3	K01758	Amino acid metabolism	cystathionine gamma-lyase CYS3
YAL013W	1765.8809	136.23565204578372	618058.32	113.91897445040995					
YAL014C	1760.3722	135.81066226508864	448894.91	82.73919487599338	255.0	SYN8	K08501	SNARE interactions in vesicular transport	Syn8p
YAL015C	594.07944	45.83253597419511	237037.7	43.690200125586756	399.0	NTG1	K10773	Base excision repair	bifunctional N-glycosylase/AP lyase NTG1
YAL016W	3552.4666	274.0686552654079	2255816.3	415.7864575700855	635.0	TPD3	K03456	mRNA surveillance pathway	protein phosphatase 2A structural subunit TPD3
YAL017W	2387.5089	184.19352729655313	835628.11	154.02089775789176		PSK1	K08286	Other enzymes	Psk1p
YAL018C	99.56504	7.681326722184116	34847.764	6.423053307930416					
YAL019W	682.40683	52.646891104347006	238842.39	44.022836104018225		FUN30	K14439	Chromosome-related	Fun30p
YAL020C	826.09438	63.73221801688745	289133.03	53.292281960284285		ATS1	K15462	Transfer RNA biogenesis	Ats1p
YAL021C	1824.6621	140.7705530745188	1527242.2	281.4974890417912	837.0	CCR4	K12603	RNA degradation	Ccr4p
YAL022C	1008.2839	77.78792701351817	352899.36	65.04553352733124		FUN26	K15014	Alcoholism	Fun26p
YAL023C	5276.1961	407.05237595860575	4004632.8	738.1239712564239	759.0	PMT2	K00728	Glycan metabolism	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2
YAL024C	1089.5983	84.0612381437941	1563573.6	288.1940024522856	1435.0	LTE1	K06681	Cell cycle	Lte1p
YAL025C	406.38637	31.35223451336334	142235.23	26.216444319232178		MAK16	K14831	Ribosome biogenesis	Mak16p
YAL026C	1293.6395	99.8027787687616	1752881.5	323.08676438996287	1355.0	DRS2	K14802	Ribosome biogenesis	aminophospholipid-translocating P4-type ATPase DRS2
YAL027W	420.88385	32.470698188246914	147309.35	27.1516935148717		SAW1	K15080	DNA repair and recombination proteins	Saw1p
YAL028W	383.98665	29.62412223815668	134395.33	24.771413423452355					
YAL029C	2069.6065	159.66772787773638	724362.27	133.51265448375642		MYO4	K10357	Messenger RNA Biogenesis	myosin 4
YAL030W	1848.5307	142.61198772870185	218126.62	40.20455683006465	118.0	SNC1	K08513	SNARE interactions in vesicular transport	SNAP receptor SNC1
YAL031C	1430.983	110.3986696223011	500844.05	92.31433133298786					
YAL032C	919.20363	70.915488069383	353893.4	65.22875251120107	385.0	PRP45	K06063	Spliceosome	Prp45p
YAL033W	1735.5144	133.89291198452122	300243.99	55.34022651082367	173.0	POP5	K03537	Ribosome biogenesis in eukaryotes	Pop5p
YAL034C	2079.1342	160.40277882143064	727696.97	134.12729810525119					
YAL034W-A	631.2373	48.69922153930086	182427.58	33.624598444156724	289.0	MTW1	K11559	Chromosome-related	Mtw1p
YAL035W	4887.9334	377.09836144972434	4907485.1	904.5354647481608	1004.0	FUN12	K03243	RNA transport	translation initiation factor eIF5B
YAL036C	1626.2621	125.46422445072344	569191.73	104.91200595318358					
YAL037C-A	82.454868	6.361296906449934	28859.204	5.319256802715913					
YAL037W	196.82619	15.184911017689423	68889.166	12.69747997480893					
YAL038W	15147.893	1168.6422793149657	7573946.5	1396.011007217364	500.0	Pyk1	K00873	Glycolysis	pyruvate kinase CDC19
YAL039C	2567.2487	198.06024325207355	690589.9	127.28781512691417	269.0	CYC3	K01764	Cofactor biosynthesis	holocytochrome c synthase CYC3
YAL040C	3743.3483	288.79495581212524	2171142.0	400.17950090245847	580.0	CLN3	K06646	Cell cycle	Cln3p
YAL041W	1217.3223	93.91499579069752	1039593.2	191.61523655181912	854.0	CDC24	K11236	MAPK signaling pathway	Cdc24p
YAL042W	2555.648	197.16526277593414	894476.8	164.86774213424462					
YAL043C	1546.0051	119.2724904972963	541101.79	99.73453798030111		Pta1	K06100	mRNA surveillance pathway	Pta1p
YAL044C	4689.8346	361.8152700546663	1641442.1	302.54653096770426		Gcv3		Amino acid metabolism	glycine decarboxylase subunit H
YAL044W-A	2643.9766	203.9797112561749	925391.81	170.56591999280687					
YAL046C	2106.7022	162.52961787133384	737345.77	135.90574095620596					
YAL047C	389.76725	30.070088786759058	136418.54	25.144326465538445		Spc72		Cytoskeleton proteins	
YAL048C	833.94545	64.33791891138554	291880.91	53.798764376883405		GEM1	K07870	Mitochondrial biogenesis	ERMES complex Ca(2+)-binding regulatory GTPase GEM1
YAL049C	4477.2991	345.41840409084244	1567054.7	288.8356301581618					
YAL051W	1192.3411	91.98772534404047	417319.39	76.91927345476178					
YAL053W	2349.6176	181.27025769079296	822366.16	151.57648807303772					
YAL054C	9043.4633	697.6926470112537	6447989.3	1188.477372690682	713.0	ACS1	K01895	Glycolysis	acetate--CoA ligase 1
YAL055W	953.55649	73.56577115570978	333744.77	61.515007073423014					
YAL056W	1482.8149	114.39744026038424	518985.22	95.65806672956103					
YAL058W	501.8284	38.71547582234587	251917.86	46.43287425843883	502.0	CNE1	K08054	Protein processing in endoplasmic reticulum	Cne1p
YAL059W	625.95978	48.2920670260012	219085.92	40.38137262341935					
YAL060W	1878.9617	144.95970388974376	717763.37	132.29636162566365	382.0	BDH1	K00004	Butanoate metabolism	(R,R)-butanediol dehydrogenase
YAL061W	834.16299	64.35470186868807	347845.97	64.11410523380393	417.0	BDH2	K00004	Butanoate metabolism	putative dehydrogenase BDH2
YAL062W	6282.591	484.6945688250959	2871144.1	529.2021493559787	457.0	GDH3	K00262	Amino acid metabolism	glutamate dehydrogenase (NADP(+)) GDH3
YAL063C-A	165.50225	12.768305577003696	57925.787	10.67673718763771					
YAL064C-A	123.97507	9.564532069445725	43391.274	7.997771851330692					
YAL064W	103.10382	7.954339472220984	36086.337	6.651344007005493					
YAL064W-B	222.44075	17.161044449715245	77854.262	14.349904202622048					
YAL065C	230.25659	17.76402739079894	80589.806	14.854112878340501					
YAL067C	454.99113	35.10203506397172	159246.9	29.35199308118203					
YAL067W-A	86.595819	6.680766446878533	30308.537	5.586394261519374					
YAR002C-A	4374.453	337.48394741606563	1531058.6	282.2009184108717					
YAR002W	1519.0039	117.1893794063849	531651.36	97.99265819504816		NUP60	K18718	Messenger RNA Biogenesis	Nup60p
YAR003W	805.71727	62.16014774439135	282001.04	51.977731277444875		SWD1	K14961	Chromosome-related	Swd1p
YAR007C	2227.7754	171.87027405447142	1383448.5	254.99379140298277	621.0	RFA1	K07466	DNA replication	Rfa1p
