!!SBtab TableType='Proteomaps' Organism='sce' DefaultProteinLength='350' ProteinURL='identifiers.org/sgd/'
!Protein:Identifier	!Abundance:[original]	!Abundance:[ppm]	!SizeWeightedAbundance:[original]	!SizeWeightedAbundance:[ppm]	!Protein:Size	!Protein:Name	!Identifiers:kegg.orthology	!Pathway	!Protein
YAL001C	674.92122	63.41284996873035	236222.43	53.91277854974631		TFC3	K15204	Transcription machinery	Tfc3p
YAL002W	782.03716	73.47702758116269	273713.01	62.469211303577296					
YAL003W	13798.073	1296.4107618465296	2869999.2	655.0166777454159	208.0	EFB1	K03232	Translation factors	translation elongation factor 1 subunit beta
YAL005C	5374.8552	504.9995115003943	3450657.0	787.5395519897578	642.0	Ssa1	K03283	Chaperones and folding catalysts	Hsp70 family ATPase SSA1
YAL007C	2355.8818	221.34906223197783	824558.63	188.18808535866896		ERP2	K14825	Ribosome biogenesis	Erp2p
YAL008W	1130.2065	106.18960123699154	395572.28	90.28101494027574					
YAL009W	457.96029	43.02808431687219	160286.1	36.58191567118538					
YAL010C	476.52322	44.77218164288313	166783.13	38.064725494202854		MDM10	K17774	Mitochondrial biogenesis	Mdm10p
YAL011W	943.09656	88.60951307073395	589435.35	134.5261645726962	625.0	SWC3	K11682	Chromosome-related	Swc3p
YAL012W	6940.9175	652.1403491696926	2734721.5	624.1424009766137	394.0	CYS3	K01758	Amino acid metabolism	cystathionine gamma-lyase CYS3
YAL013W	1157.7696	108.77931789306751	405219.36	92.48275711899977					
YAL014C	974.38172	91.54893933047983	248467.34	56.707420536925824	255.0	SYN8	K08501	SNARE interactions in vesicular transport	Syn8p
YAL015C	336.60264	31.625813616289253	134304.45	30.652153019912106	399.0	NTG1	K10773	Base excision repair	bifunctional N-glycosylase/AP lyase NTG1
YAL016W	2161.4425	203.08033724074855	1372516.0	313.2477773765328	635.0	TPD3	K03456	mRNA surveillance pathway	protein phosphatase 2A structural subunit TPD3
YAL017W	1443.9279	135.66558670116177	505374.76	115.34111100504379		PSK1	K08286	Other enzymes	Psk1p
YAL018C	101.88863	9.573040847210995	35661.02	8.138874340248188					
YAL019W	849.63237	79.82799830680504	297371.33	67.868722971538		FUN30	K14439	Chromosome-related	Fun30p
YAL020C	434.90543	40.86194353642661	152216.9	34.74029126374188		ATS1	K15462	Transfer RNA biogenesis	Ats1p
YAL021C	1664.0801	156.35019108933898	1392835.0	317.88515981033595	837.0	CCR4	K12603	RNA degradation	Ccr4p
YAL022C	667.45927	62.71175552718328	233610.74	53.31671548913607		FUN26	K15014	Alcoholism	Fun26p
YAL023C	4733.671	444.7564545745499	3592856.3	819.9935377134207	759.0	PMT2	K00728	Glycan metabolism	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2
YAL024C	1043.4316	98.03658492680412	1497324.3	341.73263480125024	1435.0	LTE1	K06681	Cell cycle	Lte1p
YAL025C	1026.596	96.454780494972	359308.6	82.0045961885134		MAK16	K14831	Ribosome biogenesis	Mak16p
YAL026C	1127.4743	105.93289484882291	1527727.7	348.67156846372825	1355.0	DRS2	K14802	Ribosome biogenesis	aminophospholipid-translocating P4-type ATPase DRS2
YAL027W	236.01534	22.17504043766602	82605.369	18.852930121483716		SAW1	K15080	DNA repair and recombination proteins	Saw1p
YAL028W	123.00724	11.557259460871014	43052.534	9.8258312368873					
YAL029C	2286.1016	214.79279874186562	800135.56	182.61403566146217		MYO4	K10357	Messenger RNA Biogenesis	myosin 4
YAL030W	1411.397	132.60911578289998	166544.85	38.01034311877461	118.0	SNC1	K08513	SNARE interactions in vesicular transport	SNAP receptor SNC1
YAL031C	628.25409	59.02819643366853	219888.93	50.18500228208924					
YAL032C	541.43762	50.87127437552851	208453.48	47.57510243698691	385.0	PRP45	K06063	Spliceosome	Prp45p
YAL033W	1667.4717	156.66885201683797	288472.6	65.83777586857245	173.0	POP5	K03537	Ribosome biogenesis in eukaryotes	Pop5p
YAL034C	732.61531	68.83355177041977	256415.36	58.521388169757955					
YAL034W-A	363.51546	34.15443261110386	105055.97	23.976805445354156	289.0	MTW1	K11559	Chromosome-related	Mtw1p
YAL035W	6221.2708	584.5252751947006	6246155.9	1425.5531103625144	1004.0	FUN12	K03243	RNA transport	translation initiation factor eIF5B
YAL036C	2533.9767	238.08213394351188	886891.85	202.41432579719384					
YAL037C-A	69.098678	6.49223045772899	24184.537	5.519609579874129					
YAL037W	161.03383	15.130083036476508	56361.84	12.863399121650867					
YAL038W	15764.624	1481.179887225128	7882312.0	1798.9711701636795	500.0	Pyk1	K00873	Glycolysis	pyruvate kinase CDC19
