!!SBtab TableType='Proteomaps' Organism='eco' DefaultProteinLength='350' ProteinURL='www.genome.jp/dbget-bin/www_bget?eco:'
!Protein:Identifier	!Abundance:[original]	!Abundance:[ppm]	!SizeWeightedAbundance:[original]	!SizeWeightedAbundance:[ppm]	!Protein:Size	!Protein:Name	!Identifiers:kegg.orthology	!Pathway	!Protein
b0002	1529.0	607.6051178710217	1253780.0	1634.5851272744746	820.0	thrA	K12524	Amino acid metabolism	Bifunctional aspartokinase/homoserine dehydrogenase 1
b0003	182.0	72.32448100230604	56420.0	73.5562003547878	310.0	thrB	K00872	Amino acid metabolism	homoserine kinase
b0004	3681.0	1462.7824976345523	1575468.0	2053.978019506502	428.0	thrC	K01733	Amino acid metabolism	L-threonine synthase
b0005	0.0	0.0	0.0	0.0					
b0006	66.0	26.2275590447923	23100.0	30.11606217999997					
b0007	0.0	0.0	0.0	0.0					
b0008	6426.0	2553.6105215429593	2037042.0	2655.7438759857796	317.0	talB	K00616	Pentose phosphate metabolism	transaldolase B
b0009	155.0	61.595025029436464	30225.0	39.40510733292204	195.0	mog	K03831	Sulfur relay system	molybdochelatase incorporating molybdenum into molybdopterin
b0010	0.0	0.0	0.0	0.0					
b0011	0.0	0.0	0.0	0.0					
b0013	0.0	0.0	0.0	0.0					
b0014	6474.0	2572.685109939172	4130412.0	5384.924009567881	638.0	dnaK	K04043	Chaperones and folding catalysts	chaperone Hsp70, with co-chaperone DnaJ
b0015	449.0	178.4268789562385	168824.0	220.10017668728636	376.0	dnaJ	K03686	Chaperones and folding catalysts	chaperone Hsp40, DnaK co-chaperone
b0018	0.0	0.0	0.0	0.0					
b0019	0.0	0.0	0.0	0.0	388.0	nhaA	K03313	Transport	sodium-proton antiporter
b0020	0.0	0.0	0.0	0.0	301.0	nhaR	K03717	Transcription factors	transcriptional activator of nhaA
b0023	11025.0	4381.194522255078	959175.0	1250.5010364286352	87.0	rpsT	K02968	Ribosome	30S ribosomal subunit protein S20
b0024	0.0	0.0	0.0	0.0					
b0025	0.0	0.0	0.0	0.0	313.0	ribF	K11753	Cofactor biosynthesis	bifunctional riboflavin kinase/FAD synthetase
b0026	1492.0	592.9017893156077	1399496.0	1824.5588119766771	938.0	IleS	K01870	tRNA loading	isoleucyl-tRNA synthetase
b0027	0.0	0.0	0.0	0.0	164.0	lspA	K03101	Protein export	prolipoprotein signal peptidase (signal peptidase II)
b0028	1283.0	509.84785234043215	191167.0	249.22931856121448	149.0	fkpB	K03774	Chaperones and folding catalysts	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)
b0029	175.0	69.54277019452503	55300.0	72.09602764303024	316.0	ispH	K03527	Cofactor biosynthesis	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein
b0030	237.0	94.18078020629962	72048.0	93.93082458634797	304.0	rihC	K12700	Other enzymes	ribonucleoside hydrolase 3
b0031	611.0	242.80361479345598	166803.0	217.46534717794526	273.0	dapB	K00215	Amino acid metabolism	dihydrodipicolinate reductase
b0032	1012.0	402.15590535348196	386584.0	503.9994710732948	382.0	carA	K01956	Pyrimidine metabolism	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase
b0033	1086.0	431.5625624643097	1165278.0	1519.2028010816452	1073.0	carB	K01955	Pyrimidine metabolism	carbamoyl-phosphate synthase large subunit
b0034	0.0	0.0	0.0	0.0	131.0	caiF	K08277	Transcription factors	cai operon transcriptional activator
b0035	0.0	0.0	0.0	0.0					
b0036	0.0	0.0	0.0	0.0	297.0	caiD	K08299	Other enzymes	carnitinyl-CoA dehydratase
b0037	0.0	0.0	0.0	0.0	522.0	caiC	K02182	Other enzymes	putative crotonobetaine/carnitine-CoA ligase
b0038	0.0	0.0	0.0	0.0	405.0	caiB	K08298	Other enzymes	crotonobetainyl CoA:carnitine CoA transferase
b0039	0.0	0.0	0.0	0.0	380.0	caiA	K08297	Other enzymes	crotonobetaine reductase subunit II, FAD-binding
b0040	0.0	0.0	0.0	0.0					
b0041	0.0	0.0	0.0	0.0					
b0042	0.0	0.0	0.0	0.0		fixB	K03522	Other enzymes	putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein
b0043	0.0	0.0	0.0	0.0		fixC	K00313	Other enzymes	putative oxidoreductase
b0044	0.0	0.0	0.0	0.0					
b0045	0.0	0.0	0.0	0.0	443.0	yaaU	K08368	Transport	putative transporter
b0046	0.0	0.0	0.0	0.0		kefF	K11746	Transport	potassium-efflux system ancillary protein for KefC, glutathione-regulated
b0047	0.0	0.0	0.0	0.0		kefC	K11745	Transport	potassium:proton antiporter
b0048	386.0	153.39148168620952	61374.0	80.01485715304408	159.0	folA	K00287	Other central metabolism enzymes	dihydrofolate reductase
b0049	83.0	32.983142435117585	23406.0	30.51500222446231	282.0	apaH	K01525	Purine metabolism	diadenosine tetraphosphatase
b0050	0.0	0.0	0.0	0.0					
b0051	212.0	84.2460987499389	74200.0	96.73644215393931	350	rsmA	K02528	Ribosome biogenesis	16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent
b0052	0.0	0.0	0.0	0.0	329.0	pdxA	K00097	Cofactor biosynthesis	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent
b0053	1629.0	647.3438436964644	697212.0	908.973157776716	428.0	surA	K03771	Chaperones and folding catalysts	peptidyl-prolyl cis-trans isomerase (PPIase)
b0054	60.0	23.843235495265727	21000.0	27.37823834545452		lptD	K04744	Transport	LPS assembly OM complex LptDE, beta-barrel component
b0055	0.0	0.0	0.0	0.0	271.0	djlA	K05801	Chaperones and folding catalysts	membrane-anchored DnaK co-chaperone, DNA-binding protein
b0058	0.0	0.0	0.0	0.0	219.0	rluA	K06177	Transfer RNA biogenesis	dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent
b0059	75.0	29.80404436908216	26250.0	34.22279793181815	350	rapA	K03580	Transcription machinery	RNA polymerase remodeling/recycling factor ATPase
b0060	0.0	0.0	0.0	0.0	783.0	polB	K02336	DNA repair and recombination proteins	DNA polymerase II
b0061	0.0	0.0	0.0	0.0	231.0	araD	K01786	Carbohydrate metabolism	L-ribulose-5-phosphate 4-epimerase
b0062	0.0	0.0	0.0	0.0	500.0	araA	K01804	Carbohydrate metabolism	L-arabinose isomerase
b0063	0.0	0.0	0.0	0.0	566.0	araB	K00853	Carbohydrate metabolism	L-ribulokinase
b0065	0.0	0.0	0.0	0.0					
b0066	0.0	0.0	0.0	0.0	232.0	thiQ	K02062	Transport	thiamine, thiamine pyrophosphate ABC transporter ATPase
b0067	0.0	0.0	0.0	0.0	536.0	thiP	K02063	Transport	thiamine, thiamine pyrophosphate ABC transporter permease
b0068	638.0	253.53307076632555	223300.0	291.1219344066664	350	thiB	K02064	Transport	thiamine-, thiamine pyrophosphate-, thiamine monophosphate-binding ABC transporter periplasmic protein
b0069	0.0	0.0	0.0	0.0	551.0	sgrR	K11925	Transcription factors	transcriptional DNA-binding transcriptional activator of sgrS sRNA
b0070	0.0	0.0	0.0	0.0	350	setA	K03291	Transport	broad specificity sugar efflux system
b0071	9337.0	3710.4048303216014	1876737.0	2446.7501379872992	201.0	LeuD	K01704	Amino acid metabolism	3-isopropylmalate dehydratase small subunit
b0072	4989.0	1982.5650314313452	2324874.0	3030.997833102392	466.0	LeuC	K01703	Amino acid metabolism	3-isopropylmalate dehydratase large subunit
b0073	5065.0	2012.7664630586817	1838595.0	2397.0234347981404	363.0	leuB	K00052	Amino acid metabolism	3-isopropylmalate dehydrogenase, NAD(+)-dependent
b0074	5494.0	2183.2455968498316	2873362.0	3746.075699465328	523.0	LeuA	K01649	Amino acid metabolism	2-isopropylmalate synthase
b0075	0.0	0.0	0.0	0.0					
b0076	0.0	0.0	0.0	0.0	349.0	leuO	K05798	Transcription factors	global transcription factor
b0077	856.0	340.16349306579104	491344.0	640.5777686480479	574.0	IlvI	K01652	Amino acid metabolism	acetolactate synthase 3 large subunit
b0078	865.0	343.7399783900809	140995.0	183.81879597701715	163.0	IlvH	K01653	Amino acid metabolism	acetolactate synthase 3, small subunit, valine-sensitive
b0080	390.0	154.98103071922722	130260.0	169.82330127994788	334.0	cra	K03435	Transcription factors	transcriptional repressor-activator for carbon metabolism
b0081	0.0	0.0	0.0	0.0					
b0082	219.0	87.0278095577199	76650.0	99.930569960909	350	rsmH	K03438	Ribosome biogenesis	16S rRNA m(4)C1402 methyltransferase, SAM-dependent
b0083	0.0	0.0	0.0	0.0	121.0	ftsL	K03586	Chromosome-related	membrane bound cell division protein at septum containing leucine zipper motif
b0084	0.0	0.0	0.0	0.0	588.0	ftsI	K03587	beta-Lactam resistance	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)
b0085	137.0	54.442054380856746	67815.0	88.41215397128563	495.0	murE	K01928	Glycan metabolism	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase
b0086	111.0	44.10998566624159	50172.0	65.41052258419734	452.0	murF	K01929	Amino acid metabolism	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase
b0087	0.0	0.0	0.0	0.0	360.0	mraY	K01000	Glycan metabolism	phospho-N-acetylmuramoyl-pentapeptide transferase
b0088	79.0	31.393593402099874	34602.0	45.11151443949606	438.0	murD	K01925	Amino acid metabolism	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase
b0089	0.0	0.0	0.0	0.0	414.0	ftsW	K03588	Chromosome-related	lipid II flippase
b0090	0.0	0.0	0.0	0.0	355.0	murG	K02563	Other enzymes	N-acetylglucosaminyl transferase
b0091	100.0	39.73872582544288	49100.0	64.01292870294367	491.0	murC	K01924	Amino acid metabolism	UDP-N-acetylmuramate:L-alanine ligase
b0092	97.0	38.54656405067959	29682.0	38.697184312846716	306.0	ddlB	K01921	Amino acid metabolism	D-alanine:D-alanine ligase
b0093	0.0	0.0	0.0	0.0	276.0	ftsQ	K03589	Cell cycle	divisome assembly protein, membrane anchored protein involved in growth of wall at septum
b0094	352.0	139.88031490555892	147840.0	192.74279795199982	420.0	ftsA	K03590	Chromosome-related	ATP-binding cell division protein involved in recruitment of FtsK to Z ring
b0095	2152.0	855.1773797635308	824216.0	1074.551528387483	383.0	FtsZ	K03531	Cytoskeleton proteins	GTP-binding tubulin-like cell division protein
b0096	0.0	0.0	0.0	0.0	305.0	lpxC	K02535	Other enzymes	UDP-3-O-acyl N-acetylglucosamine deacetylase
b0097	0.0	0.0	0.0	0.0	170.0	secM	K13301	Protein export	regulator of secA translation
b0098	677.0	269.03117383824826	609977.0	795.2426519640625	901.0	secA	K03070	Protein export	preprotein translocase subunit, ATPase
b0099	0.0	0.0	0.0	0.0	132.0	mutT	K03574	DNA repair and recombination proteins	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP
b0101	0.0	0.0	0.0	0.0					
b0102	162.0	64.37673583721747	56700.0	73.9212435327272		zapD	K18778	Chromosome-related	FtsZ stabilizer
b0103	0.0	0.0	0.0	0.0	206.0	coaE	K00859	Cofactor biosynthesis	dephospho-CoA kinase
b0104	269.0	106.89717247044135	93343.0	121.69366199427435	347.0	guaC	K00364	Purine metabolism	GMP reductase
b0106	0.0	0.0	0.0	0.0	400.0	hofC	K02505	Secretion system	assembly protein in type IV pilin biogenesis, transmembrane protein
b0107	0.0	0.0	0.0	0.0	461.0	hofB	K02504	Secretion system	T2SE secretion family protein
b0108	0.0	0.0	0.0	0.0	146.0	ppdD	K02682	Secretion system	putative prepilin peptidase-dependent pilin
b0109	364.0	144.6489620046121	108108.0	140.94317100239988	297.0	nadC	K00767	Cofactor biosynthesis	quinolinate phosphoribosyltransferase
b0110	0.0	0.0	0.0	0.0					
b0111	0.0	0.0	0.0	0.0					
b0112	428.0	170.08174653289552	149800.0	195.29810019757556		aroP	K11734	Transport	aromatic amino acid transporter
b0113	100.0	39.73872582544288	25400.0	33.11463114164499	254.0	pdhR	K05799	Transcription factors	pyruvate dehydrogenase complex repressor
b0114	6050.0	2404.192912439294	5366350.0	6996.248064053803	887.0	aceE	K00163	Glycolysis	pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding
b0115	3148.0	1250.9750889849417	1983240.0	2585.600829344725	630.0	aceF	K00627	Glycolysis	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2
b0116	10116.0	4019.9695045018016	4794984.0	6251.343562601947	474.0	lpd	K00382	Glycolysis	lipoamide dehydrogenase, E3 component is part of three enzyme complexes
b0117	0.0	0.0	0.0	0.0					
b0118	10769.0	4279.463384141944	9315185.0	12144.445483904894	865.0	acnB	K01682	TCA cycle and anaplerotic enzymes	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
b0119	0.0	0.0	0.0	0.0					
b0120	0.0	0.0	0.0	0.0	264.0	speD	K01611	Amino acid metabolism	S-adenosylmethionine decarboxylase
b0121	366.0	145.44373652112094	105408.0	137.42311178655572	288.0	speE	K00797	Amino acid metabolism	spermidine synthase (putrescine aminopropyltransferase)
b0122	0.0	0.0	0.0	0.0					
b0123	410.0	162.9287758843158	143500.0	187.0846286939392					
b0124	128.0	50.86556905656688	101888.0	132.83399754960334	796.0	gcd	K00117	Pentose phosphate metabolism	glucose dehydrogenase
b0125	757.0	300.8221544986026	134746.0	175.67181448079117	178.0	hpt	K00760	Purine metabolism	hypoxanthine phosphoribosyltransferase
b0126	2677.0	1063.8056903471058	588940.0	767.8161757700946	220.0	can	K01673	Other enzymes	carbonic anhydrase
b0127	243.0	96.5651037558262	74844.0	97.57604146319991	308.0	yadG	K01990	Transport	putative ABC superfamily transporter ATP-binding subunit
b0128	0.0	0.0	0.0	0.0	256.0	yadH	K01992	Transport	inner membrane putative ABC superfamily transporter permease
b0129	0.0	0.0	0.0	0.0	146.0	yadI	K02821	Transport	putative PTS Enzyme IIA
b0130	0.0	0.0	0.0	0.0					
b0131	0.0	0.0	0.0	0.0	126.0	panD	K01579	Amino acid metabolism	aspartate 1-decarboxylase
b0132	0.0	0.0	0.0	0.0					
b0133	951.0	377.91528259996176	269133.0	350.87559145843863	283.0	panC	K01918	Amino acid metabolism	pantothenate synthetase
