!!SBtab TableType='Proteomaps' Organism='sce' DefaultProteinLength='350' ProteinURL='identifiers.org/sgd/'
!Protein:Identifier	!Abundance:[original]	!Abundance:[ppm]	!SizeWeightedAbundance:[original]	!SizeWeightedAbundance:[ppm]	!Protein:Size	!Protein:Name	!Identifiers:kegg.orthology	!Pathway	!Protein
YAL001C	1092.5194	64.82946703748951	382381.79	54.57138275771483		TFC3	K15204	Transcription machinery	Tfc3p
YAL002W	1217.5085	72.24624768092292	426127.97	60.81459201976648					
YAL003W	16623.318	986.4180410294829	3457650.1	493.45641446301863	208.0	EFB1	K03232	Translation factors	translation elongation factor 1 subunit beta
YAL005C	9286.8093	551.0738732857293	5962131.6	850.8819564746185	642.0	Ssa1	K03283	Chaperones and folding catalysts	Hsp70 family ATPase SSA1
YAL007C	4101.9639	243.40815681993553	1435687.4	204.89324720674702		ERP2	K14825	Ribosome biogenesis	Erp2p
YAL008W	2151.4562	127.66616208417209	753009.67	107.46531345499096					
YAL009W	842.12055	49.970944623791155	294742.19	42.06395096727045					
YAL010C	820.52265	48.689337774403405	287182.93	40.985135810238305		MDM10	K17774	Mitochondrial biogenesis	Mdm10p
YAL011W	1599.3524	94.90464306366526	999595.25	142.65662334637756	625.0	SWC3	K11682	Chromosome-related	Swc3p
YAL012W	9431.0865	559.6351985872858	3715848.1	530.304983756228	394.0	CYS3	K01758	Amino acid metabolism	cystathionine gamma-lyase CYS3
YAL013W	2302.8844	136.65182357489377	806009.54	115.02915741282987					
YAL014C	2346.1729	139.22053803786108	598274.09	85.38232000905045	255.0	SYN8	K08501	SNARE interactions in vesicular transport	Syn8p
YAL015C	698.14844	41.42772318574363	278561.23	39.75469517988771	399.0	NTG1	K10773	Base excision repair	bifunctional N-glycosylase/AP lyase NTG1
YAL016W	4121.2785	244.55427397267658	2617011.8	373.4852347944086	635.0	TPD3	K03456	mRNA surveillance pathway	protein phosphatase 2A structural subunit TPD3
YAL017W	3640.6077	216.0315477085171	1274212.7	181.84848438112405		PSK1	K08286	Other enzymes	Psk1p
YAL018C	173.15549	10.274946267604351	60604.421	8.649122792172426					
YAL019W	979.44863	58.11991317820009	342807.02	48.92349371671596		FUN30	K14439	Chromosome-related	Fun30p
YAL020C	1075.9116	63.84396982557252	376569.06	53.741822559000205		ATS1	K15462	Transfer RNA biogenesis	Ats1p
YAL021C	2647.2125	157.08405316187537	2215716.9	316.21467913688394	837.0	CCR4	K12603	RNA degradation	Ccr4p
YAL022C	1358.0368	80.58511543254768	475312.88	67.83398629979679		FUN26	K15014	Alcoholism	Fun26p
YAL023C	6693.0746	397.1631617343896	5080043.6	724.995308279402	759.0	PMT2	K00728	Glycan metabolism	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2
YAL024C	1510.8194	89.65114623310092	2168025.8	309.4084730352899	1435.0	LTE1	K06681	Cell cycle	Lte1p
YAL025C	732.50842	43.46662445451634	256377.95	36.58882197316005		MAK16	K14831	Ribosome biogenesis	Mak16p
YAL026C	1750.3507	103.86479453792462	2371725.2	338.47930803744015	1355.0	DRS2	K14802	Ribosome biogenesis	aminophospholipid-translocating P4-type ATPase DRS2
YAL027W	459.47722	27.265111528882066	160817.03	22.950903854728303		SAW1	K15080	DNA repair and recombination proteins	Saw1p
YAL028W	357.64148	21.222237828361642	125174.52	17.86420488913248					
YAL029C	2619.6485	155.4484214015411	916876.97	130.85153472293703		MYO4	K10357	Messenger RNA Biogenesis	myosin 4
YAL030W	2111.4618	125.29291760312748	249152.49	35.55764487850668	118.0	SNC1	K08513	SNARE interactions in vesicular transport	SNAP receptor SNC1
YAL031C	1487.1576	88.24706875571455	520505.16	74.28357483688121					
YAL032C	1094.5855	64.95206821221113	421415.42	60.14204333533548	385.0	PRP45	K06063	Spliceosome	Prp45p
YAL033W	2496.0151	148.11208720918464	431810.61	61.62558650387698	173.0	POP5	K03537	Ribosome biogenesis in eukaryotes	Pop5p
YAL034C	2061.0049	122.29883444509485	721351.71	102.94726710009414					
YAL034W-A	740.15795	43.92054312450727	213905.65	30.527413714412976	289.0	MTW1	K11559	Chromosome-related	Mtw1p
YAL035W	8408.0244	498.92728741494886	8441656.5	1204.7458326157512	1004.0	FUN12	K03243	RNA transport	translation initiation factor eIF5B
YAL036C	2219.8861	131.7267526296843	776960.14	110.88339009927145					
YAL037C-A	118.95917	7.058968097337321	41635.709	5.942014687016952					
YAL037W	290.53183	17.239990151503495	101686.14	14.512075135938288					
YAL038W	20401.005	1210.5837948316146	10200502.0	1455.7583899663098	500.0	Pyk1	K00873	Glycolysis	pyruvate kinase CDC19
YAL039C	3646.0045	216.35179068791678	980775.21	139.97073287456533	269.0	CYC3	K01764	Cofactor biosynthesis	holocytochrome c synthase CYC3
YAL040C	4671.6429	277.2125780068271	2709552.9	386.69218115270655	580.0	CLN3	K06646	Cell cycle	Cln3p
YAL041W	1575.492	93.4887807775573	1345470.2	192.0179548123856	854.0	CDC24	K11236	MAPK signaling pathway	Cdc24p
YAL042W	3719.8059	220.73112292551417	1301932.1	185.80444155997975					
YAL043C	1972.7039	117.05910435986492	690446.36	98.53662901999324		Pta1	K06100	mRNA surveillance pathway	Pta1p
YAL044C	12756.595	756.9689426687559	4464808.2	637.1923653110777		Gcv3		Amino acid metabolism	glycine decarboxylase subunit H
YAL044W-A	3105.9076	184.30275414394302	1087067.7	155.1402004270358					
YAL046C	3215.8158	190.82464293516247	1125535.5	160.63010892306335					
YAL047C	479.85053	28.474051918489383	167947.69	23.968551625494598		Spc72		Cytoskeleton proteins	
YAL048C	833.96848	49.487205521902155	291888.97	41.656755424009965		GEM1	K07870	Mitochondrial biogenesis	ERMES complex Ca(2+)-binding regulatory GTPase GEM1
YAL049C	5535.6233	328.48067344095574	1937468.2	276.50458648436364					
YAL051W	1527.4793	90.6397350287762	534617.76	76.29764589477999					
YAL053W	3041.0891	180.45646197817507	1064381.2	151.90251048648477					
YAL054C	8992.3259	533.599399264135	6411528.4	915.0173453039146	713.0	ACS1	K01895	Glycolysis	acetate--CoA ligase 1
YAL055W	1240.3433	73.6012514583457	434120.16	61.95519251636016					
YAL056W	1853.8068	110.00381946029874	648832.38	92.5977153738913					
YAL058W	699.97908	41.53635230073922	351389.5	50.14833708880863	502.0	CNE1	K08054	Protein processing in endoplasmic reticulum	Cne1p
YAL059W	1134.7551	67.33570895956	397164.29	56.681058183461225					
YAL060W	2745.4944	162.91604405964054	1048778.9	149.67583780628024	382.0	BDH1	K00004	Butanoate metabolism	(R,R)-butanediol dehydrogenase
YAL061W	888.29208	52.71073641348885	370417.8	52.86394925885634	417.0	BDH2	K00004	Butanoate metabolism	putative dehydrogenase BDH2
YAL062W	7499.2999	445.0041030587634	3427180.1	489.1079070912958	457.0	GDH3	K00262	Amino acid metabolism	glutamate dehydrogenase (NADP(+)) GDH3
YAL063C-A	211.95507	12.577290823388383	74184.274	10.587163188543032					
YAL064C-A	185.40825	11.002017933826727	64892.888	9.261148731223626					
YAL064W	198.8519	11.79975632139087	69598.165	9.93265945391801					
YAL064W-B	313.03927	18.575568576544068	109563.74	15.636321990926268					
YAL065C	310.29668	18.412824877894554	108603.84	15.499330450850234					
YAL067C	2346.8317	139.25963084745723	821391.1	117.22432731924921					
YAL067W-A	131.57666	7.80768263005029	46051.831	6.572258831139938					
YAR002C-A	5301.6642	314.5976762497199	1855582.5	264.818319005247					
YAR002W	1889.488	112.1211211569625	661320.8	94.37999257872133		NUP60	K18718	Messenger RNA Biogenesis	Nup60p
YAR003W	1017.0304	60.34999359546821	355960.64	50.800704531774734		SWD1	K14961	Chromosome-related	Swd1p
YAR007C	3098.9051	183.8872298585802	1924420.1	274.6424348914205	621.0	RFA1	K07466	DNA replication	Rfa1p
YAR008W	1090.0212	64.68122529958256	299755.83	42.77946952648163	275.0	SEN34	K15323	Transfer RNA biogenesis	Sen34p
YAR014C	1955.9874	116.06715695304341	684595.59	97.70163996599736					
