!!SBtab TableType='Proteomaps' Organism='spo'
!ProteinIdentifier	!Abundance[original])	!Abundance[ppm]	!SizeWeightedAbundance[original]	!SizeWeightedAbundance[ppm]	!ProteinSize	!ProteinName	!Identifiers:kegg.orthology	!Pathway
SPBC16H5.02	77207.0	2459.10124177	71956924.0	6336.50249764	932.0	Pfk1	K00850	Glycolysis
SPAC4H3.10c	206022.0	6561.95624789	103835090.0	9143.68306138	504.0	Pyk1	K00873	Glycolysis
SPAC1F8.07c	200256.0	6378.30479453	70089600.0	6172.06657498	350	SPAC1F8.07c	K01568	Glycolysis
SPCC417.08	58844.0	1874.22582759	61903888.0	5451.23553261	1052.0	Tef3	K03235	Translation factors
SPCC1739.13	68852.0	2192.98818369	43927576.0	3868.24755099	638.0	Ssa2	K03283	Chaperones and folding catalysts
SPBC19C2.07	292133.0	9304.65661223	104875750.0	9235.32323057	359.0	Fba1	K01624	Glycolysis
SPBC1815.01	292253.0	9308.47870283	125961040.0	11092.086768	431.0	Eno101	K01689	Glycolysis
SPAC926.04c	60585.0	1929.67799205	44348220.0	3905.28931998	732.0	Hsp90	K04079	Chaperones and folding catalysts
SPAC4A8.11c	23571.0	750.754146252	43299927.0	3812.97699139	1837.0	Fas2	K00667	Lipid and steroid metabolism
SPAC222.12c	97914.0	3118.63482568	50621538.0	4457.71559067	517.0	Atp2	K02133	Oxidative phosphorylation
SPAC9.09	71307.0	2271.18178723	55262925.0	4866.43456701	775.0	Met26	K00549	Amino acid metabolism
SPAC926.09c	21696.0	691.033980615	45453120.0	4002.58644193	2095.0	Fas1	K00668	Lipid and steroid metabolism
SPAC1071.10c	95744.0	3049.51868732	86839808.0	7647.08425122	907.0	Pma1	K01535	Transport
SPCP31B10.07	51682.0	1646.11072023	43774654.0	3854.78129116	847.0	Eft202	K03234	Translation factors
SPBC14F5.04c	227211.0	7236.84189572	90657189.0	7983.24153667	399.0	Pgk1	K00927	Glycolysis
SPBC215.08c	47799.0	1522.43423854	55351242.0	4874.2117323	1158.0	Arg4	K01955	Pyrimidine metabolism
SPBC32H8.12c	207736.0	6616.54844197	78731944.0	6933.10847752	379.0	Act1	K05692	Cytoskeleton proteins
SPBC660.16	69565.0	2215.69777201	24347750.0	2144.05466647	350	SPBC660.16	K00033	Pentose phosphate metabolism
SPAC26A3.05	26641.0	848.535964121	45982366.0	4049.19166648	1726.0	Chc1	K04646	Endocytosis
SPCC13B11.01	261089.0	8315.88177382	88770260.0	7817.07920431	340.0	Adh1	K13953	Glycolysis
SPAC637.05c	54217.0	1726.85238417	27488019.0	2420.5856972	507.0	Vma2	K02147	Oxidative phosphorylation
SPAC23A1.10	3366.0	107.209641351	1518066.0	133.680380787	451.0	Ef1A-b	K03231	Translation factors
SPBC32F12.11	272090.0	8666.27192964	88701340.0	7811.01013232	326.0	Tdh1	K00134	Glycolysis
SPCC794.09c	2755.0	87.7488300421	1242505.0	109.414571916	451.0	Ef1A-a	K03231	Translation factors
SPAC56E4.04c	11060.0	352.269350369	25802980.0	2272.20173026	2333.0	Cut6	K11262	Lipid and steroid metabolism
SPBC2G5.05	72152.0	2298.09567521	25253200.0	2223.78828858	350	SPBC2G5.05		Pentose phosphate metabolism
SPAC1565.08	34070.0	1085.15522306	27903330.0	2457.15784401	819.0	Cdc48	K13525	Protein processing in endoplasmic reticulum
SPAC3G9.11c	52334.0	1666.8774125	18316900.0	1612.98004622	350	SPAC3G9.11c	K01568	Glycolysis
SPAC12G12.04	44876.0	1429.33448166	25354940.0	2232.74747872	565.0	Mcp60	K04077	RNA degradation
SPAC343.05	50094.0	1595.53172128	31308750.0	2757.03798252	625.0	Vma1	K02145	Oxidative phosphorylation
SPBC215.05	94947.0	3024.13363558	36174807.0	3185.54132341	381.0	Gpd1	K00006	Lipid and steroid metabolism
SPBC354.12	84934.0	2705.2120257	27518616.0	2423.28005872	324.0	Gpd3	K00134	Glycolysis
SPBC1709.05	60726.0	1934.16894851	21254100.0	1871.62888918	350	Sks2		Chaperones and folding catalysts
SPAC14C4.14	65853.0	2097.46776942	35033796.0	3085.06427896	532.0	Atp1	K02132	Oxidative phosphorylation
SPBC1778.06c	37488.0	1194.02110367	13120800.0	1155.41322988	350			
SPAC24C9.06c	44930.0	1431.05442243	15725500.0	1384.78223481	350	SPAC24C9.06c	K01681	TCA cycle and anaplerotic enzymes
SPBC17G9.11c	25202.0	802.702727667	29965178.0	2638.72348461	1189.0	Pyr1	K01958	TCA cycle and anaplerotic enzymes
SPAC110.04c	32575.0	1037.53834433	23779750.0	2094.03677773	730.0	Pss1	K09485	Chaperones and folding catalysts
SPBC16E9.16c	18752.0	597.265357877	6563200.0	577.953181997	350			
SPCC794.12c	75486.0	2404.2860924	42876048.0	3775.65034938	568.0	Mae2	K00027	Glycolysis
SPAC1006.07	53577.0	1706.46790097	18751950.0	1651.29040272	350	SPAC1006.07	K03257	RNA transport
