Systematic name	Abundance (data value)	Abundance [ppm]	Size-weighted abundance	Size-weighted abundance [ppm]	Size	Gene name	KO number	KO category
A0AV56	38350586.0	69.661271955	13422705000.0	52.3408024358	350			
Q9H173	4228406.3	7.68061695852	1978894100.0	7.71654484915	468.0	Sil1	K14001	Protein processing in endoplasmic reticulum
Q99798	51720059.0	93.9460245934	41634647000.0	162.351093398	805.0	Aco2	K01681	TCA cycle and anaplerotic enzymes
O95816	53088935.0	96.4324962033	11201765000.0	43.6804182761	211.0	Bag2	K09556	Chaperones and folding catalysts
P21980	8967950.3	16.2896813292	6160981900.0	24.0242735304	687.0	Tgm2	K05625	CAM ligands
P16949	362241740.0	657.987869171	53974019000.0	210.467522392	149.0	StmN1	K04381	MAPK signaling pathway
Q9P2E9	481588010.0	874.772378573	7.4164554e+11	2891.98955699	1540.0	RrbP1	K14000	Protein processing in endoplasmic reticulum
A2A3N8	25853321.0	46.9608267556	9048662400.0	35.2845608234	350			
P62753	377892200.0	686.415881986	94095158000.0	366.916808128	249.0	Rps6	K02991	Ribosome
P45880	369213660.0	670.651895091	1.0854882e+11	423.277747835	294.0	VdaC2	K05862	Calcium signaling pathway
O75955	3080104.3	5.59480325261	1820341600.0	7.0982816095	591.0	FloT1	K07192	Insulin signaling pathway
O15212	39040072.0	70.913677114	5036169300.0	19.6381535886	129.0	PfdN6	K04798	Chaperones and folding catalysts
P04439	12123824.0	22.0221146242	4497938700.0	17.5393648944	371.0	Hla-a	K06751	Endocytosis
A2BFH1	5902931200.0	10722.2793324	9.6808072e+11	3774.95606939	164.0	PpiAl4g	K12738	Chaperones and folding catalysts
Q04917	203753680.0	370.104918718	50123405000.0	195.452350217	246.0	YwhAh	K06630	Cell cycle
A2T926	17836771.0	32.3993003765	6242869800.0	24.3435890779	350			
O95865	54339265.0	98.7036369405	15486691000.0	60.3891565832	285.0	DdaH2	K01482	Other enzymes
A5PL29	37657469.0	68.4022713277	13180114000.0	51.3948375499	350			
P30044	169743200.0	308.327158748	36325045000.0	141.646710094	214.0	PrdX5	K11187	Peroxisome
Q9GZQ8	40082946.0	72.8079879161	5010368200.0	19.53754419	125.0	Map1lc3b	K10435	Cytoskeleton proteins
A6NCP5	2645667.5	4.8056778903	925983620.0	3.6108016762	350			
Q9UKK9	39071774.0	70.9712616746	9064651600.0	35.346909475	232.0	NudT5	K13987	Purine metabolism
A6NDF3	30086975.0	54.6509758098	10530441000.0	41.0626421383	350			
P08865	1464133800.0	2659.50102615	4.3191947e+11	1684.23664585	295.0	RpsA	K02998	Ribosome
P61326	17490134.0	31.7696574729	2553559600.0	9.95740862454	146.0	MagOh	K12877	Spliceosome
O95861	11330826.0	20.5816868473	3671187600.0	14.315512773	324.0	BpnT1	K01082	Amino acid metabolism
A6NFL3	43968666.0	79.866138153	15389033000.0	60.0083467476	350			
Q9NYB9	10899475.0	19.7981666341	5591430700.0	21.8033525733	513.0	Abi2	K05751	Regulation of actin cytoskeleton
Q9NYB9	10948094.0	19.8864797926	5616372200.0	21.900610028	513.0	Abi2	K05751	Regulation of actin cytoskeleton
A6NFQ9	8044672.9	14.6126097441	2815635500.0	10.9793533745	350			
A6NG10	7412048.9	13.4634906013	2594217100.0	10.1159494086	350			
Q13162	186436780.0	338.649929208	50524367000.0	197.015870597	271.0	PrdX4	K03386	Other enzymes
Q13813	500829920.0	909.724019871	1.2405557e+12	4837.45122941	2477.0	SptAn1	K06114	Cytoskeleton proteins
A6NGP5	51484820.0	93.5187286988	18019687000.0	70.2663790362	350			
P22090	163569660.0	297.113336648	43018821000.0	167.748573107	263.0	Rps4y1	K02987	Ribosome
P30046	115144300.0	209.151912213	19113954000.0	74.5333887678	166.0	Ddt	K10028	Other enzymes
Q9H7Z7	7371382.4	13.3896226266	2779011200.0	10.8365397426	377.0	PtgEs2	K05309	Lipid and steroid metabolism
O95825	7896736.7	14.3438935409	2755961100.0	10.7466576562	349.0	CryZl1	K00540	Other enzymes
P17516	9414724.7	17.1012171159	3040956100.0	11.8579736682	323.0	Akr1c4	K00037	Lipid and steroid metabolism
A6NIR2	13722530.0	24.9260570423	4802885500.0	18.728481411	350	MRPL23	K02892	Ribosome
P32119	356143970.0	646.911678203	70516506000.0	274.97367401	198.0	PrdX2	K03386	Other enzymes
Q92890	17442671.0	31.6834441109	5982836200.0	23.3296081192	343.0	Ufd1l	K14016	Protein processing in endoplasmic reticulum
A6NJA2	77726473.0	141.184934534	38396878000.0	149.725663013	494.0	Usp14	K11843	Ubiquitin labeling
A6NJG9	150936950.0	274.166864674	37734238000.0	147.141749463	250.0	PsmE1	K06696	Proteasome
O14602	51372923.0	93.3154752897	7397700900.0	28.8467638442	144.0	Eif1ay	K03236	Translation factors
A6NKH4	146889340.0	266.81465209	51411269000.0	200.474276511	350			
P07437	1638097000.0	2975.49353237	7.2731507e+11	2836.10899498	444.0	TubB	K07375	Cytoskeleton proteins
A6NL28	990602320.0	1799.36279495	3.4671081e+11	1351.97205098	350			
P68032	6810742300.0	12371.257419	2.5676498e+12	10012.3522722	377.0	ActC1	K12314	Cytoskeleton proteins
P21810	3305489.4	6.00420019756	1216420100.0	4.74333631954	368.0	Bgn	K08118	Glycan metabolism
P51571	45609215.0	82.8460855792	7890394200.0	30.7679833508	173.0	Ssr4	K04571	Protein processing in endoplasmic reticulum
A6NLN1	369790640.0	671.699940634	2.0597339e+11	803.177341156	557.0			
A6NM69	248596180.0	451.55831783	3.8035216e+11	1483.1538995	1530.0	Scp2	K08764	Peroxisome
A6NMQ3	13699278.0	24.883821341	4794747300.0	18.696747128	350			
P11908	6743328.0	12.2488038563	2144378300.0	8.3618377181	318.0	PrpS2	K00948	Pentose phosphate metabolism
Q92783	27807781.0	50.5109724974	15016202000.0	58.5545210312	540.0	StaM	K04705	Jak-STAT signaling pathway
A6NMY6	6310537500.0	11462.6688878	2.2086881e+12	8612.60882098	350			
A6NN80	344399660.0	625.578925351	1.2053988e+11	470.035961061	350			
A6NNR3	60409796.0	109.730350089	25009656000.0	97.5232237975	414.0	Ppp1ca	K06269	Regulation of actin cytoskeleton
Q08257	48463700.0	88.0310664783	15944557000.0	62.1745697207	329.0	CryZ	K00344	Other enzymes
P68104	6759837800.0	12278.7928027	3.1230451e+12	12178.0733896	462.0	Eef1a1	K03231	Translation factors
A6PWM2	9073284.2	16.4810133066	3175649500.0	12.3832001884	350			
A7MAP0	121648610.0	220.966555874	42577014000.0	166.0257808	350			
P35241	177392670.0	322.221908883	1.0714517e+11	417.804322968	604.0	Rdx	K05762	Regulation of actin cytoskeleton
P28482	16269119.0	29.5517654705	5856882800.0	22.8384625546	360.0	MapK1	K04371	Chromosome-related
A8K0Z3	5156060.6	9.36563888941	1804621200.0	7.0369811227	350			
O00506	7807947.3	14.1826135401	3326185500.0	12.9702037049	426.0	Stk25	K08839	Other enzymes
P11142	6866685100.0	12472.8737699	4.4358786e+12	17297.3663231	646.0	HspA8	K03283	Chaperones and folding catalysts
A8K854	381251110.0	692.517117127	1.71563e+11	668.996680497	450.0	TubB3	K07375	Cytoskeleton proteins
A8K8G0	184111740.0	334.426649706	64439109000.0	251.275333348	350			
A8KAH5	16371462.0	29.7376646783	5730011700.0	22.3437384897	350			
A8MQB8	45055986.0	81.8411821386	15769595000.0	61.492318902	350			
