!!SBtab TableType='Proteomaps' Organism='eco' DefaultProteinLength='350' ProteinURL='www.genome.jp/dbget-bin/www_bget?eco:'
!Protein:Identifier	!Abundance:[original]	!Abundance:[ppm]	!SizeWeightedAbundance:[original]	!SizeWeightedAbundance:[ppm]	!Protein:Size	!Protein:Name	!Identifiers:kegg.orthology	!Pathway	!Protein
b0002	932.0	436.28996242850604	764240.0	1161.335796137986	820.0	thrA	K12524	Amino acid metabolism	Bifunctional aspartokinase/homoserine dehydrogenase 1
b0003	112.0	52.429695055786134	34720.0	52.760361721332146	310.0	thrB	K00872	Amino acid metabolism	homoserine kinase
b0004	2347.0	1098.6829847850897	1004516.0	1526.4581657507397	428.0	thrC	K01733	Amino acid metabolism	L-threonine synthase
b0005	0.0	0.0	0.0	0.0					
b0006	43.0	20.129257923203603	15050.0	22.869914859045185					
b0007	0.0	0.0	0.0	0.0					
b0008	4555.0	2132.2969730277305	1443935.0	2194.1973762123193	317.0	talB	K00616	Pentose phosphate metabolism	transaldolase B
b0009	141.0	66.00524109701647	27495.0	41.78128299331876	195.0	mog	K03831	Sulfur relay system	molybdochelatase incorporating molybdenum into molybdopterin
b0010	0.0	0.0	0.0	0.0					
b0011	0.0	0.0	0.0	0.0					
b0013	0.0	0.0	0.0	0.0					
b0014	5869.0	2747.40964537865	3744422.0	5690.007464208352	638.0	dnaK	K04043	Chaperones and folding catalysts	chaperone Hsp70, with co-chaperone DnaJ
b0015	346.0	161.97030794019645	130096.0	197.69331850513902	376.0	dnaJ	K03686	Chaperones and folding catalysts	chaperone Hsp40, DnaK co-chaperone
b0018	0.0	0.0	0.0	0.0					
b0019	0.0	0.0	0.0	0.0	388.0	nhaA	K03313	Transport	sodium-proton antiporter
b0020	0.0	0.0	0.0	0.0	301.0	nhaR	K03717	Transcription factors	transcriptional activator of nhaA
b0023	8015.0	3752.000052429695	697305.0	1059.6216598529238	87.0	rpsT	K02968	Ribosome	30S ribosomal subunit protein S20
b0024	0.0	0.0	0.0	0.0					
b0025	0.0	0.0	0.0	0.0	313.0	ribF	K11753	Cofactor biosynthesis	bifunctional riboflavin kinase/FAD synthetase
b0026	1088.0	509.31703768477956	1020544.0	1550.8142451767048	938.0	IleS	K01870	tRNA loading	isoleucyl-tRNA synthetase
b0027	0.0	0.0	0.0	0.0	164.0	lspA	K03101	Protein export	prolipoprotein signal peptidase (signal peptidase II)
b0028	675.0	315.9825371665682	100575.0	152.83333468096143	149.0	fkpB	K03774	Chaperones and folding catalysts	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)
