!!SBtab TableType='Proteomaps' Organism='sce' DefaultProteinLength='350' ProteinURL='identifiers.org/sgd/'
!Protein:Identifier	!Abundance:[original]	!Abundance:[ppm]	!SizeWeightedAbundance:[original]	!SizeWeightedAbundance:[ppm]	!Protein:Size	!Protein:Name	!Identifiers:kegg.orthology	!Pathway	!Protein
YAL001C	1127.0749	74.09066608393425	394476.22	62.815059737596705		TFC3	K15204	Transcription machinery	Tfc3p
YAL002W	1612.741	106.01696028442316	564459.35	89.88259872723128					
YAL003W	14872.586	977.6810779217915	3093497.9	492.598147960934	208.0	EFB1	K03232	Translation factors	translation elongation factor 1 subunit beta
YAL005C	8548.6322	561.9625224593044	5488221.9	873.9259023058132	642.0	Ssa1	K03283	Chaperones and folding catalysts	Hsp70 family ATPase SSA1
YAL007C	2964.7704	194.89548895280356	1037669.6	165.23499923997466		ERP2	K14825	Ribosome biogenesis	Erp2p
YAL008W	2959.4979	194.54888994955405	1035824.3	164.94115990605033					
YAL009W	866.96726	56.991937063245224	303438.54	48.31852732919902					
YAL010C	767.51652	50.45433111608043	268630.78	42.775857295167754		MDM10	K17774	Mitochondrial biogenesis	Mdm10p
YAL011W	1362.2135	89.54800214566696	851383.44	135.57142086587774	625.0	SWC3	K11682	Chromosome-related	Swc3p
YAL012W	2732.7595	179.6437589038662	1076707.2	171.45121469654237	394.0	CYS3	K01758	Amino acid metabolism	cystathionine gamma-lyase CYS3
YAL013W	1950.2569	128.20428594034766	682589.92	108.6933113511414					
YAL014C	2174.2751	142.9305988525809	554440.15	88.28717518934874	255.0	SYN8	K08501	SNARE interactions in vesicular transport	Syn8p
YAL015C	668.51984	43.94657376889961	266739.42	42.474683522550215	399.0	NTG1	K10773	Base excision repair	bifunctional N-glycosylase/AP lyase NTG1
YAL016W	4063.304	267.10993196771074	2580198.0	410.8620071061002	635.0	TPD3	K03456	mRNA surveillance pathway	protein phosphatase 2A structural subunit TPD3
YAL017W	3866.1492	254.14954179874783	1353152.2	215.47138196837417		PSK1	K08286	Other enzymes	Psk1p
YAL018C	202.01202	13.2796898580219	70704.207	11.258698905613127					
YAL019W	811.94816	53.37513948720251	284181.86	45.25215870361296		FUN30	K14439	Chromosome-related	Fun30p
YAL020C	1107.2244	72.78575124012117	387528.54	61.70873466117586		ATS1	K15462	Transfer RNA biogenesis	Ats1p
YAL021C	2294.0925	150.8070505191429	1920155.4	305.7590547700667	837.0	CCR4	K12603	RNA degradation	Ccr4p
YAL022C	1391.0549	91.44395292657174	486869.22	77.52740872110647		FUN26	K15014	Alcoholism	Fun26p
YAL023C	5868.6388	385.78745538386187	4454296.8	709.2871645874772	759.0	PMT2	K00728	Glycan metabolism	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2
YAL024C	1381.6378	90.82489982586031	1982650.2	315.7105154570738	1435.0	LTE1	K06681	Cell cycle	Lte1p
YAL025C	897.0675	58.97064036937535	313973.62	49.99609785433831		MAK16	K14831	Ribosome biogenesis	Mak16p
