!!SBtab TableType='Proteomaps' Organism='eco' DefaultProteinLength='350' ProteinURL='www.genome.jp/dbget-bin/www_bget?eco:'
!Protein:Identifier	!Abundance:[original]	!Abundance:[ppm]	!SizeWeightedAbundance:[original]	!SizeWeightedAbundance:[ppm]	!Protein:Size	!Protein:Name	!Identifiers:kegg.orthology	!Pathway	!Protein
b0002	4404.0	1149.8322247530368	3611280.0	3233.0520784771556	820.0	thrA	K12524	Amino acid metabolism	Bifunctional aspartokinase/homoserine dehydrogenase 1
b0003	554.0	144.642836628788	171740.0	153.75278681178605	310.0	thrB	K00872	Amino acid metabolism	homoserine kinase
b0004	7188.0	1876.7016420356103	3076464.0	2754.2501078731484	428.0	thrC	K01733	Amino acid metabolism	L-threonine synthase
b0005	0.0	0.0	0.0	0.0					
b0006	126.0	32.897107247702685	44100.0	39.48118026318717					
b0007	0.0	0.0	0.0	0.0					
b0008	10867.0	2837.244956037977	3444839.0	3084.043300150962	317.0	talB	K00616	Pentose phosphate metabolism	transaldolase B
b0009	189.0	49.34566087155403	36855.0	32.99498636280642	195.0	mog	K03831	Sulfur relay system	molybdochelatase incorporating molybdenum into molybdopterin
b0010	0.0	0.0	0.0	0.0					
b0011	0.0	0.0	0.0	0.0					
b0013	0.0	0.0	0.0	0.0					
b0014	9812.0	2561.796954876657	6260056.0	5604.408149515792	638.0	dnaK	K04043	Chaperones and folding catalysts	chaperone Hsp70, with co-chaperone DnaJ
b0015	599.0	156.39180350296752	225224.0	201.63513250784732	376.0	dnaJ	K03686	Chaperones and folding catalysts	chaperone Hsp40, DnaK co-chaperone
b0018	0.0	0.0	0.0	0.0					
b0019	0.0	0.0	0.0	0.0	388.0	nhaA	K03313	Transport	sodium-proton antiporter
b0020	0.0	0.0	0.0	0.0	301.0	nhaR	K03717	Transcription factors	transcriptional activator of nhaA
b0023	22080.0	5764.826412930756	1920960.0	1719.7679827295244	87.0	rpsT	K02968	Ribosome	30S ribosomal subunit protein S20
b0024	0.0	0.0	0.0	0.0					
b0025	0.0	0.0	0.0	0.0	313.0	ribF	K11753	Cofactor biosynthesis	bifunctional riboflavin kinase/FAD synthetase
b0026	2135.0	557.4232061416288	2002630.0	1792.8842637293997	938.0	IleS	K01870	tRNA loading	isoleucyl-tRNA synthetase
b0027	0.0	0.0	0.0	0.0	164.0	lspA	K03101	Protein export	prolipoprotein signal peptidase (signal peptidase II)
b0028	1960.0	511.73277940870844	292040.0	261.4531492984395	149.0	fkpB	K03774	Chaperones and folding catalysts	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)
b0029	275.0	71.79924200887491	86900.0	77.79851621022597	316.0	ispH	K03527	Cofactor biosynthesis	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein
b0030	146.0	38.11887030289359	44384.0	39.73543548302266	304.0	rihC	K12700	Other enzymes	ribonucleoside hydrolase 3
b0031	937.0	244.63959913569377	255801.0	229.00964608851567	273.0	dapB	K00215	Amino acid metabolism	dihydrodipicolinate reductase
b0032	3784.0	987.9575700421187	1445488.0	1294.094609892832	382.0	carA	K01956	Pyrimidine metabolism	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase
b0033	2766.0	722.1698305329018	2967918.0	2657.0726885341937	1073.0	carB	K01955	Pyrimidine metabolism	carbamoyl-phosphate synthase large subunit
b0034	0.0	0.0	0.0	0.0	131.0	caiF	K08277	Transcription factors	cai operon transcriptional activator
b0035	0.0	0.0	0.0	0.0					
