Systematic name	Abundance (data value)	Abundance [ppm]	Size-weighted abundance	Size-weighted abundance [ppm]	Size	Gene name	KO number	KO category
P11142	0.0043479776	4364.50548478	2.8087935	8179.56839685	646	HspA8	K03283	Chaperones and folding catalysts
P36578	0.0014790277	1484.64989994	0.63154483	1839.1398772	427	Rpl4	K02930	Ribosome
P06733	0.0049713953	4990.29297066	2.1575856	6283.16712754	434	Eno1	K01689	Glycolysis / Gluconeogenesis
P06733	6.8225275e-07	0.684846184439	0.00029609769	0.862274605628	434	Eno1	K01689	Glycolysis / Gluconeogenesis
P39023	0.0018059524	1812.81733261	0.72779882	2119.44389195	403	Rpl3	K02925	Ribosome
P23528	0.0055559496	5577.06932584	1.1334137	3300.64665881	204	Cfl1	K05765	Regulation of actin cytoskeleton
P68104	0.0067108309	6736.34065422	3.1004039	9028.77543611	462	Eef1a1	K03231	Translation factors
Q53HE2	0.0027766894	2787.24437675	0.79413317	2312.61806189	286	Tpi1	K01803	Glycolysis / Gluconeogenesis
P63244	0.0015138585	1519.6131016	0.52985048	1542.99283349	350			
P68400	0.0003415901	342.888579968	0.13561127	394.917482666	397	CsnK2a1	K03097	Ribosome biogenesis in eukaryotes
Q14152	0.0002171222	217.947542501	0.30006288	873.821749557	1382	Eif3a	K03254	Translation factors
Q7KZF4;B2R5U1;B3KU67;Q59FF0	0.0002662032	267.215113175	0.09317112	271.326300296	350			
P61978	0.0025165832	2526.14943999	1.1676946	3400.47705441	464	HnrNpk	K12886	Spliceosome
P61978	2.0364385e-05	20.4417957505	0.0094490746	27.5169221154	464	HnrNpk	K12886	Spliceosome
P62241	0.0024986262	2508.12418038	0.51971425	1513.47482636	208	Rps8	K02995	Ribosome
Q6P2Q9	0.0002362454	237.143435158	0.55163301	1606.42636607	2335	PrpF8	K12856	Spliceosome
P23396	0.001909837	1917.09682716	0.46409039	1351.49098263	243	Rps3	K02985	Ribosome
P11940	0.0003322158	333.47864562	0.21128925	615.301506463	636	PabPc1	K13126	RNA degradation
Q00610	0.0007560601	758.934096918	1.2664007	3687.92192928	1675	CltC	K04646	Endocytosis
P50991	0.0014946183	1500.2997642	0.80559926	2346.00879261	539	Cct4	K09496	Chaperones and folding catalysts
P06748	0.0031198757	3131.73522432	0.91724346	2671.13108088	294	Npm1	K11276	Chromosome-related
P62847	0.001612788	1618.91866044	0.46609573	1357.33079097	289	Rps24	K02974	Ribosome
P54136	0.0003897825	391.264172824	0.25725645	749.163912657	660	RarS	K01887	tRNA loading
P54136	1.9734826e-11	1.98098436198e-05	1.3024985e-08	3.79304337166e-05	660	RarS	K01887	tRNA loading
P14866	0.0016983582	1704.81413681	1.000333	2913.09852188	589	HnrNpl	K13159	
O43143	0.0006021689	604.457913218	0.47872428	1394.10675491	795	Dhx15	K12820	Spliceosome
P15880	0.0014867238	1492.37525498	0.43561007	1268.55262301	293	Rps2	K02981	Ribosome
O43242	0.0002708802	271.909891767	0.14465003	421.239515825	534	PsmD3	K03033	Proteasome
P31948	0.0011327975	1137.10358165	0.66835053	1946.32281554	590	StiP1	K09553	Chaperones and folding catalysts
O00148	0.0014756328	1481.24209497	0.63009521	1834.91839707	427	Ddx39	K13182	Other enzymes
P62750	0.0024540268	2463.35524553	0.4760812	1386.40976556	194	Rpl23a	K02893	Ribosome
P14678	0.0007399379	742.750611905	0.21310212	620.58081737	288	SnrPb	K11086	Spliceosome
P62906	0.0013542421	1359.38995481	0.29387054	855.788858009	217	Rpl10a	K02865	Ribosome
Q08211	0.0006463955	648.852630954	0.82092228	2390.63140019	1270	Dhx9	K13184	Other enzymes
P22626	0.0041016849	4117.27655702	1.4478948	4216.45612183	353	HnrNpa2b1	K13158	
Q16531	0.0004321538	433.796538043	0.49265533	1434.67576659	1140	Ddb1	K10610	Nucleotide excision repair
B3KT15	0.0004717808	473.574171407	0.16512328	480.860256431	350			
A8MXP9	0.0005557523	557.864870677	0.1945133	566.447779606	350			
P04843	0.0006910736	693.700564968	0.41948168	1221.58467427	607	Rpn1	K12666	N-Glycan biosynthesis
P51148	0.0005487863	550.872390954	0.13664779	397.935962392	249	Rab5c	K07889	GTP-binding signaling proteins
P61247	0.0019752601	1982.76861875	0.52146867	1518.58392334	264	Rps3a	K02984	Ribosome
P62910	0.0017871841	1793.97768902	0.27343917	796.290077356	153	Rpl32	K02912	Ribosome
P68371	0.0082264658	8257.73690842	3.6607773	10660.6549435	445	TubB2c	K07375	Phagosome
O00232	0.0002322198	233.102532721	0.10589223	308.371810879	456	PsmD12	K03035	Proteasome
P19338	0.0018613682	1868.44378363	1.3215714	3848.58611273	710	Ncl	K11294	Ribosome Biogenesis
P62280	0.0020210465	2028.72906573	0.31932535	929.916542876	158	Rps11	K02949	Ribosome
P07900	0.0018607554	1867.82865421	1.362073	3966.53198784	732	Hsp90aa1	K04079	Protein processing in endoplasmic reticulum
P05388	0.001479835	1485.46026872	0.4691077	1366.1020355	317	RplP0	K02941	Ribosome
Q8WWY3	0.0001027948	103.185551924	0.051294605	149.376495633	499	PrpF31	K12844	Spliceosome
P63104	0.0022584542	2267.03921912	0.55557973	1617.91972298	246	YwhAz	K06630	Cell cycle
P00558	0.0036033819	3617.07936727	1.5026103	4375.79470426	417	Pgk1	K00927	Glycolysis / Gluconeogenesis
