!!SBtab TableType='Proteomaps' Organism='sce' DefaultProteinLength='350' ProteinURL='identifiers.org/sgd/'
!Protein:Identifier	!Abundance:[original]	!Abundance:[ppm]	!SizeWeightedAbundance:[original]	!SizeWeightedAbundance:[ppm]	!Protein:Size	!Protein:Name	!Identifiers:kegg.orthology	!Pathway	!Protein
YAL001C	934.09486	71.61321971862345	326933.2	60.39768831395215		TFC3	K15204	Transcription machinery	Tfc3p
YAL002W	1299.9137	99.65904898925231	454969.8	84.0511889666181					
YAL003W	14704.356	1127.3226330020264	3058506.0	565.0288563362562	208.0	EFB1	K03232	Translation factors	translation elongation factor 1 subunit beta
YAL005C	7710.7468	591.1513149564624	4950299.4	914.5190522771757	642.0	Ssa1	K03283	Chaperones and folding catalysts	Hsp70 family ATPase SSA1
YAL007C	2813.4764	215.69769006796776	984716.74	181.91671797190085		ERP2	K14825	Ribosome biogenesis	Erp2p
YAL008W	2076.8654	159.22474749107047	726902.89	134.2881487249721					
YAL009W	703.92792	53.96726495319072	246374.77	45.515311895156714					
YAL010C	664.50843	50.945134418647285	232577.95	42.96648530280176		MDM10	K17774	Mitochondrial biogenesis	Mdm10p
YAL011W	1232.1768	94.4659388347243	770110.5	142.27032906508683	625.0	SWC3	K11682	Chromosome-related	Swc3p
YAL012W	2424.9366	185.90993803298707	955425.02	176.50536123376733	394.0	CYS3	K01758	Amino acid metabolism	cystathionine gamma-lyase CYS3
YAL013W	1559.9014	119.59123904994867	545965.49	100.86174636040072					
YAL014C	1770.129	135.70852644163702	451382.89	83.3885426762132	255.0	SYN8	K08501	SNARE interactions in vesicular transport	Syn8p
YAL015C	470.7498	36.090455373984234	187829.17	34.69958898615476	399.0	NTG1	K10773	Base excision repair	bifunctional N-glycosylase/AP lyase NTG1
YAL016W	3523.5765	270.13815073329727	2237471.1	413.3507459911556	635.0	TPD3	K03456	mRNA surveillance pathway	protein phosphatase 2A structural subunit TPD3
YAL017W	3242.3732	248.5794476819798	1134830.6	209.64877494220627		PSK1	K08286	Other enzymes	Psk1p
YAL018C	130.11152	9.975116306371786	45539.032	8.412887589437515					
YAL019W	673.84401	51.66085502730237	235845.4	43.57011450497952		FUN30	K14439	Chromosome-related	Fun30p
YAL020C	824.2121	63.18895942971793	288474.23	53.29277243836767		ATS1	K15462	Transfer RNA biogenesis	Ats1p
YAL021C	2066.8323	158.4555508863927	1729938.6	319.5891159572498	837.0	CCR4	K12603	RNA degradation	Ccr4p
YAL022C	1065.4188	81.68128729104893	372896.58	68.88897001643983		FUN26	K15014	Alcoholism	Fun26p
YAL023C	5429.0702	416.22453323469847	4120664.3	761.2521396965185	759.0	PMT2	K00728	Glycan metabolism	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2
YAL024C	1316.5374	100.93351985041997	1889231.2	349.0168547293263	1435.0	LTE1	K06681	Cell cycle	Lte1p
YAL025C	614.59216	47.118258836606145	215107.26	39.73894741662293		MAK16	K14831	Ribosome biogenesis	Mak16p
YAL026C	1362.5105	104.45808876994731	1846201.7	341.0675784572769	1355.0	DRS2	K14802	Ribosome biogenesis	aminophospholipid-translocating P4-type ATPase DRS2
YAL027W	357.39393	27.399925993803596	125087.88	23.108753678406014		SAW1	K15080	DNA repair and recombination proteins	Saw1p
YAL028W	370.75026	28.42390100521137	129762.59	23.97236030366804					
YAL029C	2456.6199	188.33896662684	859816.97	158.84271576305724		MYO4	K10357	Messenger RNA Biogenesis	myosin 4
YAL030W	2213.5272	169.7020468849913	261196.21	48.25342693970998	118.0	SNC1	K08513	SNARE interactions in vesicular transport	SNAP receptor SNC1
YAL031C	1356.26	103.97888858480631	474691.0	87.69448640712616					
YAL032C	858.45411	65.81415381922277	330504.83	61.05751177486943	385.0	PRP45	K06063	Spliceosome	Prp45p
YAL033W	2357.344	180.72789076730248	407820.51	75.340822073185	173.0	POP5	K03537	Ribosome biogenesis in eukaryotes	Pop5p
