!!SBtab TableType='Proteomaps' Organism='mmu'
!ProteinIdentifier	!Abundance[original])	!Abundance[ppm]	!SizeWeightedAbundance[original]	!SizeWeightedAbundance[ppm]	!ProteinSize	!ProteinName	!Identifiers:kegg.orthology	!Pathway
17196	87714286.0	12545.7204276	30700000000.0	12225.1450959	350	Mbp		Myelin
69187	55714.286	7.9687800911	19500000.0	7.76515730846	350			
12954	2209183.7	315.978187105	433000010.0	172.426317549	196.0	Cryaa	K09541	Crystallins
11354	121142.86	17.3269888256	42400001.0	16.8842398792	350			
14077	10075188.0	1441.04794861	1340000000.0	533.60568171	133.0	Fabp3	K08752	PPAR signaling pathway
12961	1642857.1	234.976841505	574999980.0	228.972579336	350	Crybb2		Crystallins
12889	3485714.3	498.559574417	1220000000.0	485.820098273	350			
12955	7942857.1	1136.06197026	1390000000.0	553.516341475	175.0	Cryab	K09542	Crystallins
380684	910091.74	130.169862336	992000000.0	395.027489743	1090.0	Nefh	K04574	Amyotrophic lateral sclerosis (ALS)
226180	8154761.9	1166.37058359	4110000000.0	1636.65623271	504.0	Ina	K07608	Cytoskeleton proteins
18039	13848987.0	1980.81210064	7519999900.0	2994.56318888	543.0	Nefl	K04572	Cytoskeleton proteins
17189	1800000.0	257.452893931	630000000.0	250.874313043	350	Mb		Hemoglobin
110187	12556.0	1.79587696455	4394600.0	1.74998770809	350			
20617	19428571.0	2778.8565716	2719999900.0	1083.13985141	140.0	Snca	K04528	Synaptic vesicle cycle
18823	14914286.0	2133.181162	5220000100.0	2078.67291932	350			
12962	98000.0	14.0168797807	34300000.0	13.658712599	350	Crybb3		Crystallins
19194	222285.71	31.7933885105	77799998.0	30.9809857983	350			
12373	26683.429	3.81651445336	9339200.2	3.71899275324	350			
21956	114617.94	16.3937335274	34500000.0	13.738355238	301.0	Tnnt2	K12045	Cardiac muscle contraction
70350	14428571.0	2063.70964402	5049999800.0	2010.97655665	350			
22349	353083.43	50.5013060291	292000000.0	116.278253029	827.0	Vil1	K05761	Cytoskeleton proteins
218038	4169096.2	596.303267647	2860000000.0	1138.88973857	686.0	Amph	K12562	Fc gamma R-mediated phagocytosis
21954	159715.64	22.8440298467	33700000.0	13.4197846818	211.0	Tnni3	K12044	Cardiac muscle contraction
66473	200380.23	28.6602611667	52700000.0	20.9858353926	263.0	Ctrb1	K01310	Pancreatic secretion
19752	300671.14	43.0048083969	44800000.0	17.8399511497	149.0	RnaSe1	K01168	Other enzymes
11723	602857.14	86.2262862887	211000000.0	84.0229842095	350			
21924	1559006.2	222.983698803	251000000.0	99.9515120217	161.0	Tnnc1	K05865	Calcium signaling pathway
68416	6499.7143	0.929650142365	2274900.0	0.905895198001	350			
16204	1250000.0	178.786731896	160000000.0	63.7141112489	128.0	Fabp6	K08755	PPAR signaling pathway
19660	239428.57	34.2453212423	83800000.0	33.3702657666	350			
22003	235563.38	33.6924854917	66900000.0	26.6404627659	284.0	Tpm1	K10373	Cardiac muscle contraction
22003	6232394.4	891.415541332	1770000000.0	704.837355691	284.0	Tpm1	K10373	Cardiac muscle contraction
22003	53873.239	7.70545626998	15300000.0	6.09266188818	284.0	Tpm1	K10373	Cardiac muscle contraction
22003	904929.58	129.431521764	257000000.0	102.340791194	284.0	Tpm1	K10373	Cardiac muscle contraction
22072	55691.057	7.9654576615	13700000.0	5.45552077569	246.0	Prss2	K01312	Neuroactive ligand-receptor interaction
282619	18122.857	2.59210110052	6343000.0	2.52586629782	350			
12716	11339713.0	1621.91218233	4740000000.0	1887.53054575	418.0	Ckmt1	K00933	Amino acid metabolism
19293	1148571.4	164.279461564	401999990.0	160.081700531	350	Pvalb		Blood proteins
17906	1506024.1	215.405701597	250000000.0	99.5532988264	166.0	Myl2	K10351	Cardiac muscle contraction
12409	504098.36	72.1008786709	123000000.0	48.9802230226	244.0	Cbr2	K00081	Lipid and steroid metabolism
227120	348571.43	49.8559574417	122000000.0	48.5820098273	350			
56727	7556.4912	1.080800293	2153600.0	0.85759193741	285.0	Miox	K00469	Carbohydrate metabolism
109901	136090.23	19.4649019718	36200001.0	14.4153180683	266.0	CelA1	K01326	Peptidases
12613	49582.638	7.09177424545	29700000.0	11.8269319006	599.0	Cel	K12298	Lipid and steroid metabolism
12307	2277142.9	325.698349721	797000020.0	317.375924623	350			
12308	1802857.1	257.861543188	630999980.0	251.272518274	350			
12970	34857.143	4.98559574417	12200000.0	4.85820098273	350	Crygs		Crystallins
22227	44299.674	6.33615515082	13600000.0	5.41569945616	307.0	Ucp1	K08769	PPAR signaling pathway
59006	8745.7143	1.25089414224	3061000.0	1.21893059083	350			
109697	153937.95	22.0176503962	64500001.0	25.6847514954	419.0	Cpa1	K08779	Pancreatic secretion
55948	31499.194	4.5053103621	7811800.1	3.11076187891	248.0	Sfn	K06644	Cell cycle
215384	234000.0	33.468876211	81900000.0	32.6136606955	350			
13706	52029.52	7.44175027434	14100000.0	5.61480605381	271.0	Cela2a	K01346	Pancreatic secretion
26950	20971429.0	2999.53060328	7340000200.0	2922.88493319	350			
16618	3774.8276	0.539911272061	985230.0	0.392331586411	261.0	Klk1b26	K01325	Endocrine and other factor-regulated calcium reabsorption
18378	13885714.0	1986.06514088	4859999900.0	1935.31608936	350			
12797	92285.714	13.1995689654	32300000.0	12.8622862084	350			
12957	123142.86	17.6130475966	43100001.0	17.1629891159	350	Cryba1		Crystallins
22287	1245714.3	178.173750859	436000000.0	173.620953153	350			
16612	377777.78	54.0333237354	98600001.0	39.2638214553	261.0	Klk1	K01325	Endocrine and other factor-regulated calcium reabsorption
