K01672	Dmel_CG11284:Dmel_CG11284
K11204	GclC:Dmel_CG2259
K06841	SemA-5c:Dmel_CG5661
K10576	Ubc-e2h:Dmel_CG2257
K14327	Upf2:Dmel_CG2253
K11964	Pli:Dmel_CG5212
K11411	Sir2:Dmel_CG5216
K00658	Dmel_CG5214:Dmel_CG5214
K02876	mRpL15:Dmel_CG5219
K01349	Fur1:Dmel_CG10772
K01872	Aats-ala-m:Dmel_CG4633
K11778	Dmel_CG10778:Dmel_CG10778
K06224	Hh:Dmel_CG4637
K09339	H2.0:Dmel_CG11607
K11726	NurF-38:Dmel_CG4634
K04371	Rl:Dmel_CG12559
K12606	Rcd-1:Dmel_CG14213
K09091	Hey:Dmel_CG11194
K06709	Kdm4b:Dmel_CG33182
K07205	Thor:Dmel_CG8846
K02325	PolE2:Dmel_CG10489
K12852	Dmel_CG4849:Dmel_CG4849
K11493	Bj1:Dmel_CG10480
K00789	M(2)21ab:Dmel_CG2674
K03754	eIF2B-beta:Dmel_CG2677
K06094	l(2)gl:Dmel_CG2671
K03132	Taf7:Dmel_CG2670
K11404	HdaC3:Dmel_CG2128
K11095	SnrNp-u1:Dmel_CG5454
K10418	CdlC2:Dmel_CG5450
K05961	Dnk:Dmel_CG5452
K12261	Dmel_CG11208:Dmel_CG11208
K09255	Rel:Dmel_CG11992
K01488	Ada:Dmel_CG11994
K13179	Pit:Dmel_CG6375
K00901	Dgk:Dmel_CG34361
K10428	L(2)37ce:Dmel_CG17347
K08658	SraS:Dmel_CG4852
K08825	DyrK3:Dmel_CG40478
K05128	Drl:Dmel_CG17348
K02895	mRpL24:Dmel_CG8849
K03141	Tfb1:Dmel_CG8151
K06685	mats:Dmel_CG13852
K03013	Rpb5:Dmel_CG11979
K11147	Dmel_CG10672:Dmel_CG10672
K03130	wda:Dmel_CG4448
K01802	Fk506-bp1:Dmel_CG6226
K12811	Dmel_CG6227:Dmel_CG6227
K10457	Dbo:Dmel_CG6224
K03131	Mia:Dmel_CG10390
K00517	Cyp310a1:Dmel_CG10391
K09667	Sxc:Dmel_CG10392
K00100	Dmel_CG2070:Dmel_CG2070
K01640	Dmel_CG10399:Dmel_CG10399
K08471	Or69a:Dmel_CG33264
K00710	Dmel_CG10000:Dmel_CG10000
K04233	Ar-2:Dmel_CG10001
K08035	Fkh:Dmel_CG10002
K01185	LysS:Dmel_CG1165
K00517	Cyp12b2:Dmel_CG15077
K03959	Dmel_CG10320:Dmel_CG10320
K07374	alphaTub84B:Dmel_CG1913
K10427	Dyn-p25:Dmel_CG10846
K09216	Ovo:Dmel_CG6824
K01953	asparagine-synthetase:Dmel_CG33486
K09255	Dif:Dmel_CG6794
K05322	Eag:Dmel_CG10952
K10080	ErgIc53:Dmel_CG6822
K08857	NikI:Dmel_CG10951
K03014	RpiI18:Dmel_CG1163
K08471	Or46a:Dmel_CG33478
K12318	Gycalpha99B:Dmel_CG1912
K00030	Dmel_CG32026:Dmel_CG32026
K03456	Pp2A-29b:Dmel_CG17291
K06234	Rab23:Dmel_CG2108
K02360	Enc:Dmel_CG10847
K10106	Gc:Dmel_CG13927
K00710	PgaNt6:Dmel_CG2103
K12615	Edc3:Dmel_CG6311
K08766	Dmel_CG2107:Dmel_CG2107
K09614	CorIn:Dmel_CG2105
K14571	smid:Dmel_CG8571
K02899	mRpL27:Dmel_CG33002
K08029	Vnd:Dmel_CG6172
K11407	HdaC6:Dmel_CG6170
K12347	Mvl:Dmel_CG3671
K00816	Dmel_CG6950:Dmel_CG6950
K00232	Dmel_CG5009:Dmel_CG5009
K10580	Dmel_CG3473:Dmel_CG3473
K02564	OscIllin:Dmel_CG6957
K14300	Nup133:Dmel_CG6958
K03354	Apc7:Dmel_CG14444
K03283	Hsp70bc:Dmel_CG6489
K00974	Dmel_CG2100:Dmel_CG2100
K01077	Dmel_CG10827:Dmel_CG10827
K08991	Mus81:Dmel_CG3026
K04496	CtbP:Dmel_CG7583
K15759	Dmel_CG15743:Dmel_CG15743
K02435	Dmel_CG33649:Dmel_CG33649
K07928	Rab40:Dmel_CG1900
K07976	Rab3:Dmel_CG7576
K11351	NP15.6:Dmel_CG6008
K00286	P5cR:Dmel_CG6009
K11434	Art1:Dmel_CG6554
K02433	gatA:Dmel_CG6007
K05324	KcnQ:Dmel_CG33135
K06228	Fu:Dmel_CG6551
K14137	L(1)g0144:Dmel_CG3073
K13347	Dmel_CG7970:Dmel_CG7970
K09564	Cyp33:Dmel_CG4886
K11827	Ap-2sigma:Dmel_CG6056
K03676	Grx-1:Dmel_CG7975
K02437	ppl:Dmel_CG7758
K02893	Rpl23a:Dmel_CG7977
K08678	Dmel_CG7979:Dmel_CG7979
K08042	Ac76e:Dmel_CG7978
K12843	Prp3:Dmel_CG7757
K03283	Hsc70-2:Dmel_CG7756
K03209	Wg:Dmel_CG4889
K04705	StaM:Dmel_CG6521
K11352	Dmel_CG3214:Dmel_CG3214
K12323	Dmel_CG3216:Dmel_CG3216
K01528	Drp1:Dmel_CG3210
K05292	Dmel_CG11190:Dmel_CG11190
K07207	Gig:Dmel_CG6975
K02524	Fs(1)k10:Dmel_CG3218
K10393	Klp59c:Dmel_CG3219
K03252	Eif3-s8:Dmel_CG4954
K04153	5-hT1a:Dmel_CG16720
K08518	TomOsyn:Dmel_CG17762
K13129	Smn:Dmel_CG16725
K01187	Dmel_CG7685:Dmel_CG7685
K08471	Or33c:Dmel_CG5006
K03263	Eif-5a:Dmel_CG3186
K11414	SirT4:Dmel_CG3187
K03010	RpiI140:Dmel_CG3180
K12815	L(1)g0007:Dmel_CG32604
K11142	S-Lap2:Dmel_CG32351
K00799	GstD10:Dmel_CG18548
K00049	Dmel_CG1236:Dmel_CG1236
K03103	MipP2:Dmel_CG4317
K01641	HmgS:Dmel_CG4311
K04634	GalPha49b:Dmel_CG17759
K04165	OamB:Dmel_CG3856
K13804	InaD:Dmel_CG3504
K13982	Vas:Dmel_CG3506
K09215	Odd:Dmel_CG3851
K13247	Dmel_CG9914:Dmel_CG9914
K04381	StaI:Dmel_CG31641
K09565	Cyp1:Dmel_CG9916
K10401	Kif19a:Dmel_CG9913
K00814	Dmel_CG1640:Dmel_CG1640
K12580	L(2)nc136:Dmel_CG8426
K11088	Smd3:Dmel_CG8427
K01044	JheDup:Dmel_CG8424
K01063	Jhe:Dmel_CG8425
K04547	GgaMma30a:Dmel_CG3694
K08339	Atg5:Dmel_CG1643
K10848	Mei-9:Dmel_CG3697
K12186	Dmel_CG7192:Dmel_CG7192
K07295	Hr78:Dmel_CG7199
K03847	Dmel_CG8412:Dmel_CG8412
K11579	ZwiLch:Dmel_CG18729
K06839	Sli:Dmel_CG8355
K09499	Tcp-1eta:Dmel_CG8351
K01489	Dmel_CG8353:Dmel_CG8353
K00517	Cyp312a1:Dmel_CG5137
K08471	Or85a:Dmel_CG7454
K05290	Dmel_CG4406:Dmel_CG4406
K00953	Dmel_CG4407:Dmel_CG4407
K00966	Dmel_CG1129:Dmel_CG1129
K01092	Dmel_CG17026:Dmel_CG17026
K00413	Dmel_CG14508:Dmel_CG14508
K00026	Mdh2:Dmel_CG7998
K01104	L(1)g0232:Dmel_CG32697
K07375	betaTub85D:Dmel_CG9359
K01183	Cht8:Dmel_CG9357
K08471	Or85c:Dmel_CG17911
K02915	Rpl34b:Dmel_CG9354
K01189	Dmel_CG7997:Dmel_CG7997
K08471	Or92a:Dmel_CG17916
K00864	Gk:Dmel_CG7995
K03956	Dmel_CG9350:Dmel_CG9350
K08471	Or47a:Dmel_CG13225
K02605	Lat:Dmel_CG4088
K03845	L(2)not:Dmel_CG4084
K05309	Su(P):Dmel_CG4086
K02942	RplP1:Dmel_CG4087
K02209	Mcm5:Dmel_CG4082
K08272	Mo25:Dmel_CG4083
K03262	Eif5:Dmel_CG9177
K04440	Bsk:Dmel_CG5680
K14003	Dmel_CG9175:Dmel_CG9175
K10086	EdeM2:Dmel_CG5682
K12581	Pop2:Dmel_CG5684
K16172	chico:Dmel_CG5686
K12394	Ap-1sigma:Dmel_CG5864
K00605	Dmel_CG6415:Dmel_CG6415
K00820	GfaT2:Dmel_CG1345
K02154	Vha100-2:Dmel_CG18617
K12607	Dmel_CG18616:Dmel_CG18616
K03061	Rpt1:Dmel_CG1341
K05605	Dmel_CG5044:Dmel_CG5044
