!!SBtab TableType='Proteomaps' Organism='sce' DefaultProteinLength='350' ProteinURL='identifiers.org/sgd/'
!Protein:Identifier	!Abundance:[original]	!Abundance:[ppm]	!SizeWeightedAbundance:[original]	!SizeWeightedAbundance:[ppm]	!Protein:Size	!Protein:Name	!Identifiers:kegg.orthology	!Pathway	!Protein
YAL001C	941.79744	74.50975144899606	329629.1	62.90184790334674		TFC3	K15204	Transcription machinery	Tfc3p
YAL002W	1312.486	103.83655920777089	459370.1	87.65982178619905					
YAL003W	11514.293	910.9465295859322	2394972.9	457.02342750818195	208.0	EFB1	K03232	Translation factors	translation elongation factor 1 subunit beta
YAL005C	8627.9554	682.595625198369	5539147.4	1057.0141024230522	642.0	Ssa1	K03283	Chaperones and folding catalysts	Hsp70 family ATPase SSA1
YAL007C	2084.7766	164.93587654335002	729671.81	139.24045301819444		ERP2	K14825	Ribosome biogenesis	Erp2p
YAL008W	2536.9985	200.71314662044085	887949.48	169.44396940930224					
YAL009W	698.83347	55.28779962912136	244591.71	46.67449124133608					
YAL010C	540.37773	42.75166680307891	189132.21	36.0913690782878		MDM10	K17774	Mitochondrial biogenesis	Mdm10p
YAL011W	1069.7974	84.6363931237509	668623.38	127.59081693145906	625.0	SWC3	K11682	Chromosome-related	Swc3p
YAL012W	1378.8017	109.08308687317438	543247.87	103.66589264284337	394.0	CYS3	K01758	Amino acid metabolism	cystathionine gamma-lyase CYS3
YAL013W	1688.5095	133.58543761200775	590978.32	112.77411004918977					
YAL014C	1975.2281	156.2690112919321	503683.17	96.11591376736926	255.0	SYN8	K08501	SNARE interactions in vesicular transport	Syn8p
YAL015C	538.04677	42.567254271401666	214680.66	40.96668110646207	399.0	NTG1	K10773	Base excision repair	bifunctional N-glycosylase/AP lyase NTG1
YAL016W	3612.1731	285.77495376473905	2293729.9	437.7036168868548	635.0	TPD3	K03456	mRNA surveillance pathway	protein phosphatase 2A structural subunit TPD3
YAL017W	3463.9334	274.04705694451224	1212376.7	231.35316264541402		PSK1	K08286	Other enzymes	Psk1p
