114784	CSMD2	K17495	CUB and Sushi multiple domains 2
114783	LMTK3	K08899	lemur tyrosine kinase 3 
114781	BTBD9	K10481	BTB (POZ) domain containing 9
114780	PKD1L2	K04988	polycystic kidney disease 1-like 2
114789	SLC25A25	K14684	solute carrier family 25 (mitochondrial carrier
114788	CSMD3	K17495	CUB and Sushi multiple domains 3
28996	HIPK2	K08826	homeodomain interacting protein kinase 2 
148156	ZNF558	K09228	zinc finger protein 558
28999	KLF15	K09210	Kruppel-like factor 15
28998	MRPL13	K02871	mitochondrial ribosomal protein L13
101060200	ZNF891	K09228	zinc finger protein 891
55290	BRF2	K15197	BRF2, RNA polymerase III transcription initiation factor 50 kDa subunit
55291	PPP6R3	K15501	protein phosphatase 6, regulatory subunit 3
55294	FBXW7	K10260	F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase
55295	KLHL26	K10463	kelch-like family member 26
5982	RFC2	K10755	replication factor C (activator 1) 2, 40kDa
5983	RFC3	K10756	replication factor C (activator 1) 3, 38kDa
5980	REV3L	K02350	REV3-like, polymerase (DNA directed), zeta, catalytic subunit 
55299	BRIX1	K14820	BRX1, biogenesis of ribosomes, homolog (S. cerevisiae)
5986	RFNG	K05948	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase 
5987	TRIM27	K12009	tripartite motif containing 27
5984	RFC4	K10755	replication factor C (activator 1) 4, 37kDa
5985	RFC5	K10756	replication factor C (activator 1) 5, 36.5kDa
146542	ZNF688	K09228	zinc finger protein 688
112495	GTF3C6	K15203	general transcription factor IIIC, polypeptide 6, alpha 35kDa
55613	MTMR8	K18083	myotubularin related protein 8 
55342	STRBP	K13200	spermatid perinuclear RNA binding protein
392376	OR13C2	K04257	olfactory receptor, family 13, subfamily C, member 2
53904	MYO3A	K08834	myosin IIIA 
338339	CLEC4D	K10058	C-type lectin domain family 4, member D
53905	DUOX1	K13411	dual oxidase 1 
6794	STK11	K07298	serine/threonine kinase 11 
6795	AURKC	K11480	aurora kinase C 
6792	CDKL5	K08824	cyclin-dependent kinase-like 5 
6793	STK10	K08837	serine/threonine kinase 10 
6790	AURKA	K11481	aurora kinase A 
963	CD53	K06489	CD53 molecule
6799	SULT1A2	K01014	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 2 
56121	PCDHB15	K16494	protocadherin beta 15
56123	PCDHB13	K16494	protocadherin beta 13
56122	PCDHB14	K16494	protocadherin beta 14
56125	PCDHB11	K16494	protocadherin beta 11
56124	PCDHB12	K16494	protocadherin beta 12
56127	PCDHB9	K16494	protocadherin beta 9
56126	PCDHB10	K16494	protocadherin beta 10
56129	PCDHB7	K16494	protocadherin beta 7
56128	PCDHB8	K16494	protocadherin beta 8
57292	KIR2DL5A	K07981	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5A
260293	CYP4X1	K07428	cytochrome P450, family 4, subfamily X, polypeptide 1 
165829	GPR156	K04617	G protein-coupled receptor 156
270	AMPD1	K01490	adenosine monophosphate deaminase 1 
271	AMPD2	K01490	adenosine monophosphate deaminase 2 
272	AMPD3	K01490	adenosine monophosphate deaminase 3 
55835	CENPJ	K11502	centromere protein J
55832	CAND1	K17263	cullin-associated and neddylation-dissociated 1
275	AMT	K00605	aminomethyltransferase 
276	AMY1A	K01176	amylase, alpha 1A (salivary) 
277	AMY1B	K01176	amylase, alpha 1B (salivary) 
278	AMY1C	K01176	amylase, alpha 1C (salivary) 
279	AMY2A	K01176	amylase, alpha 2A (pancreatic) 
55839	CENPN	K11506	centromere protein N
2558	GABRA5	K05175	gamma-aminobutyric acid (GABA) A receptor, alpha 5
100652748	TIMM23B	K17794	translocase of inner mitochondrial membrane 23 homolog B (yeast)
504189	OR8U8	K04257	olfactory receptor, family 8, subfamily U, member 8
389208	TMPRSS11F	K09752	transmembrane protease, serine 11F
389207	GRXCR1	K17479	glutaredoxin, cysteine rich 1
4647	MYO7A	K10359	myosin VIIA
63027	SLC22A23	K08215	solute carrier family 22, member 23
57478	USP31	K11852	ubiquitin specific peptidase 31 
9529	BAG5	K09559	BCL2-associated athanogene 5
9524	TECR	K10258	trans-2,3-enoyl-CoA reductase 
9525	VPS4B	K12196	vacuolar protein sorting 4 homolog B (S. cerevisiae) 
9526	MPDU1	K09660	mannose-P-dolichol utilization defect 1
9527	GOSR1	K08495	golgi SNAP receptor complex member 1
9520	NPEPPS	K08776	aminopeptidase puromycin sensitive 
9253	NUMBL	K06057	numb homolog (Drosophila)-like
