Q96Q07	BTBD9	K10481	BTB (POZ) domain containing 9
Q494V9	BTBD9	K10481	BTB (POZ) domain containing 9
Q494W1	BTBD9	K10481	BTB (POZ) domain containing 9
Q7Z442	PKD1L2	K04988	polycystic kidney disease 1-like 2
Q9H2X6	HIPK2	K08826	homeodomain interacting protein kinase 2
Q96NG5	ZNF558	K09228	zinc finger protein 558
Q9UIH9	KLF15	K09210	Kruppel-like factor 15
Q9BYD1	MRPL13	K02871	mitochondrial ribosomal protein L13
Q969H0	FBXW7	K10260	F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase
Q53HC5	KLHL26	K10463	kelch-like family member 26
Q75MT5	RFC2	K10755	replication factor C (activator 1) 2, 40kDa
P35250	RFC2	K10755	replication factor C (activator 1) 2, 40kDa
P40938	RFC3	K10756	replication factor C (activator 1) 3, 38kDa
C9JU95	RFC3	K10756	replication factor C (activator 1) 3, 38kDa
O60673	REV3L	K02350	REV3-like, polymerase (DNA directed), zeta, catalytic subunit
Q9Y644	RFNG	K05948	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
Q8N9R1	RFNG	K05948	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
P14373	TRIM27	K12009	tripartite motif containing 27
P35249	RFC4	K10755	replication factor C (activator 1) 4, 37kDa
A8MZ62	RFC5	K10756	replication factor C (activator 1) 5, 36.5kDa
P40937	RFC5	K10756	replication factor C (activator 1) 5, 36.5kDa
Q59GW7	RFC5	K10756	replication factor C (activator 1) 5, 36.5kDa
F8W9B4	RFC5	K10756	replication factor C (activator 1) 5, 36.5kDa
A8MV39	ZNF688	K09228	zinc finger protein 688
P0C7X2	ZNF688	K09228	zinc finger protein 688
Q96SI9	STRBP	K13200	spermatid perinuclear RNA binding protein
Q8NGS9	OR13C2	K04257	olfactory receptor, family 13, subfamily C, member 2
Q8NEV4	MYO3A	K08834	myosin IIIA
Q8WXI8	CLEC4D	K10058	C-type lectin domain family 4, member D
Q9NRD9	DUOX1	K13411	dual oxidase 1
Q15831	STK11	K07298	serine/threonine kinase 11
Q9UQB9	AURKC	K11480	aurora kinase C
O76039	CDKL5	K08824	cyclin-dependent kinase-like 5
O94804	STK10	K08837	serine/threonine kinase 10
O14965	AURKA	K11481	aurora kinase A
P19397	CD53	K06489	CD53 molecule
P50226	SULT1A2	K01014	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 2
Q8N109	KIR2DL5A	K07981	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5A
Q8N118	CYP4X1	K07428	cytochrome P450, family 4, subfamily X, polypeptide 1
Q5VVE5	CYP4X1	K07428	cytochrome P450, family 4, subfamily X, polypeptide 1
E9PFZ4	GPR156	K04617	G protein-coupled receptor 156
Q8NFN8	GPR156	K04617	G protein-coupled receptor 156
B7ZL66	GPR156	K04617	G protein-coupled receptor 156
B2RAM1	AMPD1	K01490	adenosine monophosphate deaminase 1
P23109	AMPD1	K01490	adenosine monophosphate deaminase 1
F2Z3B3	AMPD1	K01490	adenosine monophosphate deaminase 1
Q5TF02	AMPD1	K01490	adenosine monophosphate deaminase 1
Q01433	AMPD2	K01490	adenosine monophosphate deaminase 2
A0AUX0	AMPD3	K01490	adenosine monophosphate deaminase 3
Q01432	AMPD3	K01490	adenosine monophosphate deaminase 3
B7Z2S2	AMPD3	K01490	adenosine monophosphate deaminase 3
B7Z763	AMPD3	K01490	adenosine monophosphate deaminase 3
Q9HC77	CENPJ	K11502	centromere protein J
E9PBG1	AMT	K00605	aminomethyltransferase
Q96IG6	AMT	K00605	aminomethyltransferase
B4DJQ0	AMT	K00605	aminomethyltransferase
P48728	AMT	K00605	aminomethyltransferase
B4DE61	AMT	K00605	aminomethyltransferase
P04745	AMY1A	K01176	amylase, alpha 1A (salivary)
Q6NSB3	AMY1A	K01176	amylase, alpha 1A (salivary)
P04745	AMY1B	K01176	amylase, alpha 1B (salivary)
P04745	AMY1C	K01176	amylase, alpha 1C (salivary)
P04746	AMY2A	K01176	amylase, alpha 2A (pancreatic)
Q96H22	CENPN	K11506	centromere protein N
D3DUK9	CENPN	K11506	centromere protein N
P31644	GABRA5	K05175	gamma-aminobutyric acid (GABA) A receptor, alpha 5
P0C7N1	OR8U8	K04257	olfactory receptor, family 8, subfamily U, member 8
Q6ZWK6	TMPRSS11F	K09752	transmembrane protease, serine 11F
Q13402	MYO7A	K10359	myosin VIIA
B9A012	MYO7A	K10359	myosin VIIA
F8VUN5	MYO7A	K10359	myosin VIIA
Q70CQ4	USP31	K11852	ubiquitin specific peptidase 31
Q9UL15	BAG5	K09559	BCL2-associated athanogene 5
Q9NZ01	TECR	K10258	trans-2,3-enoyl-CoA reductase
O75351	VPS4B	K12196	vacuolar protein sorting 4 homolog B (S. cerevisiae)
O75352	MPDU1	K09660	mannose-P-dolichol utilization defect 1
O95249	GOSR1	K08495	golgi SNAP receptor complex member 1
E9PCW1	GOSR1	K08495	golgi SNAP receptor complex member 1
P55786	NPEPPS	K08776	aminopeptidase puromycin sensitive
Q9Y6R0	NUMBL	K06057	numb homolog (Drosophila)-like
Q9ULM6	CNOT6	K12603	CCR4-NOT transcription complex, subunit 6
Q9Y421	FAM32A	K13120	family with sequence similarity 32, member A
P22670	RFX1	K09173	regulatory factor X, 1 (influences HLA class II expression)
Q8WXE1	ATRIP	K10905	ATR interacting protein
Q53GI3	ZNF394	K09229	zinc finger protein 394
Q9P0Z9	PIPOX	K00306	pipecolic acid oxidase
Q9HC84	MUC5B	K13908	mucin 5B, oligomeric mucus/gel-forming
Q8WXI4	ACOT11	K12417	acyl-CoA thioesterase 11
Q9UDY8	MALT1	K07369	mucosa associated lymphoid tissue lymphoma translocation gene 1
P35251	RFC1	K10754	replication factor C (activator 1) 1, 145kDa
Q9HAP2	MLXIP	K09113	MLX interacting protein
Q8N2Q7	NLGN1	K07378	neuroligin 1
O94979	SEC31A	K14005	SEC31 homolog A (S. cerevisiae)
B4DIW6	SEC31A	K14005	SEC31 homolog A (S. cerevisiae)
Q68CJ9	CREB3L3	K09048	cAMP responsive element binding protein 3-like 3
Q96PE7	MCEE	K05606	methylmalonyl CoA epimerase
B4DY22	RBPJ	K06053	recombination signal binding protein for immunoglobulin kappa J region
Q06330	RBPJ	K06053	recombination signal binding protein for immunoglobulin kappa J region
P01241	GH1	K05438	growth hormone 1
