!!SBtab TableType='Proteomaps' Organism='eco'!ProteinIdentifier	!Abundance[original])	!Abundance[ppm]	!SizeWeightedAbundance[original]	!SizeWeightedAbundance[ppm]	!ProteinSize	!ProteinName	!Identifiers:kegg.orthology	!Pathway
b3241	62.0	3.43477764441	21700.0	4.95308372559	350			
b3240	16.0	0.886394230815	5600.0	1.27821515499	350			
b3243	203.0	11.2461268035	71050.0	16.217354779	350			
b3242	28.0	1.55118990393	9800.0	2.23687652124	350			
b2836	188.0	10.4151322121	135172.0	30.853374809	719.0	Aas	K05939	Lipid and steroid metabolism
b0885	151.0	8.36534555331	35334.0	8.06508112259	234.0	Aat	K00684	Other enzymes
b1338	9.0	0.498596754833	3150.0	0.718996024683	350			
b1337	5.0	0.27699819713	1750.0	0.399442235935	350			
b1339	27.0	1.4957902645	9450.0	2.15698807405	350	AbgR	K14057	Transcription factors
b1336	0.0	0.0	0.0	0.0	350			
b0715	13.0	0.720195312537	4550.0	1.03854981343	350			
b0185	10155.0	562.58333837	3239445.0	739.412087993	319.0	AccA	K01962	Lipid and steroid metabolism
b3255	34495.0	1911.010562	5381220.0	1228.27802792	156.0	AccB	K02160	Lipid and steroid metabolism
b3256	13890.0	769.500991626	6236610.0	1423.52311032	449.0	AccC	K01961	Lipid and steroid metabolism
b2316	8774.0	486.076436323	2667296.0	608.817530366	304.0	AccD	K01963	Lipid and steroid metabolism
b4015	1483.0	82.1576652686	643622.0	146.908463301	434.0	AceA	K01637	TCA cycle and anaplerotic enzymes
b4014	591.0	32.7411869007	315003.0	71.9002872264	533.0	AceB	K01638	Glycolysis
b0114	66813.0	3701.41610896	59263131.0	13526.9700315	887.0	AceE	K00163	Glycolysis
b0115	60155.0	3332.56530967	37897650.0	8650.24117296	630.0	AceF	K00627	Glycolysis
b4016	9.0	0.498596754833	5166.0	1.17915348048	574.0	AceK	K00906	Other enzymes
b2296	35607.0	1972.61496104	14242800.0	3250.95764456	400.0	AckA	K00925	Other central metabolism enzymes
b1276	238.0	13.1851141834	212058.0	48.4028123817	891.0	AcnA	K01681	TCA cycle and anaplerotic enzymes
b0118	7764.0	430.122800503	6715860.0	1532.91321979	865.0	AcnB	K01682	TCA cycle and anaplerotic enzymes
b0404	190.0	10.5259314909	36670.0	8.37002673814	193.0	AcpH	K08682	Cofactor biosynthesis
b1094	357865.0	19825.5919632	125252750.0	28589.2791526	350	AcpP	K02078	Lipid and steroid metabolism
b2563	372.0	20.6086658664	46872.0	10.6986608473	126.0	AcpS	K00997	Cofactor biosynthesis
b3475	474.0	26.2594290879	92430.0	21.0973976386	195.0	AcpT	K06133	Cofactor biosynthesis
b0463	3861.0	213.898007823	1532817.0	349.869628434	397.0	AcrA	K03585	Chromosome-related
b0462	2074.0	114.898852169	725900.0	165.688639466	350			
b2470	56.0	3.10237980785	19600.0	4.47375304247	350			
b3265	5.0	0.27699819713	1925.0	0.439386459529	385.0	AcrE	K03585	Chromosome-related
b3266	5.0	0.27699819713	1750.0	0.399442235935	350			
b0464	240.0	13.2959134622	51600.0	11.7778396424	215.0	AcrR	K03577	Transcription factors
b4069	150.0	8.30994591389	97800.0	22.3231146711	652.0	Acs	K01895	Glycolysis
b4067	15.0	0.830994591389	5250.0	1.19832670781	350			
b2213	21.0	1.16339242794	7434.0	1.69683061825	354.0	Ada	K10778	Transcription factors
b1623	724.0	40.1093389444	241092.0	55.0299014549	333.0	Add	K01488	Purine metabolism
b3665	738.0	40.8849338963	433944.0	99.0488923603	588.0	Ade	K01486	Purine metabolism
b1241	3485.0	193.067743399	3105135.0	708.755467017	891.0	AdhE	K04072	Glycolysis
b1478	20.0	1.10799278852	6720.0	1.53385818599	336.0	AdhP	K13953	Glycolysis
b4117	5.0	0.27699819713	3780.0	0.86279522962	756.0	AdiA	K01584	Amino acid metabolism
b4115	3.0	0.166198918278	1050.0	0.239665341561	350			
b4116	37.0	2.04978665876	9361.0	2.13667358319	253.0	AdiY	K03755	Transcription factors
b0474	20646.0	1143.78095559	4418244.0	1008.47614987	214.0	Adk	K00939	Purine metabolism
b0385	6.0	0.332397836555	2100.0	0.479330683122	350			
b1815	0.0	0.0	0.0	0.0	350			
b2468	13.0	0.720195312537	4550.0	1.03854981343	350			
b3072	10.0	0.553996394259	3500.0	0.79888447187	350	Aer	K03776	Two-component system
b0476	35.0	1.93898737991	11270.0	2.57240799942	322.0	Aes	K01066	Biosynthesis of other secondary metabolites
b0262	11.0	0.609396033685	3850.0	0.878772919057	350	AfuC	K02010	Transport
b3138	7.0	0.387797475981	1106.0	0.252447493111	158.0	AgaB	K10984	Transport
b3139	1.0	0.0553996394259	267.0	0.0609434725684	267.0	AgaC	K10985	Transport
b3140	1.0	0.0553996394259	263.0	0.0600304617434	263.0	AgaD	K10986	Transport
b3141	13.0	0.720195312537	3315.0	0.756657721214	255.0	AgaI	K02080	Carbohydrate metabolism
b3131	629.0	34.8463731989	169201.0	38.62058615	269.0	AgaR	K02081	Transcription factors
b3136	11.0	0.609396033685	4224.0	0.964139431194	384.0	AgaS	K02082	Other enzymes
b3133	36.0	1.99438701933	6084.0	1.38868946482	169.0	AgaV	K02745	Transport
b1002	86.0	4.76436899063	35518.0	8.10707962054	413.0	Agp	K01085	Glycolysis
b0605	92449.0	5121.64126529	17287963.0	3946.02434028	187.0	AhpC	K03386	Other enzymes
b0606	5698.0	315.667145449	1994300.0	455.204372072	350			
b4187	19.0	1.05259314909	6650.0	1.51788049655	350			
b2252	112.0	6.2047596157	39200.0	8.94750608494	350			
b2290	2267.0	125.590982579	793450.0	181.107109773	350	AlaA	K14260	Amino acid metabolism
b2379	1203.0	66.6457662294	421050.0	96.105801966	350	AlaC	K14261	Amino acid metabolism
b2697	8493.0	470.509137644	7439868.0	1698.17000513	876.0	AlaS	K01872	tRNA loading
b1415	555.0	30.7467998814	265845.0	60.6798406927	479.0	AldA	K07248	Glycolysis
b3588	1.0	0.0553996394259	542.0	0.123712966787	542.0	AldB	K00138	Other enzymes
b2068	32.0	1.77278846163	9024.0	2.05975242119	282.0	AlkA	K01247	Base excision repair
b2212	22.0	1.21879206737	4752.0	1.08465686009	216.0	AlkB	K03919	DNA repair and recombination proteins
b0505	14.0	0.775594951963	2240.0	0.511286061997	160.0	AllA	K01483	Purine metabolism
b0512	9.0	0.498596754833	4077.0	0.930586283376	453.0	AllB	K01466	Purine metabolism
b0516	9.0	0.498596754833	3699.0	0.844306760414	411.0	AllC	K02083	Peptidases
b0517	2.0	0.110799278852	698.0	0.159320388962	349.0	AllD	K00073	Purine metabolism
b0506	1771.0	98.1127614233	479941.0	109.54783209	271.0	AllR	K10973	Transcription factors
b0504	1.0	0.0553996394259	308.0	0.0703018335246	308.0	AllS	K10972	Transcription factors
b2624	31.0	1.7173888222	10850.0	2.4765418628	350	AlpA	K07733	Transcription factors
b4053	586.0	32.4641887036	210374.0	48.0184348243	359.0	Alr	K01775	Amino acid metabolism
b4087	0.0	0.0	0.0	0.0	510.0	AlsA	K10551	Transport
b4088	81.0	4.4873707935	25353.0	5.78689086152	313.0	AlsB	K10549	Transport
b4086	1.0	0.0553996394259	326.0	0.074410382237	326.0	AlsC	K10550	Transport
b4085	23.0	1.2741917068	8050.0	1.8374342853	350	AlsE	K17195	Carbohydrate metabolism
b4084	12.0	0.664795673111	3708.0	0.84636103477	309.0	AlsK	K00881	Other enzymes
b3088	342.0	18.9466766837	119700.0	27.321848938	350			
