!!SBtab TableType='Proteomaps' Organism='sce' DefaultProteinLength='350' ProteinURL='identifiers.org/sgd/'
!Protein:Identifier	!Abundance:[original]	!Abundance:[ppm]	!SizeWeightedAbundance:[original]	!SizeWeightedAbundance:[ppm]	!Protein:Size	!Protein:Name	!Identifiers:kegg.orthology	!Pathway	!Protein
YAL001C	1053.2545	79.94052909590194	368639.08	67.43656508810643		TFC3	K15204	Transcription machinery	Tfc3p
YAL002W	1117.2265	84.79591355172249	391029.28	71.53249051097728					
YAL003W	12535.793	951.4489850807225	2607444.9	476.9899266038239	208.0	EFB1	K03232	Translation factors	translation elongation factor 1 subunit beta
YAL005C	8237.1957	625.1915206861099	5288279.6	967.4053316580148	642.0	Ssa1	K03283	Chaperones and folding catalysts	Hsp70 family ATPase SSA1
YAL007C	2708.912	205.60259515078067	948119.2	173.4430927455749		ERP2	K14825	Ribosome biogenesis	Erp2p
YAL008W	1935.5047	146.90207332188464	677426.65	123.92426319841861					
YAL009W	813.77448	61.7643337825212	284821.07	52.103414064290526					
YAL010C	740.28088	56.18627333353894	259098.31	47.39785061999769		MDM10	K17774	Mitochondrial biogenesis	Mdm10p
YAL011W	1060.9176	80.52214756372221	663073.5	121.29858625121499	625.0	SWC3	K11682	Chromosome-related	Swc3p
YAL012W	1182.1775	89.72560272495453	465777.93	85.20654861944773	394.0	CYS3	K01758	Amino acid metabolism	cystathionine gamma-lyase CYS3
YAL013W	1507.0816	114.3853650705489	527478.56	96.49368223255293					
YAL014C	1803.6132	136.89169473508332	459921.37	84.13518556799806	255.0	SYN8	K08501	SNARE interactions in vesicular transport	Syn8p
YAL015C	588.72376	44.68330196142413	234900.78	42.971303367285344	399.0	NTG1	K10773	Base excision repair	bifunctional N-glycosylase/AP lyase NTG1
YAL016W	3923.0518	297.7540913071157	2491137.9	455.71343965159303	635.0	TPD3	K03456	mRNA surveillance pathway	protein phosphatase 2A structural subunit TPD3
YAL017W	2744.3193	208.28995921697486	960511.76	175.71011142153367		PSK1	K08286	Other enzymes	Psk1p
YAL018C	109.04551	8.276400209951598	38165.928	6.981840036384596					
YAL019W	640.87798	48.64173360485321	224307.29	41.033395487591186		FUN30	K14439	Chromosome-related	Fun30p
YAL020C	739.1679	56.10179972334012	258708.77	47.326590569206495		ATS1	K15462	Transfer RNA biogenesis	Ats1p
YAL021C	1764.229	133.9024895752489	1476659.7	270.131039747695	837.0	CCR4	K12603	RNA degradation	Ccr4p
YAL022C	929.0376	70.51264181068005	325163.16	59.483347787202504		FUN26	K15014	Alcoholism	Fun26p
YAL023C	5358.8843	406.73175030889695	4067393.2	744.063885659441	759.0	PMT2	K00728	Glycan metabolism	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2
YAL024C	1098.9592	83.40945127963766	1577006.5	288.48786591377376	1435.0	LTE1	K06681	Cell cycle	Lte1p
YAL025C	440.07519	33.4010854267222	154026.32	28.176627269039162		MAK16	K14831	Ribosome biogenesis	Mak16p
YAL026C	1302.3122	98.84365679524566	1764633.0	322.81110337276374	1355.0	DRS2	K14802	Ribosome biogenesis	aminophospholipid-translocating P4-type ATPase DRS2
YAL027W	466.51463	35.407801583737765	163280.12	29.869460503139898		SAW1	K15080	DNA repair and recombination proteins	Saw1p
YAL028W	487.3959	36.9926604872548	170588.57	31.20642337782527					
YAL029C	2380.6733	180.68974137446068	833235.66	152.42700480730724		MYO4	K10357	Messenger RNA Biogenesis	myosin 4
YAL030W	2164.3208	164.26889216734014	255389.85	46.71944776545867	118.0	SNC1	K08513	SNARE interactions in vesicular transport	SNAP receptor SNC1
YAL031C	1406.9902	106.78856916419431	492446.57	90.08514553101575					
YAL032C	826.26165	62.71209235056954	318110.74	58.193221465384795	385.0	PRP45	K06063	Spliceosome	Prp45p
YAL033W	2157.989	163.78831748939723	373332.1	68.29507729112568	173.0	POP5	K03537	Ribosome biogenesis in eukaryotes	Pop5p
YAL034C	1824.4613	138.47403608244454	638561.45	116.81450264491932					
YAL034W-A	602.34149	45.71686843684402	174076.69	31.844518588498882	289.0	MTW1	K11559	Chromosome-related	Mtw1p
