!!SBtab TableType='Proteomaps' Organism='hsa' ProteinIdentifier='http://identifiers.org/uniprot/'
!ProteinIdentifier	!Abundance[original])	!Abundance[ppm]	!SizeWeightedAbundance[original]	!SizeWeightedAbundance[ppm]	!ProteinSize	!ProteinName	!Identifiers:kegg.orthology	!Pathway
P04406	170152130.0	30829.5554792	57000964000.0	24947.6280369	335.0	GapDh	K00134	Glycolysis
P07737	125208220.0	22686.2500337	17529151000.0	7671.98847639	140.0	Pfn1	K05759	Regulation of actin cytoskeleton
P62937	76677232.0	13893.0084386	12651743000.0	5537.29193743	165.0	PpiA	K03767	Chaperones and folding catalysts
P14618	39424563.0	7143.26498441	20934443000.0	9162.38358924	531.0	Pkm2	K00873	Glycolysis
P06576	68210068.0	12358.8583678	36083126000.0	15792.5119627	529.0	Atp5b	K02133	Oxidative phosphorylation
P11142	57791289.0	10471.0987188	37333173000.0	16339.6203868	646.0	HspA8	K03283	Chaperones and folding catalysts
Q06830	30935660.0	5605.17606365	6156196300.0	2694.38417594	199.0	PrdX1	K13279	Peroxisome
P00558	39229922.0	7107.99833504	16358877000.0	7159.79432379	417.0	Pgk1	K00927	Glycolysis
P37802	43467468.0	7875.79160041	15213614000.0	6658.54674264	350			
P07195	36824362.0	6672.13928656	12299337000.0	5383.05430373	334.0	LdhB	K00016	Glycolysis
P00338	29502529.0	5345.50965998	10650413000.0	4661.36927024	361.0	LdhA	K00016	Glycolysis
P68104	44743668.0	8107.02396114	20671575000.0	9047.33407732	462.0	Eef1a1	K03231	Translation factors
P23396	23077477.0	4181.36615446	5607826900.0	2454.37918553	243.0	Rps3	K02985	Ribosome
P62258	27976586.0	5069.02681856	7134029400.0	3122.3526654	255.0	YwhAe	K06630	Cell cycle
P06744	26771473.0	4850.67458229	15232968000.0	6667.01741329	569.0	Gpi	K01810	Glycolysis
P04075	19144091.0	3468.68308721	6968449100.0	3049.88308866	364.0	AldOa	K01623	Glycolysis
P10809	16305680.0	2954.39655199	9343154600.0	4089.22111655	573.0	HspD1	K04077	Chaperones and folding catalysts
P62304	37314687.0	6760.980383	3432951200.0	1502.50072273	92.0	SnrPe	K11097	Spliceosome
H0YC77	24870476.0	4506.23638761	8704666600.0	3809.77389299	350			
P63220	18043009.0	3269.18003893	1750171900.0	765.998230519	97.0	Rps21	K02971	Ribosome
P62829	25517394.0	4623.45028539	3572435200.0	1563.54872447	140.0	Rpl23	K02894	Ribosome
P09669	23695707.0	4293.3821256	1777178000.0	777.817997945	75.0	Cox6c	K02268	Oxidative phosphorylation
P62906	20843568.0	3776.60823899	4523054300.0	1979.60645485	217.0	Rpl10a	K02865	Ribosome
P50990	16006276.0	2900.14808488	8771439200.0	3838.99827572	548.0	Cct8	K09500	Chaperones and folding catalysts
P25705	16977779.0	3076.17294943	9388711800.0	4109.16014916	553.0	Atp5a1	K02132	Oxidative phosphorylation
Q99873	5007226.5	907.250277611	1807608800.0	791.136654789	361.0	PrmT1	K11434	Chromosome-related
P13639	22159427.0	4015.02634192	19012788000.0	8321.33230184	858.0	Eef2	K03234	Translation factors
P46777	17763216.0	3218.48485329	5275675200.0	2309.00625704	297.0	Rpl5	K02932	Ribosome
F5H6T1	19250039.0	3487.87961295	6737513600.0	2948.80948306	350	F5H6T1		Cytoskeleton proteins
Q15233	14587133.0	2643.01614153	6870539600.0	3007.0310101	471.0			
P40926	19190217.0	3477.04057339	6486293300.0	2838.8578233	338.0	Mdh2	K00026	TCA cycle and anaplerotic enzymes
O00231	3438722.9	623.055958354	1451141100.0	635.121335701	422.0	PsmD11	K03036	Proteasome
P18124	18131019.0	3285.12641102	4496492700.0	1967.98123187	248.0	Rpl7	K02937	Ribosome
P06748	18979607.0	3438.88052991	5580004500.0	2442.20214785	294.0	Npm1	K11276	Chromosome-related
O15145	18979540.0	3438.8683903	3378358100.0	1478.60694522	178.0	ArpC3	K05756	Regulation of actin cytoskeleton
P78371	13580775.0	2460.67596282	7265714600.0	3179.98736413	535.0	Cct2	K09494	Chaperones and folding catalysts
P62942	23336487.0	4228.29570606	3383790600.0	1480.98458903	145.0	FkbP1a	K09568	Chaperones and folding catalysts
P46778	14014213.0	2539.20980702	2242274100.0	981.376739587	160.0	Rpl21	K02889	Ribosome
F8VZ69	13880220.0	2514.93185865	4858077000.0	2126.23593473	350			
P61978	14499607.0	2627.15746452	6727817600.0	2944.56583199	464.0	HnrNpk	K12886	Spliceosome
P62847	13307464.0	2411.15523899	3845857100.0	1683.21736478	289.0	Rps24	K02974	Ribosome
P62910	11512956.0	2086.01159287	1761482300.0	770.948456486	153.0	Rpl32	K02912	Ribosome
P07437	13195797.0	2390.92249802	5858933900.0	2564.28125725	444.0	TubB	K07375	Cytoskeleton proteins
P28066	18259569.0	3308.41815211	4400556100.0	1925.99263301	241.0	PsmA5	K02729	Proteasome
F8WDR7	20195848.0	3659.2490283	7068546800.0	3093.69287734	350			
P22626	12965703.0	2349.23218396	4576893200.0	2003.17014144	353.0			
H0YB22	10348297.0	1874.9891434	3621904000.0	1585.19974816	350			
D6R970	13507144.0	2447.33489562	4727500400.0	2069.08643727	350			
P62888	10401819.0	1884.6866974	1196209200.0	523.545218919	115.0	Rpl30	K02908	Ribosome
P25786	13706023.0	2483.36942052	3604684000.0	1577.66306589	263.0	PsmA1	K02725	Proteasome
P07237	17614638.0	3191.56427526	8948236100.0	3916.37702495	508.0	P4hB	K09580	Chaperones and folding catalysts
Q12906	10436005.0	1890.88079666	9371532500.0	4101.64128007	898.0			
P46782	10898445.0	1974.66946058	2223282800.0	973.064811944	204.0	Rps5	K02989	Ribosome
P61604	6365221.3	1153.30288963	649252570.0	284.158555957	102.0	HspE1	K04078	Chaperones and folding catalysts
P62750	8447283.6	1530.54797724	1638773000.0	717.242242446	194.0	Rpl23a	K02893	Ribosome
P54819	7143884.6	1294.38747909	1707388400.0	747.273163973	239.0	Ak2	K00939	Purine metabolism
P60174	8406920.0	1523.23456985	2404379100.0	1052.32528079	286.0	Tpi1	K01803	Glycolysis
B1AHC8	12768140.0	2313.43610272	7775797300.0	3403.23540372	609.0	XrcC6	K10884	Non-homologous end-joining
P50991	10086003.0	1827.4645698	5436355600.0	2379.33129316	539.0	Cct4	K09496	Chaperones and folding catalysts
Q06323	11699577.0	2119.825113	2924894200.0	1280.13927184	250.0	PsmE1	K06696	Proteasome
P42224	7460807.4	1351.81014577	5595605600.0	2449.0302857	750.0	StaT1	K11220	Transcription factors
P49368	10704223.0	1939.47872907	5833801500.0	2553.28155263	545.0	Cct3	K09495	Chaperones and folding catalysts
O15144	14360798.0	2602.00691385	4308239400.0	1885.58835681	300.0	ArpC2	K05758	Regulation of actin cytoskeleton
P23284	17682255.0	3203.81567671	3819367100.0	1671.62347899	216.0	PpiB	K03768	Chaperones and folding catalysts
P62899	9667616.6	1751.65789768	1256790200.0	550.059722324	130.0	Rpl31	K02910	Ribosome
P27635	11567034.0	2095.8098875	2660417800.0	1164.38581104	230.0	Rpl10	K02866	Ribosome
P48047	14613516.0	2647.7964294	3112678900.0	1362.3270546	213.0	Atp5o	K02137	Oxidative phosphorylation
P38646	11559373.0	2094.42180482	7871933000.0	3445.31114273	681.0	HspA9	K04043	Chaperones and folding catalysts
P47756	13949002.0	2527.39434433	4658966700.0	2039.0912734	334.0	CapZb	K10365	Cytoskeleton proteins
P20618	12089014.0	2190.38649591	2913452400.0	1275.13153599	241.0	PsmB1	K02732	Proteasome
P37837	10872282.0	1969.92903412	3663959000.0	1603.6059719	337.0	TalDo1	K00616	Pentose phosphate metabolism
P18669	3068973.7	556.061772182	779519320.0	341.172441276	254.0	PgaM1	K01834	Glycolysis
P49720	14177442.0	2568.78497314	2906375600.0	1272.03423094	205.0	PsmB3	K02735	Proteasome
Q00839	12274021.0	2223.90757831	10126067000.0	4431.87860811	825.0	HnrNpu	K12888	Spliceosome
