!!SBtab TableType='Proteomaps' Organism='hsa' ProteinIdentifier='http://identifiers.org/uniprot/'
!ProteinIdentifier	!Abundance[original])	!Abundance[ppm]	!SizeWeightedAbundance[original]	!SizeWeightedAbundance[ppm]	!ProteinSize	!ProteinName	!Identifiers:kegg.orthology	!Pathway
P60709	1763106800.0	9466.23392654	6.6116505e+11	9639.49446306	375.0	ActB		Cytoskeleton proteins
P68363	1086389100.0	5832.89302488	4.8996148e+11	7143.42201478	451.0	TubA1b	K07374	Cytoskeleton proteins
P62805	3204128600.0	17203.1727507	3.3002525e+11	4811.62240812	103.0	HisT2h4a	K11254	Chromosome-related
P00352	2934069.5	15.7532080551	1469968800.0	21.4314959759	501.0	AldH1a1	K07249	Cofactor biosynthesis
P05783	37796060.0	202.929479633	16252306000.0	236.951444573	430.0	Krt18	K07604	Cytoskeleton proteins
Q71DI3	1258961400.0	6759.44481462	1.7121875e+11	2496.29376598	136.0	HisT2h3d	K11253	Chromosome-related
P0C0S8	900601920.0	4835.38969358	1.1707825e+11	1706.94918405	130.0	HisT1h2ag	K11251	Chromosome-related
P07355-2	117008060.0	628.223807684	40952821000.0	597.074045696	350			
P68104	1308513800.0	7025.49484064	6.0453338e+11	8813.82972262	462.0	Eef1a1	K03231	Translation factors
P62807	1727390100.0	9274.46866462	2.1765115e+11	3173.25765375	126.0	HisT1h2bc	K11252	Chromosome-related
P14618	723697180.0	3885.57675454	3.842832e+11	5602.67935918	531.0	Pkm2	K00873	Glycolysis
P14618	707491.44	3.79856709308	375677950.0	5.4772186142	531.0	Pkm2	K00873	Glycolysis
P04406	1054392500.0	5661.10121938	3.5322149e+11	5149.81334402	335.0	GapDh	K00134	Glycolysis
P07737	844266640.0	4532.92194813	1.1819733e+11	1723.26487627	140.0	Pfn1	K05759	Regulation of actin cytoskeleton
P23528	692377470.0	3717.41921504	1.41245e+11	2059.28972718	204.0	Cfl1	K05765	Regulation of actin cytoskeleton
P62979	1271031700.0	6824.25103246	1.9828095e+11	2890.8486915	156.0	Rps27a	K02977	Ribosome
P06733	827974710.0	4445.449527	3.5934102e+11	5239.03338908	434.0	Eno1	K01689	RNA degradation
