!!SBtab TableType='Proteomaps' Organism='eco' DefaultProteinLength='350' ProteinURL='www.genome.jp/dbget-bin/www_bget?eco:'
!Protein:Identifier	!Abundance:[original]	!Abundance:[ppm]	!SizeWeightedAbundance:[original]	!SizeWeightedAbundance:[ppm]	!Protein:Size	!Protein:Name	!Identifiers:kegg.orthology	!Pathway	!Protein
b0002	5102.0	1188.310398228388	4183640.0	3415.79105498572	820.0	thrA	K12524	Amino acid metabolism	Bifunctional aspartokinase/homoserine dehydrogenase 1
b0003	658.0	153.2552414806506	203980.0	166.54230751115946	310.0	thrB	K00872	Amino acid metabolism	homoserine kinase
b0004	9394.0	2187.9631283726926	4020632.0	3282.7009066242185	428.0	thrC	K01733	Amino acid metabolism	L-threonine synthase
b0005	0.0	0.0	0.0	0.0					
b0006	167.0	38.896087123508586	58450.0	47.72231529575091					
b0007	0.0	0.0	0.0	0.0					
b0008	12880.0	2999.889833238267	4082960.0	3333.5894689467777	317.0	talB	K00616	Pentose phosphate metabolism	transaldolase B
b0009	204.0	47.51378307302845	39780.0	32.47893417390883	195.0	mog	K03831	Sulfur relay system	molybdochelatase incorporating molybdenum into molybdopterin
b0010	0.0	0.0	0.0	0.0					
b0011	0.0	0.0	0.0	0.0					
b0013	0.0	0.0	0.0	0.0					
b0014	11433.0	2662.8680484016386	7294254.0	5955.49511095453	638.0	dnaK	K04043	Chaperones and folding catalysts	chaperone Hsp70, with co-chaperone DnaJ
b0015	624.0	145.33627763514585	234624.0	191.5620274414074	376.0	dnaJ	K03686	Chaperones and folding catalysts	chaperone Hsp40, DnaK co-chaperone
b0018	0.0	0.0	0.0	0.0					
b0019	0.0	0.0	0.0	0.0	388.0	nhaA	K03313	Transport	sodium-proton antiporter
b0020	0.0	0.0	0.0	0.0	301.0	nhaR	K03717	Transcription factors	transcriptional activator of nhaA
b0023	28815.0	6711.321859065269	2506905.0	2046.7974478442163	87.0	rpsT	K02968	Ribosome	30S ribosomal subunit protein S20
b0024	0.0	0.0	0.0	0.0					
b0025	0.0	0.0	0.0	0.0	313.0	ribF	K11753	Cofactor biosynthesis	bifunctional riboflavin kinase/FAD synthetase
b0026	2261.0	526.6110957260653	2120818.0	1731.5713478341122	938.0	IleS	K01870	tRNA loading	isoleucyl-tRNA synthetase
b0027	0.0	0.0	0.0	0.0	164.0	lspA	K03101	Protein export	prolipoprotein signal peptidase (signal peptidase II)
b0028	2121.0	494.0035975386929	316029.0	258.026271695481	149.0	fkpB	K03774	Chaperones and folding catalysts	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)
b0029	314.0	73.13396022024968	99224.0	81.01281459205455	316.0	ispH	K03527	Cofactor biosynthesis	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein
b0030	57.0	13.27590997628736	17328.0	14.147686560218508	304.0	rihC	K12700	Other enzymes	ribonucleoside hydrolase 3
b0031	1853.0	431.5835295800084	505869.0	413.0237795782073	273.0	dapB	K00215	Amino acid metabolism	dihydrodipicolinate reductase
