!!SBtab TableType='Proteomaps' Organism='eco'!ProteinIdentifier	!Abundance[original])	!Abundance[ppm]	!SizeWeightedAbundance[original]	!SizeWeightedAbundance[ppm]	!ProteinSize	!ProteinName	!Identifiers:kegg.orthology	!Pathway
b3241	21.0	2.0090764333	7350.0	2.57328633892	350			
b3240	0.0	0.0	0.0	0.0	350			
b3243	141.0	13.489513195	49350.0	17.2777797042	350			
b3242	11.0	1.05237336983	3850.0	1.34791189182	350			
b2836	162.0	15.4985896283	116478.0	40.7797613857	719.0	Aas	K05939	Lipid and steroid metabolism
b0885	123.0	11.7674476808	28782.0	10.076779239	234.0	Aat	K00684	Other enzymes
b1338	8.0	0.765362450782	2800.0	0.980299557684	350			
b1337	0.0	0.0	0.0	0.0	350			
b1339	19.0	1.81773582061	6650.0	2.3282114495	350	AbgR	K14057	Transcription factors
b1336	0.0	0.0	0.0	0.0	350			
b0715	4.0	0.382681225391	1400.0	0.490149778842	350			
b0185	4753.0	454.720966071	1516207.0	530.834661235	319.0	AccA	K01962	Lipid and steroid metabolism
b3255	13718.0	1312.40526248	2140008.0	749.231748514	156.0	AccB	K02160	Lipid and steroid metabolism
b3256	4452.0	425.92420386	1998948.0	699.845657226	449.0	AccC	K01961	Lipid and steroid metabolism
b2316	4611.0	441.13578257	1401744.0	490.760365424	304.0	AccD	K01963	Lipid and steroid metabolism
b4015	2523.0	241.376182916	1094982.0	383.360846526	434.0	AceA	K01637	TCA cycle and anaplerotic enzymes
b4014	1253.0	119.874893854	667849.0	233.81859975	533.0	AceB	K01638	Glycolysis
b0114	32526.0	3111.77238427	28850562.0	10100.7832741	887.0	AceE	K00163	Glycolysis
b0115	28493.0	2725.93403877	17950590.0	6284.62694185	630.0	AceF	K00627	Glycolysis
b4016	6.0	0.574021838087	3444.0	1.20576845595	574.0	AceK	K00906	Other enzymes
b2296	15918.0	1522.87993644	6367200.0	2229.20119417	400.0	AckA	K00925	Other central metabolism enzymes
b1276	186.0	17.7946769807	165726.0	58.0218301774	891.0	AcnA	K01681	TCA cycle and anaplerotic enzymes
b0118	6068.0	580.527418918	5248820.0	1837.64854442	865.0	AcnB	K01682	TCA cycle and anaplerotic enzymes
b0404	133.0	12.7241507443	25669.0	8.98689619507	193.0	AcpH	K08682	Cofactor biosynthesis
b1094	214887.0	20558.3051202	75210450.0	26331.7038815	350	AcpP	K02078	Lipid and steroid metabolism
b2563	99.0	9.47136032843	12474.0	4.36723452948	126.0	AcpS	K00997	Cofactor biosynthesis
b3475	199.0	19.0383909632	38805.0	13.5859015485	195.0	AcpT	K06133	Cofactor biosynthesis
b0463	2397.0	229.321724316	951609.0	333.164957782	397.0	AcrA	K03585	Chromosome-related
b0462	908.0	86.8686381638	317800.0	111.263999797	350			
b2470	8.0	0.765362450782	2800.0	0.980299557684	350			
b3265	0.0	0.0	0.0	0.0	385.0	AcrE	K03585	Chromosome-related
b3266	0.0	0.0	0.0	0.0	350			
b0464	152.0	14.5418865649	32680.0	11.4414962661	215.0	AcrR	K03577	Transcription factors
b4069	79.0	7.55795420148	51508.0	18.0333105776	652.0	Acs	K01895	Glycolysis
b4067	0.0	0.0	0.0	0.0	350			
b2213	8.0	0.765362450782	2832.0	0.991502981201	354.0	Ada	K10778	Transcription factors
b1623	548.0	52.4273278786	182484.0	63.8889230302	333.0	Add	K01488	Purine metabolism
b3665	311.0	29.7534652742	182868.0	64.0233641124	588.0	Ade	K01486	Purine metabolism
b1241	3197.0	305.857969394	2848527.0	997.28919934	891.0	AdhE	K04072	Glycolysis
b1478	21.0	2.0090764333	7056.0	2.47035488536	336.0	AdhP	K13953	Glycolysis
b4117	0.0	0.0	0.0	0.0	756.0	AdiA	K01584	Amino acid metabolism
b4115	0.0	0.0	0.0	0.0	350			
b4116	0.0	0.0	0.0	0.0	253.0	AdiY	K03755	Transcription factors
b0474	11998.0	1147.85233556	2567572.0	898.924891401	214.0	Adk	K00939	Purine metabolism
b0385	0.0	0.0	0.0	0.0	350			
b1815	0.0	0.0	0.0	0.0	350			
b2468	2.0	0.191340612696	700.0	0.245074889421	350			
b3072	2.0	0.191340612696	700.0	0.245074889421	350	Aer	K03776	Two-component system
b0476	9.0	0.86103275713	2898.0	1.0146100422	322.0	Aes	K01066	Biosynthesis of other secondary metabolites
b0262	4.0	0.382681225391	1400.0	0.490149778842	350	AfuC	K02010	Transport
b3138	5.0	0.478351531739	790.0	0.276584518061	158.0	AgaB	K10984	Transport
b3139	0.0	0.0	0.0	0.0	267.0	AgaC	K10985	Transport
b3140	0.0	0.0	0.0	0.0	263.0	AgaD	K10986	Transport
b3141	6.0	0.574021838087	1530.0	0.535663686877	255.0	AgaI	K02080	Carbohydrate metabolism
b3131	637.0	60.9419851435	171353.0	59.9918821814	269.0	AgaR	K02081	Transcription factors
b3136	5.0	0.478351531739	1920.0	0.672205410983	384.0	AgaS	K02082	Other enzymes
b3133	13.0	1.24371398252	2197.0	0.769185045797	169.0	AgaV	K02745	Transport
b1002	34.0	3.25279041583	14042.0	4.91620228179	413.0	Agp	K01085	Glycolysis
b0605	76357.0	7305.0975818	14278759.0	4999.09326142	187.0	AhpC	K03386	Other enzymes
b0606	4883.0	467.158105896	1709050.0	598.350342521	350			
b4187	12.0	1.14804367617	4200.0	1.47044933653	350			
b2252	0.0	0.0	0.0	0.0	350			
b2290	1217.0	116.430762825	425950.0	149.128070213	350	AlaA	K14260	Amino acid metabolism
b2379	418.0	39.9901880534	146300.0	51.220651889	350	AlaC	K14261	Amino acid metabolism
b2697	5773.0	552.304678546	5057148.0	1770.54283841	876.0	AlaS	K01872	tRNA loading
b1415	349.0	33.3889369154	167171.0	58.5277347706	479.0	AldA	K07248	Glycolysis
b3588	0.0	0.0	0.0	0.0	542.0	AldB	K00138	Other enzymes
b2068	14.0	1.33938428887	3948.0	1.38222237633	282.0	AlkA	K01247	Base excision repair
b2212	2.0	0.191340612696	432.0	0.151246217471	216.0	AlkB	K03919	DNA repair and recombination proteins
b0505	18.0	1.72206551426	2880.0	1.00830811648	160.0	AllA	K01483	Purine metabolism
b0512	0.0	0.0	0.0	0.0	453.0	AllB	K01466	Purine metabolism
b0516	0.0	0.0	0.0	0.0	411.0	AllC	K02083	Peptidases
b0517	0.0	0.0	0.0	0.0	349.0	AllD	K00073	Purine metabolism
b0506	1332.0	127.432848055	360972.0	126.378818549	271.0	AllR	K10973	Transcription factors
b0504	0.0	0.0	0.0	0.0	308.0	AllS	K10972	Transcription factors
b2624	36.0	3.44413102852	12600.0	4.41134800958	350	AlpA	K07733	Transcription factors
b4053	349.0	33.3889369154	125291.0	43.8652542435	359.0	Alr	K01775	Amino acid metabolism
b4087	0.0	0.0	0.0	0.0	510.0	AlsA	K10551	Transport
