Systematic name	Abundance (data value)	Abundance [ppm]	Size-weighted abundance	Size-weighted abundance [ppm]	Size	Gene name	KO number	KO category
P11142	0.0050215814	5047.4488254	3.2439416	9090.06882563	646	HspA8	K03283	Chaperones and folding catalysts
P36578	0.0019700784	1980.22676801	0.84122348	2357.24938172	427	Rpl4	K02930	Ribosome
P06733	0.0040666379	4087.58617189	1.7649208	4945.60430551	434	Eno1	K01689	Glycolysis / Gluconeogenesis
P06733	3.35813e-06	3.37542856998	0.0014574284	4.08395899125	434	Eno1	K01689	Glycolysis / Gluconeogenesis
P39023	0.002260094	2271.73631111	0.91081788	2552.26457123	403	Rpl3	K02925	Ribosome
P23528	0.0052028644	5229.6656596	1.0613843	2974.1769511	204	Cfl1	K05765	Regulation of actin cytoskeleton
P68104	0.0099845503	10035.9832231	4.6128622	12926.0141062	462	Eef1a1	K03231	Translation factors
Q53HE2	0.0040146853	4035.36595102	1.1482	3217.44911363	286	Tpi1	K01803	Glycolysis / Gluconeogenesis
P63244	0.0016688469	1677.44354899	0.58409641	1636.73617543	350			
P68400	0.0002662542	267.625742171	0.10570292	296.197322994	397	CsnK2a1	K03097	Ribosome biogenesis in eukaryotes
Q14152	0.0001969793	197.993989784	0.27222539	762.821233028	1382	Eif3a	K03254	Translation factors
Q7KZF4;B2R5U1;B3KU67;Q59FF0	0.0003133419	314.956002725	0.10966966	307.312794251	350			
P61978	0.0023665654	2378.756172	1.0980863	3077.02211516	464	HnrNpk	K12886	Spliceosome
P61978	6.4772179e-05	65.1058367414	0.030054291	84.2171676874	464	HnrNpk	K12886	Spliceosome
P62241	0.0024301636	2442.68198228	0.50547403	1416.42307071	208	Rps8	K02995	Ribosome
Q6P2Q9	0.0002040204	205.071360257	0.47638763	1334.91809605	2335	PrpF8	K12856	Spliceosome
P23396	0.002307228	2319.11311017	0.5606564	1571.05333324	243	Rps3	K02985	Ribosome
P11940	0.0007183159	722.016125382	0.45684891	1280.16732324	636	PabPc1	K13126	RNA degradation
Q00610	0.0014235427	1430.87572553	2.384434	6681.58427087	1675	CltC	K04646	Endocytosis
P50991	0.0011509713	1156.90024187	0.62037353	1738.39075441	539	Cct4	K09496	Chaperones and folding catalysts
P06748	0.0051536095	5180.15703526	1.5151612	4245.73598672	294	Npm1	K11276	Chromosome-related
P62847	0.0012309078	1237.24851484	0.35573235	996.821750738	289	Rps24	K02974	Ribosome
P54136	0.0004048186	406.903922153	0.26718028	748.683988038	660	RarS	K01887	
P54136	1.419569e-11	1.426881556e-05	9.3691554e-09	2.62539459477e-05	660	RarS	K01887	
P14866	0.0011471402	1153.04940692	0.67566558	1893.32835872	589	HnrNpl	K13159	
O43143	0.0002449038	246.165360905	0.19469852	545.577931196	795	Dhx15	K12820	Spliceosome
P15880	0.0020704393	2081.10465218	0.60663871	1699.90348352	293	Rps2	K02981	Ribosome
O43242	0.0003117658	313.371783839	0.16648294	466.513140339	534	PsmD3	K03033	Proteasome
P31948	0.0012040222	1210.22442037	0.7103731	1990.58465506	590	StiP1	K09553	Chaperones and folding catalysts
O00148	0.0010064461	1011.63055632	0.42975248	1204.23857852	427	Ddx39	K13182	Other enzymes
P62750	0.0033615417	3378.8578445	0.65213909	1827.40318506	194	Rpl23a	K02893	Ribosome
P14678	0.0004896238	492.14597501	0.14101165	395.138310664	288	SnrPb	K11086	Spliceosome
P62906	0.0024010627	2413.43117625	0.52103061	1460.01521888	217	Rpl10a	K02865	Ribosome
Q08211	0.0006030475	606.15394894	0.76587032	2146.09718014	1270	Dhx9	K13184	Other enzymes
P22626	0.0037865571	3806.06260544	1.3366547	3745.53081322	353	HnrNpa2b1	K13158	
Q16531	0.0004552128	457.557715318	0.51894259	1454.16423639	1140	Ddb1	K10610	Nucleotide excision repair
B3KT15	0.000432145	434.371087294	0.15125075	423.829987392	350			
A8MXP9	0.0004547163	457.058657722	0.15915071	445.967001239	350			
