!!SBtab TableType='Proteomaps' Organism='mmu'
!ProteinIdentifier	!Abundance[original])	!Abundance[ppm]	!SizeWeightedAbundance[original]	!SizeWeightedAbundance[ppm]	!ProteinSize	!ProteinName	!Identifiers:kegg.orthology	!Pathway
17196	12337.714	13.2289250451	4318199.9	13.0597449043	350	Mbp		Myelin
69187	2702.9714	2.89821972284	946039.99	2.86115539456	350			
12954	230102.04	246.723391373	45100000.0	136.398154051	196.0	Cryaa	K09541	Crystallins
11354	29714.286	31.8606884761	10400000.0	31.4532328633	350			
14077	759398.5	814.253421325	101000000.0	305.459280691	133.0	Fabp3	K08752	PPAR signaling pathway
12961	111428.57	119.477579105	39000000.0	117.949623237	350	Crybb2		Crystallins
12889	9436.8571	10.1185256229	3302900.0	9.98912334847	350			
12955	493714.29	529.377592647	86400001.0	261.303783735	175.0	Cryab	K09542	Crystallins
380684	63394.495	67.9737772025	69100000.0	208.982537582	1090.0	Nefh	K04574	Amyotrophic lateral sclerosis (ALS)
226180	6863.8889	7.35969984194	3459400.0	10.4624340161	504.0	Ina	K07608	Cytoskeleton proteins
18039	36464.088	39.0980603853	19800000.0	59.8821164128	543.0	Nefl	K04572	Cytoskeleton proteins
17189	203142.86	217.816823147	71100001.0	215.031239234	350	Mb		Hemoglobin
110187	6522.2857	6.99342103795	2282800.0	6.90398461349	350			
20617	42501.429	45.5715068893	5950200.1	17.9954835893	140.0	Snca	K04528	Synaptic vesicle cycle
18823	3711.1429	3.97921618669	1298900.0	3.92832732366	350			
12962	16659.429	17.862817823	5830800.2	17.6343765836	350	Crybb3		Crystallins
19194	1870.9429	2.0060898954	654830.02	1.98043472163	350			
G3UXD0	4008.0	4.29751666967	1402800.0	4.24255721736	350			
12373	5085.1429	5.45246666178	1779800.0	5.38273690866	350			
21956	99335.548	106.511021313	29900000.0	90.4280444819	301.0	Tnnt2	K12045	Cardiac muscle contraction
70350	26739.143	28.6706369199	9358700.1	28.3039782253	350			
22349	27327.69	29.3016974348	22600000.0	68.3502944913	827.0	Vil1	K05761	Cytoskeleton proteins
218038	926.44315	0.993364491174	635540.0	1.92209496288	686.0	Amph	K12562	Fc gamma R-mediated phagocytosis
21954	7477.7251	8.01787631448	1577800.0	4.77181834728	211.0	Tnni3	K12044	Cardiac muscle contraction
66473	19158.935	20.5428748841	5038799.9	15.2390910198	263.0	Ctrb1	K01310	Pancreatic secretion
19752	7442.2819	7.97987288563	1108900.0	3.35370095405	149.0	RnaSe1	K01168	Other enzymes
