!!SBtab TableType='Proteomaps' Organism='eco' DefaultProteinLength='350' ProteinURL='www.genome.jp/dbget-bin/www_bget?eco:'
!Protein:Identifier	!Abundance:[original]	!Abundance:[ppm]	!SizeWeightedAbundance:[original]	!SizeWeightedAbundance:[ppm]	!Protein:Size	!Protein:Name	!Identifiers:kegg.orthology	!Pathway
b3241	62.0	3.43477764441	21700.0	4.95308372559		aaeA	K15548	Transport
b3240	16.0	0.886394230815	5600.0	1.27821515499		aaeB	K03468	Transport
b3243	203.0	11.2461268035	71050.0	16.217354779				
b3242	28.0	1.55118990393	9800.0	2.23687652124				
b2836	188.0	10.4151322121	135172.0	30.853374809	719.0	aas	K05939	Lipid and steroid metabolism
b0885	151.0	8.36534555331	35334.0	8.06508112259	234.0	aat	K00684	Transfer RNA biogenesis
b1338	9.0	0.498596754833	3150.0	0.718996024683		abgA	K12940	Peptidases
b1337	5.0	0.27699819713	1750.0	0.399442235935		abgB	K12941	Peptidases
b1339	27.0	1.4957902645	9450.0	2.15698807405	350	abgR	K14057	Transcription factors
b1336	0.0	0.0	0.0	0.0				
b0715	13.0	0.720195312537	4550.0	1.03854981343				
b0185	10155.0	562.58333837	3239445.0	739.412087993	319.0	AccA	K01962	Lipid and steroid metabolism
b3255	34495.0	1911.010562	5381220.0	1228.27802792	156.0	AccB	K02160	Lipid and steroid metabolism
b3256	13890.0	769.500991626	6236610.0	1423.52311032	449.0	AccC	K01961	Lipid and steroid metabolism
b2316	8774.0	486.076436323	2667296.0	608.817530366	304.0	AccD	K01963	Lipid and steroid metabolism
b4015	1483.0	82.1576652686	643622.0	146.908463301	434.0	aceA	K01637	TCA cycle and anaplerotic enzymes
b4014	591.0	32.7411869007	315003.0	71.9002872264	533.0	aceB	K01638	Glycolysis
b0114	66813.0	3701.41610896	59263131.0	13526.9700315	887.0	aceE	K00163	Glycolysis
b0115	60155.0	3332.56530967	37897650.0	8650.24117296	630.0	aceF	K00627	Glycolysis
b4016	9.0	0.498596754833	5166.0	1.17915348048	574.0	aceK	K00906	Other enzymes
b2296	35607.0	1972.61496104	14242800.0	3250.95764456	400.0	AckA	K00925	Other central metabolism enzymes
b1276	238.0	13.1851141834	212058.0	48.4028123817	891.0	acnA	K01681	TCA cycle and anaplerotic enzymes
b0118	7764.0	430.122800503	6715860.0	1532.91321979	865.0	acnB	K01682	TCA cycle and anaplerotic enzymes
b0404	190.0	10.5259314909	36670.0	8.37002673814	193.0	acpH	K08682	Cofactor biosynthesis
b1094	357865.0	19825.5919632	125252750.0	28589.2791526		AcpP	K02078	Lipid and steroid metabolism
b2563	372.0	20.6086658664	46872.0	10.6986608473	126.0	acpS	K00997	Cofactor biosynthesis
b3475	474.0	26.2594290879	92430.0	21.0973976386	195.0	acpT	K06133	Cofactor biosynthesis
b0463	3861.0	213.898007823	1532817.0	349.869628434	397.0	acrA	K03585	Chromosome-related
b0462	2074.0	114.898852169	725900.0	165.688639466		acrB	K18138	Transport
b2470	56.0	3.10237980785	19600.0	4.47375304247		acrD	K18324	Two-component system
b3265	5.0	0.27699819713	1925.0	0.439386459529	385.0	acrE	K18141	Transport
b3266	5.0	0.27699819713	1750.0	0.399442235935		acrF	K18142	Transport
b0464	240.0	13.2959134622	51600.0	11.7778396424	215.0	acrR	K03577	Transcription factors
b4069	150.0	8.30994591389	97800.0	22.3231146711	652.0	acs	K01895	Glycolysis
b4067	15.0	0.830994591389	5250.0	1.19832670781		actP	K14393	Transport
b2213	21.0	1.16339242794	7434.0	1.69683061825	354.0	ada	K10778	Transcription factors
b1623	724.0	40.1093389444	241092.0	55.0299014549	333.0	add	K01488	Purine metabolism
b3665	738.0	40.8849338963	433944.0	99.0488923603	588.0	ade	K01486	Purine metabolism
b1241	3485.0	193.067743399	3105135.0	708.755467017	891.0	adhE	K04072	Glycolysis
b1478	20.0	1.10799278852	6720.0	1.53385818599	336.0	adhP	K13953	Glycolysis
b4117	5.0	0.27699819713	3780.0	0.86279522962	756.0	adiA	K01584	Amino acid metabolism
b4115	3.0	0.166198918278	1050.0	0.239665341561		adiC	K03759	Transport
b4116	37.0	2.04978665876	9361.0	2.13667358319	253.0	adiY	K03755	Transcription factors
b0474	20646.0	1143.78095559	4418244.0	1008.47614987	214.0	adk	K00939	Exosome
b0385	6.0	0.332397836555	2100.0	0.479330683122				
b1815	0.0	0.0	0.0	0.0				
b2468	13.0	0.720195312537	4550.0	1.03854981343				
