!!SBtab TableType='Proteomaps' Organism='eco' DefaultProteinLength='350' ProteinURL='www.genome.jp/dbget-bin/www_bget?eco:'
!Protein:Identifier	!Abundance:[original]	!Abundance:[ppm]	!SizeWeightedAbundance:[original]	!SizeWeightedAbundance:[ppm]	!Protein:Size	!Protein:Name	!Identifiers:kegg.orthology	!Pathway	!Protein
b0002	2452.0	738.9136583006492	2010640.0	2025.1511578418297	820.0	thrA	K12524	Amino acid metabolism	Bifunctional aspartokinase/homoserine dehydrogenase 1
b0003	293.0	88.29596324718199	90830.0	91.48553677772918	310.0	thrB	K00872	Amino acid metabolism	homoserine kinase
b0004	4746.0	1430.2137937581083	2031288.0	2045.9481782468342	428.0	thrC	K01733	Amino acid metabolism	L-threonine synthase
b0005	0.0	0.0	0.0	0.0					
b0006	103.0	31.03919527119367	36050.0	36.31017946534335					
b0007	0.0	0.0	0.0	0.0					
b0008	8762.0	2640.4410579242613	2777554.0	2797.60011691213	317.0	talB	K00616	Pentose phosphate metabolism	transaldolase B
b0009	204.0	61.47568772158746	39780.0	40.06709955981577	195.0	mog	K03831	Sulfur relay system	molybdochelatase incorporating molybdenum into molybdopterin
b0010	0.0	0.0	0.0	0.0					
b0011	0.0	0.0	0.0	0.0					
b0013	0.0	0.0	0.0	0.0					
b0014	8539.0	2573.2396934050753	5447882.0	5487.200364105789	638.0	dnaK	K04043	Chaperones and folding catalysts	chaperone Hsp70, with co-chaperone DnaJ
b0015	597.0	179.9067920087633	224472.0	226.09205561566029	376.0	dnaJ	K03686	Chaperones and folding catalysts	chaperone Hsp40, DnaK co-chaperone
b0018	0.0	0.0	0.0	0.0					
b0019	0.0	0.0	0.0	0.0	388.0	nhaA	K03313	Transport	sodium-proton antiporter
b0020	0.0	0.0	0.0	0.0	301.0	nhaR	K03717	Transcription factors	transcriptional activator of nhaA
b0023	15564.0	4690.233351464643	1354068.0	1363.8405572338015	87.0	rpsT	K02968	Ribosome	30S ribosomal subunit protein S20
b0024	0.0	0.0	0.0	0.0					
b0025	0.0	0.0	0.0	0.0	313.0	ribF	K11753	Cofactor biosynthesis	bifunctional riboflavin kinase/FAD synthetase
b0026	1925.0	580.1014650198816	1805650.0	1818.6817073952075	938.0	IleS	K01870	tRNA loading	isoleucyl-tRNA synthetase
b0027	0.0	0.0	0.0	0.0	164.0	lspA	K03101	Protein export	prolipoprotein signal peptidase (signal peptidase II)
b0028	1828.0	550.8703782110877	272372.0	274.337758705534	149.0	fkpB	K03774	Chaperones and folding catalysts	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)
b0029	236.0	71.11893285438549	74576.0	75.11422867704427	316.0	ispH	K03527	Cofactor biosynthesis	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein
b0030	230.0	69.31082439198586	69920.0	70.42462547064653	304.0	rihC	K12700	Other enzymes	ribonucleoside hydrolase 3
b0031	807.0	243.1905881927504	220311.0	221.90102491509737	273.0	dapB	K00215	Amino acid metabolism	dihydrodipicolinate reductase
b0032	1824.0	549.6649725694879	696768.0	701.7967025161819	382.0	carA	K01956	Pyrimidine metabolism	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase
b0033	1788.0	538.8163217950901	1918524.0	1932.3703397661136	1073.0	carB	K01955	Pyrimidine metabolism	carbamoyl-phosphate synthase large subunit
b0034	0.0	0.0	0.0	0.0	131.0	caiF	K08277	Transcription factors	cai operon transcriptional activator
b0035	0.0	0.0	0.0	0.0					
b0036	0.0	0.0	0.0	0.0	297.0	caiD	K08299	Other enzymes	carnitinyl-CoA dehydratase
b0037	0.0	0.0	0.0	0.0	522.0	caiC	K02182	Other enzymes	putative crotonobetaine/carnitine-CoA ligase
b0038	0.0	0.0	0.0	0.0	405.0	caiB	K08298	Other enzymes	crotonobetainyl CoA:carnitine CoA transferase
b0039	0.0	0.0	0.0	0.0	380.0	caiA	K08297	Other enzymes	crotonobetaine reductase subunit II, FAD-binding
b0040	0.0	0.0	0.0	0.0					
b0041	0.0	0.0	0.0	0.0					
b0042	0.0	0.0	0.0	0.0		fixB	K03522	Other enzymes	putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein
b0043	0.0	0.0	0.0	0.0		fixC	K00313	Other enzymes	putative oxidoreductase
b0044	0.0	0.0	0.0	0.0					
b0045	0.0	0.0	0.0	0.0	443.0	yaaU	K08368	Transport	putative transporter
b0046	0.0	0.0	0.0	0.0		kefF	K11746	Transport	potassium-efflux system ancillary protein for KefC, glutathione-regulated
b0047	0.0	0.0	0.0	0.0		kefC	K11745	Transport	potassium:proton antiporter
b0048	386.0	116.32164441437627	61374.0	61.816947420415616	159.0	folA	K00287	Other central metabolism enzymes	dihydrofolate reductase
b0049	99.0	29.833789629593912	27918.0	28.11948932908338	282.0	apaH	K01525	Purine metabolism	diadenosine tetraphosphatase
b0050	0.0	0.0	0.0	0.0					
b0051	288.0	86.78920619518229	100800.0	101.52749209727074	350	rsmA	K02528	Ribosome biogenesis	16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent
b0052	0.0	0.0	0.0	0.0	329.0	pdxA	K00097	Cofactor biosynthesis	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent
b0053	1866.0	562.3217318062852	798648.0	804.4119891716377	428.0	surA	K03771	Chaperones and folding catalysts	peptidyl-prolyl cis-trans isomerase (PPIase)
b0054	76.0	22.90270719039533	26600.0	26.79197708122422		lptD	K04744	Transport	LPS assembly OM complex LptDE, beta-barrel component
b0055	0.0	0.0	0.0	0.0	271.0	djlA	K05801	Chaperones and folding catalysts	membrane-anchored DnaK co-chaperone, DNA-binding protein
b0058	0.0	0.0	0.0	0.0	219.0	rluA	K06177	Transfer RNA biogenesis	dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent
b0059	120.0	36.16216924799262	42000.0	42.30312170719614	350	rapA	K03580	Transcription machinery	RNA polymerase remodeling/recycling factor ATPase
b0060	0.0	0.0	0.0	0.0	783.0	polB	K02336	DNA repair and recombination proteins	DNA polymerase II
b0061	0.0	0.0	0.0	0.0	231.0	araD	K01786	Carbohydrate metabolism	L-ribulose-5-phosphate 4-epimerase
b0062	0.0	0.0	0.0	0.0	500.0	araA	K01804	Carbohydrate metabolism	L-arabinose isomerase
b0063	0.0	0.0	0.0	0.0	566.0	araB	K00853	Carbohydrate metabolism	L-ribulokinase
b0065	0.0	0.0	0.0	0.0					
b0066	0.0	0.0	0.0	0.0	232.0	thiQ	K02062	Transport	thiamine, thiamine pyrophosphate ABC transporter ATPase
b0067	0.0	0.0	0.0	0.0	536.0	thiP	K02063	Transport	thiamine, thiamine pyrophosphate ABC transporter permease
b0068	1000.0	301.3514103999385	350000.0	352.5260142266345	350	thiB	K02064	Transport	thiamine-, thiamine pyrophosphate-, thiamine monophosphate-binding ABC transporter periplasmic protein
b0069	0.0	0.0	0.0	0.0	551.0	sgrR	K11925	Transcription factors	transcriptional DNA-binding transcriptional activator of sgrS sRNA
b0070	0.0	0.0	0.0	0.0	350	setA	K03291	Transport	broad specificity sugar efflux system
b0071	9936.0	2994.227613733789	1997136.0	2011.5496969957826	201.0	LeuD	K01704	Amino acid metabolism	3-isopropylmalate dehydratase small subunit
b0072	5898.0	1777.3706185388373	2748468.0	2768.3041979127133	466.0	LeuC	K01703	Amino acid metabolism	3-isopropylmalate dehydratase large subunit
b0073	5899.0	1777.6719699492373	2141337.0	2156.7914220743396	363.0	leuB	K00052	Amino acid metabolism	3-isopropylmalate dehydrogenase, NAD(+)-dependent
b0074	5505.0	1658.9395142516616	2879115.0	2899.894101286048	523.0	LeuA	K01649	Amino acid metabolism	2-isopropylmalate synthase
b0075	0.0	0.0	0.0	0.0					
b0076	0.0	0.0	0.0	0.0	349.0	leuO	K05798	Transcription factors	global transcription factor
b0077	957.0	288.39329975274114	549318.0	553.2825288084183	574.0	IlvI	K01652	Amino acid metabolism	acetolactate synthase 3 large subunit
b0078	1161.0	349.8689874743286	189243.0	190.60880145797427	163.0	IlvH	K01653	Amino acid metabolism	acetolactate synthase 3, small subunit, valine-sensitive
b0080	404.0	121.74596980157516	134936.0	135.90985787338616	334.0	cra	K03435	Transcription factors	transcriptional repressor-activator for carbon metabolism
b0081	0.0	0.0	0.0	0.0					
