K01369	-
K01368	-
K01365	-
K01367	-
K01366	-
K01360	-
K01363	-
K09175	-
K08568	-
K05849	-
K05841	-
K08565	-
K05847	YehX
K00509	-
K00502	-
K00503	-
K00500	-
K00501	-
K00506	-
K00507	-
K00504	-
K01109	-
K01108	-
K09280	-
K09286	-
K09287	-
K09284	-
K09285	-
K04461	-
K04460	-
K01103	-
K01104	Etp Wzb
K04467	-
K01106	-
K05592	DeaD
K05590	SrmB
K05596	ArgP
K14549	-
K14548	-
K14543	-
K14547	-
K14546	-
K14545	-
K14544	-
K06573	-
hsa_B8ZZJ2	-
K01403	-
eco_b4155	EpmA
hsa_Q9C0K3	-
K05336	-
K02105	-
K08139	-
K02108	AtpB
K02109	AtpF
K03850	-
K03853	-
K03854	-
K03857	-
K03856	-
K05845	OsmF
K03719	Lrp
K13279	-
K03274	RfaD
K03277	WaaU
K03271	LpcA
K03270	KdsC
K03272	RfaE
mpn_MPN452	-
mpn_MPN453	-
K12275	-
K12273	-
K12272	-
K12271	-
K16196	-
K16197	-
K16195	-
K16190	-
K04468	-
K16198	-
K06736	-
K06229	-
K01101	-
K01100	-
K06221	DkgA
K09903	PyrH
K06222	DkgB
K06225	-
K09288	-
K06227	-
K16221	-
K16222	-
K16223	-
hsa_Q562P9	-
hsa_Q562P8	-
hsa_Q562P0	-
K00771	-
K00770	-
K00773	Tgt
K00772	-
K01107	-
K07173	LuxS
K07178	-
K07179	-
K10108	MalE
K10105	-
K04678	-
K04679	-
K01827	-
K04676	-
K01825	FadB
K01823	Idi
K01821	PptA
spo_SPAP8A3.08	-
K15086	-
K00999	-
K00998	PssA
K00995	PgsA
K00991	IspD
K00990	GlnD
K00993	-
hsa_Q13841	-
K15889	-
sce_YJR150C	-
K13484	-
K02739	-
K02738	-
K05105	-
K02732	-
K02731	-
K02730	-
K02737	-
K02736	-
K02735	-
K02734	-
K03469	RnhA
K03462	-
K03465	-
K01648	-
K01649	LeuA
K01640	-
K01641	-
K01647	GltA
sce_YBL063W	-
K02599	-
K14066	-
K02846	SolA
K09754	-
K09755	-
K09756	-
K09757	-
K09753	-
K01581	SpeF SpeC
K01580	GadA GadB
K04469	-
hsa_P49773	-
hsa_F5H3P5	-
K02703	-
K03644	LipA
K03645	SeqA
K03648	Ung
K03649	Mug
K06696	-
K06697	-
K06698	-
K06699	-
K07611	-
K07610	-
K07342	-
K16507	-
K06969	RlmI
K06965	-
K08991	-
hsa_B2RB53	-
K05929	-
K05928	-
K10352	-
K00698	-
K00699	-
K10356	-
K10357	-
K10355	-
K00340	NuoK
K00693	-
NotMapped	-
K00696	-
K00697	OtsA
K00695	-
K09113	-
hsa_P63313	-
K04196	-
K08502	-
K08503	-
K08501	-
K08506	-
K08507	-
K08504	-
K08505	-
K08508	-
K08509	-
K00525	NrdA NrdE
K00526	NrdB NrdF
K00521	-
K00522	-
K00528	Fpr
K03984	-
K14217	-
K14216	-
K14213	-
K14210	-
K00795	IspA
K00026	-
K00793	RibC
K01346	-
K01345	-
K01343	-
K00022	-
K01349	-
K01348	-
K02694	-
K02695	-
K02690	-
K02691	-
K02692	-
