!!SBtab TableType='Proteomaps' Organism='hsa' ProteinIdentifier='http://identifiers.org/uniprot/'
!ProteinIdentifier	!Abundance[original])	!Abundance[ppm]	!SizeWeightedAbundance[original]	!SizeWeightedAbundance[ppm]	!ProteinSize	!ProteinName	!Identifiers:kegg.orthology	!Pathway
P60709	1244934400.0	15511.1385273	4.668504e+11	15786.1663866	375.0	ActB		Cytoskeleton proteins
P68363	480552590.0	5987.39804533	2.1672922e+11	7328.52221559	451.0	TubA1b	K07374	Cytoskeleton proteins
P62805	1986175300.0	24746.5571019	2.0457606e+11	6917.57299957	103.0	HisT2h4a	K11254	Chromosome-related
P00352	1618166.7	20.1613899045	810701520.0	27.413212208	501.0	AldH1a1	K07249	Cofactor biosynthesis
P05783	427767280.0	5329.72463249	1.8393993e+11	6219.77905582	430.0	Krt18	K07604	Cytoskeleton proteins
Q71DI3	771655670.0	9614.36842995	1.0494517e+11	3548.63552669	136.0	HisT2h3d	K11253	Chromosome-related
P0C0S8	909520950.0	11332.0874167	1.1823772e+11	3998.11228842	130.0	HisT1h2ag	K11251	Chromosome-related
P07355-2	266713600.0	3323.0920414	93349760000.0	3156.54617306	350			
P68104	566353380.0	7056.42460564	2.6165526e+11	8847.6597006	462.0	Eef1a1	K03231	Translation factors
P62807	760829010.0	9479.47471744	95864455000.0	3241.5785382	126.0	HisT1h2bc	K11252	Chromosome-related
P14618	323503910.0	4030.66536046	1.7178058e+11	5808.62052998	531.0	Pkm2	K00873	Glycolysis
P14618	275466.68	3.43215018649	146272810.0	4.94609604382	531.0	Pkm2	K00873	Glycolysis
P04406	639878520.0	7972.5039041	2.143593e+11	7248.38529927	335.0	GapDh	K00134	Glycolysis
P07737	351206120.0	4375.81833946	49168857000.0	1662.60488936	140.0	Pfn1	K05759	Regulation of actin cytoskeleton
P23528	324880060.0	4047.81136693	66275532000.0	2241.0531843	204.0	Cfl1	K05765	Regulation of actin cytoskeleton
P62979	436909290.0	5443.62861291	68157849000.0	2304.70220196	156.0	Rps27a	K02977	Ribosome
P06733	390179960.0	4861.40909121	1.693381e+11	5726.03005629	434.0	Eno1	K01689	RNA degradation
P06733	42612.837	0.530930479346	18493971.0	0.625358580297	434.0	Eno1	K01689	RNA degradation
Q06830	446073020.0	5557.80321156	88768531000.0	3001.6356423	199.0	PrdX1	K13279	Peroxisome
P15121	81465636.0	1015.01313259	25743141000.0	870.483364992	316.0	Akr1b1	K00011	Carbohydrate metabolism
P62937	615887130.0	7673.58552434	1.0162138e+11	3436.2442725	165.0	PpiA	K03767	Chaperones and folding catalysts
P08670	596742730.0	7435.05774294	2.7808211e+11	9403.12026636	466.0	Vim	K07606	Cytoskeleton proteins
P68371	341936340.0	4260.3224212	1.5216167e+11	5145.22305279	445.0	TubB2c	K07375	Cytoskeleton proteins
P08238	484432560.0	6035.74015248	3.5072917e+11	11859.6214853	724.0	Hsp90ab1	K04079	Chaperones and folding catalysts
P52895	513768.88	6.40125316537	165947350.0	5.61137460419	323.0	Akr1c2	K00089	Lipid and steroid metabolism
P04083	129256030.0	1610.45287753	45239610000.0	1529.7405994	350			
P00338	300200150.0	3740.31443951	1.0837225e+11	3664.51944818	361.0	LdhA	K00016	Glycolysis
O43707	165763220.0	2065.3106446	1.5101029e+11	5106.290075	911.0	ActN4	K05699	Focal adhesion
O60218	1564464.5	19.4922925903	494370780.0	16.7167456422	316.0	Akr1b10	K00100	Carbohydrate metabolism
P06703	207133120.0	2580.75487183	72496592000.0	2451.41326595	350			
P09382	146383260.0	1823.84792639	19761740000.0	668.227157412	135.0	LgaLs1	K06830	CAM ligands
P42330	1673831.2	20.8549363038	540647480.0	18.281554596	323.0	Akr1c3	K00089	Lipid and steroid metabolism
P07195	357159990.0	4450.00000103	1.1929144e+11	4033.74297278	334.0	LdhB	K00016	Glycolysis
P11142	349333110.0	4352.48175436	2.2566919e+11	7630.82002644	646.0	HspA8	K03283	Chaperones and folding catalysts
P60866	331693660.0	4132.70475045	47100500000.0	1592.66508049	142.0	Rps20	K02969	Ribosome
Q53HE2	295083700.0	3676.56653061	84393938000.0	2853.71233973	286.0	Tpi1	K01803	Glycolysis
P62826	350013320.0	4360.9567644	81553104000.0	2757.65184969	233.0	Ran	K07936	RNA transport
P63104	211580120.0	2636.16183386	52048710000.0	1759.98477514	246.0	YwhAz	K06630	Cell cycle
P11413	27838347.0	346.849164653	14336749000.0	484.785501216	515.0	G6pD	K00036	Pentose phosphate metabolism
P62263	317819700.0	3959.84350131	1.112369e+11	3761.38525688	350			
P29401	148343330.0	1848.26922706	1.2683355e+11	4288.7732852	855.0	Tkt	K00615	Pentose phosphate metabolism
P05387	327739270.0	4083.43541459	37690016000.0	1274.45722161	115.0	RplP2	K02943	Ribosome
B4DNM7	13059941.0	162.719058939	4570979400.0	154.563948876	350			
P06748	313740150.0	3909.01474665	92239604000.0	3119.00715128	294.0	Npm1	K11276	Chromosome-related
P09211	1445785.1	18.0136182009	303614870.0	10.266489769	210.0	GstP1	K00799	Cofactor biosynthesis
P22626	296756140.0	3697.40413339	1.0475492e+11	3542.20237775	353.0			
P10599	209709860.0	2612.85951211	22019535000.0	744.572658106	105.0	Txn	K03671	Chaperones and folding catalysts
P04792	215820120.0	2688.98969961	44243125000.0	1496.04526999	205.0	HspB1	K04455	Chaperones and folding catalysts
P16403	325653560.0	4057.44871461	69364208000.0	2345.4942499	213.0	HisT1h1c	K11275	Chromosome-related
P63241	342376880.0	4265.81128629	73268652000.0	2477.5198466	214.0	Eif5a	K03263	Translation factors
P62888	238126920.0	2966.91909485	27384596000.0	925.987830119	115.0	Rpl30	K02908	Ribosome
P09429	249606880.0	3109.95253488	53915086000.0	1823.09476086	216.0	HmgB1	K10802	Chromosome-related
P26447	114517020.0	1426.81362243	40080957000.0	1355.30494594	350			
P04075	261123200.0	3253.43899878	95048845000.0	3213.99934974	364.0	AldOa	K01623	Glycolysis
Q07020	231043320.0	2878.66167271	43436144000.0	1468.75786414	188.0	Rpl18	K02883	Ribosome
P62857	193420500.0	2409.90382265	23403880000.0	791.3831578	121.0	Rps28	K02979	Ribosome
P25398	224456790.0	2796.59744568	29628296000.0	1001.85671986	132.0	Rps12	K02951	Ribosome
P62750	278730030.0	3472.80957699	54073626000.0	1828.45566195	194.0	Rpl23a	K02893	Ribosome
P62280	234529930.0	2922.10274937	37055729000.0	1253.00932284	158.0	Rps11	K02949	Ribosome
P22392	193113640.0	2406.08053046	56389183000.0	1906.75433767	292.0	Nme1-nme2	K00940	Purine metabolism
P22392	0.0	0.0	0.0	0.0	292.0	Nme1-nme2	K00940	Purine metabolism
P61604	173776500.0	2165.15132386	17725203000.0	599.363315945	102.0	HspE1	K04078	Chaperones and folding catalysts
P21333	85564269.0	1066.07965001	2.2648862e+11	7658.52838509	2647.0	FlnA	K04437	Cytoskeleton proteins
P14174	204693570.0	2550.35953695	1.146284e+11	3876.06606962	560.0	Mif	K07253	Amino acid metabolism
P05386	198132150.0	2468.6081655	22587065000.0	763.76322324	114.0	RplP1	K02942	Ribosome
Q0P5T0	61232445.0	762.919666095	4286271200.0	144.936772768	70.0	TmsB4x	K05764	Regulation of actin cytoskeleton
P62829	124876790.0	1555.8901646	17482751000.0	591.164998855	140.0	Rpl23	K02894	Ribosome
P60903	68822954.0	857.492871391	24088034000.0	814.517268594	350			
P62241	293043080.0	3651.14162508	60952961000.0	2061.07477706	208.0	Rps8	K02995	Ribosome
P42766	187883480.0	2340.91586293	23109668000.0	781.434618429	123.0	Rpl35	K02918	Ribosome
P62701	202620140.0	2524.52583843	53289097000.0	1801.92745221	263.0	Rps4x	K02987	Ribosome
P61247	195199840.0	2432.07333554	51532758000.0	1742.53827811	264.0	Rps3a	K02984	Ribosome
P09651	237306400.0	2956.69590607	88277981000.0	2985.04809322	372.0	HnrNpa1	K12741	Spliceosome
P12236	164080420.0	2044.34396241	48895965000.0	1653.37726844	298.0	Slc25a6	K05863	Calcium signaling pathway
P62424	218916670.0	2727.5708618	58231834000.0	1969.06208182	266.0	Rpl7a	K02936	Ribosome
P62851	205710460.0	2563.02937855	25713808000.0	869.491493466	125.0	Rps25	K02975	Ribosome
P09936	2616122.4	32.5953214488	630485500.0	21.3193541386	241.0	UchL1	K05611	Ubiquitin labeling
P23284	286139990.0	3565.13324966	61806238000.0	2089.92764448	216.0	PpiB	K03768	Chaperones and folding catalysts
P37802	117098740.0	1458.98031054	40984559000.0	1385.85951229	350			
Q6LES2	12972909.0	161.634692238	4540518200.0	153.533928185	350			
P62910	117056910.0	1458.45913374	17909707000.0	605.602168569	153.0	Rpl32	K02912	Ribosome
P08708	174509990.0	2174.29017086	23558849000.0	796.623308432	135.0	Rps17	K02962	Ribosome
P62269	178186330.0	2220.09516991	27084322000.0	915.83430915	152.0	Rps18	K02964	Ribosome
P39023	171986640.0	2142.85073806	69310616000.0	2343.68208003	403.0	Rpl3	K02925	Ribosome
P10809	247122890.0	3079.00350416	1.4160142e+11	4788.13679221	573.0	HspD1	K04077	Chaperones and folding catalysts
P00558	247143250.0	3079.25717759	1.0305874e+11	3484.84743128	417.0	Pgk1	K00927	Glycolysis
P23396	188466690.0	2348.18231094	45797406000.0	1548.60201724	243.0	Rps3	K02985	Ribosome
P35268	165933600.0	2067.43347756	21239501000.0	718.196443131	128.0	Rpl22	K02891	Ribosome
P46781	210440070.0	2621.95749226	40825374000.0	1380.47680105	194.0	Rps9	K02997	Ribosome
P06576	162600280.0	2025.90230269	86015548000.0	2908.54576233	529.0	Atp5b	K02133	Oxidative phosphorylation
P08865	191963570.0	2391.75134566	56629253000.0	1914.87210937	295.0	RpsA	K02998	Ribosome
P60842	233109700.0	2904.40753244	94642538000.0	3200.26040916	406.0	Eif4a1	K03257	RNA transport
P46776	158823780.0	1978.8493699	23505919000.0	794.833523553	148.0	Rpl27a	K02900	Ribosome
P61978	178873610.0	2228.65826792	82997355000.0	2806.48802203	464.0	HnrNpk	K12886	Spliceosome
P61978	1840472.7	22.9311897923	853979330.0	28.8766161368	464.0	HnrNpk	K12886	Spliceosome
P21796	152746770.0	1903.13345752	43227336000.0	1461.69719153	283.0	VdaC1	K05862	Calcium signaling pathway
P36578	165073070.0	2056.7117881	70486201000.0	2383.4335302	427.0	Rpl4	K02930	Ribosome
P63173	158481380.0	1974.58327055	11093697000.0	375.1243368	70.0	Rpl38	K02923	Ribosome
P40926	104318780.0	1299.74964751	35259748000.0	1192.27968676	338.0	Mdh2	K00026	TCA cycle and anaplerotic enzymes
P61254	104500690.0	1302.01613738	15988606000.0	540.641701508	153.0	Rpl26	K02898	Ribosome
P13639	262710470.0	3273.21543427	2.2540558e+11	7621.90626879	858.0	Eef2	K03234	Translation factors
P61956	74635388.0	929.912324942	7090361900.0	239.75481802	95.0	SumO2	K12160	RNA transport
P62906	189026810.0	2355.16107136	41018818000.0	1387.0179525	217.0	Rpl10a	K02865	Ribosome
P08195	132416710.0	1649.83306119	83554944000.0	2825.34244034	631.0	Slc3a2	K06519	Cellular antigens
P08195	56115.006	0.699159434846	35408569.0	1.19731194778	631.0	Slc3a2	K06519	Cellular antigens
P08195	0.0	0.0	0.0	0.0	631.0	Slc3a2	K06519	Cellular antigens
Q9Y3U8	158406420.0	1973.64931375	16632674000.0	562.420336832	105.0	Rpl36	K02920	Ribosome
Q9BUQ0	116150700.0	1447.16829878	64695940000.0	2187.64056618	557.0			
