!!SBtab TableType='Proteomaps' Organism='mmu'
!ProteinIdentifier	!Abundance[original])	!Abundance[ppm]	!SizeWeightedAbundance[original]	!SizeWeightedAbundance[ppm]	!ProteinSize	!ProteinName	!Identifiers:kegg.orthology	!Pathway
17196	591428.57	314.894349219	207000000.0	342.015944835	350	Mbp		Myelin
69187	11563.714	6.15686894291	4047299.9	6.68715506922	350			
12954	1265306.1	673.687003186	248000000.0	409.758233425	196.0	Cryaa	K09541	Crystallins
11354	14107.714	7.51137101644	4937699.9	8.15831930729	350			
14077	9624060.2	5124.13895311	1280000000.0	2114.88120478	133.0	Fabp3	K08752	PPAR signaling pathway
12961	428571.43	228.18431234	150000000.0	247.837641185	350	Crybb2		Crystallins
12889	8842.5714	4.70805082417	3094900.0	5.11355143802	350			
12955	6800000.0	3620.52441039	1190000000.0	1966.17862007	175.0	Cryab	K09542	Crystallins
380684	14678.899	7.81548708046	16000000.0	26.4360150597	1090.0	Nefh	K04574	Amyotrophic lateral sclerosis (ALS)
226180	43650.794	23.2409948838	22000000.0	36.3495207071	504.0	Ina	K07608	Cytoskeleton proteins
18039	89871.087	47.8500682753	48800000.0	80.6298459321	543.0	Nefl	K04572	Cytoskeleton proteins
17189	8800000.0	4685.38453109	3080000000.0	5088.93289899	350	Mb		Hemoglobin
12960	427.77143	0.227758368292	149720.0	0.247375010921	350			
110187	24970.286	13.294930882	8739600.1	14.4400124912	350			
20617	279285.71	148.700107431	39099999.0	64.6030101499	140.0	Snca	K04528	Synaptic vesicle cycle
18823	4427.1429	2.35714396143	1549500.0	2.56016283344	350			
12962	48571.429	25.8608888738	17000000.0	28.0882660009	350	Crybb3		Crystallins
19194	10479.143	5.57941073992	3667700.0	6.05996077715	350			
12373	61142.857	32.5542950426	21400000.0	35.3581701423	350			
21956	104318.94	55.54253952	31400001.0	51.8806812069	301.0	Tnnt2	K12045	Cardiac muscle contraction
70350	12976.0	6.90881246312	4541600.0	7.5038628747	350			
22349	148730.35	79.1885092266	123000000.0	203.226865771	827.0	Vil1	K05761	Cytoskeleton proteins
218038	3551.895	1.89113566921	2436600.0	4.0258746434	686.0	Amph	K12562	Fc gamma R-mediated phagocytosis
21954	75829.384	40.3738434995	16000000.0	26.4360150597	211.0	Tnni3	K12044	Cardiac muscle contraction
