!!SBtab TableType='Proteomaps' Organism='mmu'
!ProteinIdentifier	!Abundance[original])	!Abundance[ppm]	!SizeWeightedAbundance[original]	!SizeWeightedAbundance[ppm]	!ProteinSize	!ProteinName	!Identifiers:kegg.orthology	!Pathway
17196	196857.14	38.4668640272	68899999.0	38.9148056577	350	Mbp		Myelin
69187	28857.143	5.63882923421	10100000.0	5.7044926393	350			
12954	989795.92	193.411044524	194000000.0	109.571442775	196.0	Cryaa	K09541	Crystallins
11354	83714.286	16.3581877533	29300000.0	16.5486766665	350			
14077	10150376.0	1983.4339431	1350000000.0	762.481689411	133.0	Fabp3	K08752	PPAR signaling pathway
12961	314285.71	61.4129905182	110000000.0	62.1281376557	350	Crybb2		Crystallins
12889	106857.14	20.8804165026	37399999.0	21.1235662381	350			
12955	2245714.3	438.823741024	393000000.0	221.966891806	175.0	Cryab	K09542	Crystallins
380684	1775.8716	0.347014141153	1935700.0	1.09328578236	1090.0	Nefh	K04574	Amyotrophic lateral sclerosis (ALS)
226180	19298.016	3.77092828569	9726200.1	5.493369988	504.0	Ina	K07608	Cytoskeleton proteins
18039	131860.04	25.7661074894	71600002.0	40.4397707309	543.0	Nefl	K04572	Cytoskeleton proteins
17189	705714.29	137.900081427	247000000.0	139.5059091	350	Mb		Hemoglobin
12960	50000.0	9.77024862476	17500000.0	9.88402189977	350			
110187	7574.2857	1.48005308888	2651000.0	1.4972881175	350			
20617	280714.29	54.8529681165	39300001.0	22.1966897454	140.0	Snca	K04528	Synaptic vesicle cycle
18823	12826.0	2.50626417722	4489100.0	2.53544929773	350			
12962	50000.0	9.77024862476	17500000.0	9.88402189977	350	Crybb3		Crystallins
19194	19786.0	3.86628278579	6925100.0	3.91130514618	350			
G3UXD0	21554.0	4.21175877716	7543900.0	4.26080416055	350			
12373	27303.143	5.33516990695	9556100.1	5.39729729513	350			
21956	435215.95	85.0433607393	131000000.0	73.9889639354	301.0	Tnnt2	K12045	Cardiac muscle contraction
70350	90857.143	17.7539375289	31800000.0	17.960679795	350			
22349	8742442.6	1708.31675579	7230000000.0	4083.51304773	827.0	Vil1	K05761	Cytoskeleton proteins
218038	12624.781	2.46694498406	8660599.8	4.89151760505	686.0	Amph	K12562	Fc gamma R-mediated phagocytosis
21954	114691.94	22.4113753811	24199999.0	13.6681897195	211.0	Tnni3	K12044	Cardiac muscle contraction
66473	80988.593	15.8255737876	21300000.0	12.0302666551	263.0	Ctrb1	K01310	Pancreatic secretion
19752	139597.32	27.278010475	20800001.0	11.7478665942	149.0	RnaSe1	K01168	Other enzymes
11723	865714.29	169.164877026	303000000.0	171.134779179	350			
21924	214285.71	41.8724932687	34499999.0	19.485642609	161.0	Tnnc1	K05865	Calcium signaling pathway
68416	4836.0	0.944978446987	1692600.0	0.955982598146	350			
16204	314062.5	61.3693741743	40200000.0	22.7050103069	128.0	Fabp6	K08755	PPAR signaling pathway
19660	171428.57	33.4979950058	60000000.0	33.8880750849	350			
22003	250704.23	48.9888531676	71200001.0	40.2138496656	284.0	Tpm1	K10373	Cardiac muscle contraction
