!!SBtab TableType='Proteomaps' Organism='hsa' ProteinIdentifier='http://identifiers.org/uniprot/'
!ProteinIdentifier	!Abundance[original])	!Abundance[ppm]	!SizeWeightedAbundance[original]	!SizeWeightedAbundance[ppm]	!ProteinSize	!ProteinName	!Identifiers:kegg.orthology	!Pathway
P60709	635034290.0	9730.60614012	2.3813786e+11	9910.43103752	375.0	ActB		Cytoskeleton proteins
P68363	338343450.0	5184.42374512	1.525929e+11	6350.36114066	451.0	TubA1b	K07374	Cytoskeleton proteins
P62805	1675897300.0	25679.7102367	1.7261742e+11	7183.70878442	103.0	HisT2h4a	K11254	Chromosome-related
P00352	156483240.0	2397.78670215	78398103000.0	3262.64371929	501.0	AldH1a1	K07249	Cofactor biosynthesis
P05783	312679960.0	4791.18306929	1.3445238e+11	5595.41872015	430.0	Krt18	K07604	Cytoskeleton proteins
Q71DI3	702561030.0	10765.3157947	95548300000.0	3976.37250079	136.0	HisT2h3d	K11253	Chromosome-related
P0C0S8	807034240.0	12366.1547962	1.0491445e+11	4366.15757597	130.0	HisT1h2ag	K11251	Chromosome-related
P07355-2	5799838.7	88.8707065974	2029943500.0	84.4788605508	350			
P68104	617800690.0	9466.53634638	2.8542392e+11	11878.3047585	462.0	Eef1a1	K03231	Translation factors
P62807	495596390.0	7594.00453093	62445145000.0	2598.73966765	126.0	HisT1h2bc	K11252	Chromosome-related
P14618	193726380.0	2968.46191208	1.0286871e+11	4281.02132258	531.0	Pkm2	K00873	Glycolysis
P14618	197993.75	3.03385065939	105134680.0	4.37532274705	531.0	Pkm2	K00873	Glycolysis
P04406	363037110.0	5562.80375294	1.2161743e+11	5061.27481357	335.0	GapDh	K00134	Glycolysis
P07737	252016710.0	3861.64240948	35282339000.0	1468.32254015	140.0	Pfn1	K05759	Regulation of actin cytoskeleton
P23528	209509920.0	3210.31249189	42740024000.0	1778.68424783	204.0	Cfl1	K05765	Regulation of actin cytoskeleton
P62979	314597340.0	4820.56300971	49077185000.0	2042.41382474	156.0	Rps27a	K02977	Ribosome
P06733	309937180.0	4749.15555624	1.3451274e+11	5597.93068367	434.0	Eno1	K01689	RNA degradation
P06733	370750.59	5.68099711199	160905760.0	6.69631211946	434.0	Eno1	K01689	RNA degradation
Q06830	397953380.0	6097.82442285	79192723000.0	3295.71291169	199.0	PrdX1	K13279	Peroxisome
P15121	67703885.0	1037.42404066	21394428000.0	890.358228973	316.0	Akr1b1	K00011	Carbohydrate metabolism
P62937	325409710.0	4986.24054172	53692602000.0	2234.49068261	165.0	PpiA	K03767	Chaperones and folding catalysts
P08670	3377898.1	51.7594034057	1574100500.0	65.5083339179	466.0	Vim	K07606	Cytoskeleton proteins
