K18637	AXL2:YIL140W
K08517	SEC22:YLR268W
K01103	FBP26:YJL155C
K14564	Nop56:YLR197W
K11268	ECO1:YFR027W
K08335	ATG14:YBR128C
K14218	tA(AGC)K2:tA_AGC_K2
K02896	RPL24B:YGR148C
K01870	ISM1:YPL040C
K05389	TOK1:YJL093C
K01265	MAP1:YLR244C
K15111	PET8:YNL003C
K11368	SUS1:YBR111W-A
K01689	ERR3:YMR323W
K02219	CKS1:YBR135W
K11132	EST1:YLR233C
K04563	CDC28:YBR160W
K01487	GUD1:YDL238C
K05917	ERG11:YHR007C
K14220	tN(GUU)P:tN_GUU_P
K17773	TOM5:YPR133W-A
K03360	GRR1:YJR090C
K06648	SWI6:YLR182W
K02272	Cox8:YLR395C
K14859	SSF2:YDR312W
K13577	DIC1:YLR348C
K01663	HIS7:YBR248C
K14227	tI(AAU)E1:tI_AAU_E1
K14227	tI(AAU)E2:tI_AAU_E2
K01869	NAM2:YLR382C
K17497	SEC53:YFL045C
K09245	UGA3:YDL170W
K00615	TKL2:YBR117C
K06123	AYR1:YIL124W
K14229	tK(UUU)P:tK_UUU_P
K14850	RRP8:YDR083W
K08967	ADI1:YMR009W
K15177	LEO1:YOR123C
K09548	PFD1:YJL179W
K14814	ALB1:YJL122W
K10743	RNH201:YNL072W
K09184	GAT1:YFL021W
K08139	Hxt9:YJL219W
K11228	STE11:YLR362W
K15463	RIT1:YMR283C
K15364	RMI1:YPL024W
K01410	OCT1:YKL134C
K03146	THI4:YGR144W
K00027	Mae1:YKL029C
sce_YKL052C	Ask1:YKL052C
K00872	THR1:YHR025W
K12772	SPS4:YOR313C
K13336	PEX3:YDR329C
K14802	DRS2:YAL026C
K17780	TIM8:YJR135W-A
K11099	SMX2:YFL017W-A
K02736	PRE4:YFR050C
K11293	HIR1:YBL008W
K03085	SIC1:YLR079W
K02146	VMA6:YLR447C
K14224	tE(UUC)E2:tE_UUC_E2
K01940	ARG1:YOL058W
K12834	RDS3:YPR094W
sce_YDR016C	Dad1:YDR016C
K07390	GRX5:YPL059W
K08139	HXT11:YOL156W
K06683	CDC15:YAR019C
K14782	BFR2:YDR299W
K14236	SUP8:tY_GUA_M2
K14229	tK(UUU)D:tK_UUU_D
K14709	ZRT1:YGL255W
K14236	SUP5:tY_GUA_M1
K09265	SMP1:YBR182C
K10968	MNT2:YGL257C
K00859	CAB5:YDR196C
K14223	tQ(UUG)E2:tQ_UUG_E2
K02210	MCM7:YBR202W
K14223	tQ(UUG)E1:tQ_UUG_E1
K14237	tV(UAC)D:tV_UAC_D
K01372	LAP3:YNL239W
K00587	STE14:YDR410C
K15071	RCY1:YJL204C
K17615	PPG1:YNR032W
K17670	PET494:YNR045W
K14221	tD(GUC)J1:tD_GUC_J1
K14237	tV(AAC)M3:tV_AAC_M3
K14237	tV(AAC)M2:tV_AAC_M2
K03105	SEC65:YML105C
K12606	CAF40:YNL288W
K14774	UTP25:YIL091C
K12619	RAT1:YOR048C
K01876	MSD1:YPL104W
K08869	MCP2:YLR253W
K01764	CYC3:YAL039C
K11882	POC4:YPL144W
K10245	ELO2:YCR034W
