!!SBtab TableType='Proteomaps' Organism='sce' DefaultProteinLength='350' ProteinURL='identifiers.org/sgd/'
!Protein:Identifier	!Abundance:[original]	!Abundance:[ppm]	!SizeWeightedAbundance:[original]	!SizeWeightedAbundance:[ppm]	!Protein:Size	!Protein:Name	!Identifiers:kegg.orthology	!Pathway	!Protein
YAL001C	664.41926	55.398563479462055	232546.74	46.738419301496045		TFC3	K15204	Transcription machinery	Tfc3p
YAL002W	786.56342	65.58281220428917	275297.2	55.33062285082052					
YAL003W	15305.72	1276.1744760663198	3183589.8	639.853970674308	208.0	EFB1	K03232	Translation factors	translation elongation factor 1 subunit beta
YAL005C	7232.1333	603.0074981751453	4643029.6	933.179558974069	642.0	Ssa1	K03283	Chaperones and folding catalysts	Hsp70 family ATPase SSA1
YAL007C	2650.9393	221.03246840142882	927828.76	186.4797142495618		ERP2	K14825	Ribosome biogenesis	Erp2p
YAL008W	1137.6461	94.85570855970136	398176.13	80.02745134069391					
YAL009W	544.92449	45.43521804406827	190723.57	38.332587183712974					
YAL010C	526.59011	43.90651715378014	184306.54	37.04286005698447		MDM10	K17774	Mitochondrial biogenesis	Mdm10p
YAL011W	962.99373	80.29338174472689	601871.08	120.96709204560025	625.0	SWC3	K11682	Chromosome-related	Swc3p
YAL012W	8464.2088	705.736628571275	3334898.3	670.2647178508989	394.0	CYS3	K01758	Amino acid metabolism	cystathionine gamma-lyase CYS3
YAL013W	1349.4977	112.5196671734622	472324.19	94.93010324917687					
YAL014C	1348.9726	112.47588490007797	343988.01	69.13644906854947	255.0	SYN8	K08501	SNARE interactions in vesicular transport	Syn8p
YAL015C	423.20266	35.28618274052922	168857.86	33.93790625933229	399.0	NTG1	K10773	Base excision repair	bifunctional N-glycosylase/AP lyase NTG1
YAL016W	2522.3523	210.31102260508993	1601693.7	321.91649619841854	635.0	TPD3	K03456	mRNA surveillance pathway	protein phosphatase 2A structural subunit TPD3
YAL017W	2460.3316	205.13980332708363	861116.06	173.0714585787452		PSK1	K08286	Other enzymes	Psk1p
YAL018C	139.09879	11.597907543696675	48684.577	9.784872380244808					
YAL019W	576.91369	48.10244314355923	201919.79	40.58286007488228		FUN30	K14439	Chromosome-related	Fun30p
YAL020C	643.97447	53.693898872600315	225391.06	45.30023456397907		ATS1	K15462	Transfer RNA biogenesis	Ats1p
YAL021C	1650.6123	137.62627874684256	1381562.5	277.6734148852103	837.0	CCR4	K12603	RNA degradation	Ccr4p
YAL022C	1003.8909	83.7033438044892	351361.82	70.61847467608783		FUN26	K15014	Alcoholism	Fun26p
YAL023C	5520.2054	460.268790630135	4189835.9	842.0943983074588	759.0	PMT2	K00728	Glycan metabolism	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2
YAL024C	984.64029	82.09824864198086	1412958.8	283.98360196379747	1435.0	LTE1	K06681	Cell cycle	Lte1p
YAL025C	431.80096	36.003099749174424	151130.34	30.374939679213135		MAK16	K14831	Ribosome biogenesis	Mak16p
YAL026C	1137.3131	94.82794337776087	1541059.3	309.7298879866903	1355.0	DRS2	K14802	Ribosome biogenesis	aminophospholipid-translocating P4-type ATPase DRS2
YAL027W	274.84808	22.916537378955972	96196.828	19.334124755040193		SAW1	K15080	DNA repair and recombination proteins	Saw1p
YAL028W	210.63115	17.562198805054347	73720.902	14.816799534409721					
YAL029C	1587.5226	132.3659273982826	555632.91	111.6739109105138		MYO4	K10357	Messenger RNA Biogenesis	myosin 4
YAL030W	1377.5884	114.86183953483011	162555.43	32.67121201989325	118.0	SNC1	K08513	SNARE interactions in vesicular transport	SNAP receptor SNC1
YAL031C	1117.6742	93.19047301256283	391185.97	78.62253364946098					
YAL032C	688.41594	57.39938085534056	265040.14	53.269107083794054	385.0	PRP45	K06063	Spliceosome	Prp45p
YAL033W	1579.636	131.70835117037927	273277.03	54.92459887249985	173.0	POP5	K03537	Ribosome biogenesis in eukaryotes	Pop5p
YAL034C	1107.7456	92.36263702032777	387710.96	77.92410857389599					
YAL034W-A	391.15149	32.613790649071746	113042.78	22.719909342297257	289.0	MTW1	K11559	Chromosome-related	Mtw1p
YAL035W	6320.4076	526.988789645674	6345689.2	1275.388692125183	1004.0	FUN12	K03243	RNA transport	translation initiation factor eIF5B
YAL036C	1450.5869	120.94837597291517	507705.41	102.04119969266378					
YAL037C-A	94.263363	7.859577849900189	32992.177	6.630934505016816					
YAL037W	197.83844	16.495556400664462	69243.454	13.916899402399078					
YAL038W	16014.797	1335.2965538885771	8007398.5	1609.3674269833691	500.0	Pyk1	K00873	Glycolysis	pyruvate kinase CDC19
YAL039C	2109.7671	175.91011226289643	567527.35	114.06451558670271	269.0	CYC3	K01764	Cofactor biosynthesis	holocytochrome c synthase CYC3
YAL040C	2607.4588	217.4071110640019	1512326.1	303.954944207759	580.0	CLN3	K06646	Cell cycle	Cln3p
YAL041W	1170.7336	97.61450873224105	999806.49	200.94616226388302	854.0	CDC24	K11236	MAPK signaling pathway	Cdc24p
YAL042W	2394.7113	199.66845327156096	838148.95	168.45541271491763					
YAL043C	1311.4538	109.34760769831045	459008.83	92.25391488880523		Pta1	K06100	mRNA surveillance pathway	Pta1p
YAL044C	7619.4198	635.2990301138623	2666796.9	535.986321305256		Gcv3		Amino acid metabolism	glycine decarboxylase subunit H
YAL044W-A	2742.3845	228.65707085062948	959834.58	192.91240573880052					
YAL046C	2341.3213	195.21685247936165	819462.46	164.69970749671845					
YAL047C	261.32724	21.78918427809064	91464.534	18.383004385733127		Spc72		Cytoskeleton proteins	
YAL048C	584.47168	48.73262022300172	204565.09	41.11452584056124		GEM1	K07870	Mitochondrial biogenesis	ERMES complex Ca(2+)-binding regulatory GTPase GEM1
YAL049C	3529.775	294.30884409599776	1235421.2	248.30119768420494					
YAL051W	965.26472	80.48273444903624	337842.65	67.90132355168072					
YAL053W	2060.5792	171.80887805037312	721202.72	144.95096826014182					
YAL054C	6065.7175	505.7530029641734	4324856.6	869.231541107145	713.0	ACS1	K01895	Glycolysis	acetate--CoA ligase 1
YAL055W	770.73424	64.2629921962752	269756.98	54.217121430062974					
YAL056W	1359.7573	113.37510158978824	475915.05	95.65181244334991					
YAL058W	456.90753	38.09645855983948	229367.58	46.09945565441785	502.0	CNE1	K08054	Protein processing in endoplasmic reticulum	Cne1p
YAL059W	765.24245	63.8050926511433	267834.86	53.83080403637347					
YAL060W	1578.4223	131.6071541694148	602957.32	121.18541005161512	382.0	BDH1	K00004	Butanoate metabolism	(R,R)-butanediol dehydrogenase
