!!SBtab TableType='Proteomaps' Organism='sce' DefaultProteinLength='350' ProteinURL='identifiers.org/sgd/'
!Protein:Identifier	!Abundance:[original]	!Abundance:[ppm]	!SizeWeightedAbundance:[original]	!SizeWeightedAbundance:[ppm]	!Protein:Size	!Protein:Name	!Identifiers:kegg.orthology	!Pathway	!Protein
YAL001C	927.6217	69.08870394864879	324667.6	58.14758478946445		TFC3	K15204	Transcription machinery	Tfc3p
YAL002W	972.74055	72.44912864564918	340459.19	60.975839960246695					
YAL003W	13147.967	979.2526410169188	2734777.1	489.79535778296236	208.0	EFB1	K03232	Translation factors	translation elongation factor 1 subunit beta
YAL005C	8338.3333	621.0340279759083	5353210.0	958.7536063678945	642.0	Ssa1	K03283	Chaperones and folding catalysts	Hsp70 family ATPase SSA1
YAL007C	2823.7583	210.31181268316575	988315.41	177.00612596301363		ERP2	K14825	Ribosome biogenesis	Erp2p
YAL008W	1641.6717	122.27071667488477	574585.1	102.90751470430962					
YAL009W	756.07258	56.31182910372954	264625.4	47.394097482920834					
YAL010C	666.17851	49.61657306458221	233162.48	41.759125565722634		MDM10	K17774	Mitochondrial biogenesis	Mdm10p
YAL011W	1013.6803	75.49829649875319	633550.19	113.46809287839721	625.0	SWC3	K11682	Chromosome-related	Swc3p
YAL012W	1144.5789	85.24754516627854	450964.09	80.76713740539148	394.0	CYS3	K01758	Amino acid metabolism	cystathionine gamma-lyase CYS3
YAL013W	1621.7953	120.7903344078842	567628.35	101.66156897247772					
YAL014C	1871.2451	139.36920484854946	477167.5	85.46013727586855	255.0	SYN8	K08501	SNARE interactions in vesicular transport	Syn8p
YAL015C	580.99109	43.271865474700256	231815.44	41.51787228817107	399.0	NTG1	K10773	Base excision repair	bifunctional N-glycosylase/AP lyase NTG1
YAL016W	4231.8151	315.18303270538144	2687202.6	481.2748208628435	635.0	TPD3	K03456	mRNA surveillance pathway	protein phosphatase 2A structural subunit TPD3
YAL017W	3087.3795	229.94616043655222	1080582.8	193.53110684600776		PSK1	K08286	Other enzymes	Psk1p
YAL018C	122.70555	9.139035251984856	42946.942	7.691746732329349					
YAL019W	499.41366	37.196027759647215	174794.78	31.30553923707135		FUN30	K14439	Chromosome-related	Fun30p
YAL020C	847.05058	63.08781559460203	296467.7	53.0970159113121		ATS1	K15462	Transfer RNA biogenesis	Ats1p
YAL021C	1671.4156	124.4860243820872	1398974.9	250.55475697631226	837.0	CCR4	K12603	RNA degradation	Ccr4p
YAL022C	1060.8964	79.01492310905113	371313.74	66.50185352694004		FUN26	K15014	Alcoholism	Fun26p
YAL023C	5868.6002	437.0897983636875	4454267.6	797.754081238671	759.0	PMT2	K00728	Glycan metabolism	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2
YAL024C	906.32245	67.50234867302483	1300572.7	232.93103884746344	1435.0	LTE1	K06681	Cell cycle	Lte1p
YAL025C	251.79552	18.753578249491223	88128.432	15.783698379766113		MAK16	K14831	Ribosome biogenesis	Mak16p
YAL026C	1074.4679	80.02572023210148	1455904.0	260.75069173924487	1355.0	DRS2	K14802	Ribosome biogenesis	aminophospholipid-translocating P4-type ATPase DRS2
YAL027W	448.47183	33.401911029225325	156965.14	28.11227171156025		SAW1	K15080	DNA repair and recombination proteins	Saw1p
YAL028W	599.95349	44.68417357374091	209983.72	37.60783694802673					
YAL029C	1833.6578	136.56972544662403	641780.23	114.94208334963821		MYO4	K10357	Messenger RNA Biogenesis	myosin 4
YAL030W	2006.6589	149.45474288497263	236785.75	42.4080489554915	118.0	SNC1	K08513	SNARE interactions in vesicular transport	SNAP receptor SNC1
YAL031C	1589.0549	118.3518491905156	556169.22	99.60925228523053					
YAL032C	903.97116	67.32722601396304	348028.9	62.33156610617766	385.0	PRP45	K06063	Spliceosome	Prp45p
YAL033W	1994.997	148.58617161655712	345134.48	61.81317889302081	173.0	POP5	K03537	Ribosome biogenesis in eukaryotes	Pop5p
YAL034C	2590.9006	192.96871182916107	906815.21	162.4095361281847					
YAL034W-A	588.11613	43.802534150500186	169965.56	30.440631622585094	289.0	MTW1	K11559	Chromosome-related	Mtw1p
YAL035W	3980.0016	296.4281153163498	3995921.6	715.664852446171	1004.0	FUN12	K03243	RNA transport	translation initiation factor eIF5B
YAL036C	1274.9031	94.95401286873148	446216.09	79.91677619725006					
YAL037C-A	84.76564	6.313293670229729	29667.974	5.3134992025586385					
YAL037W	214.22645	15.955456606955197	74979.258	13.42869680253321					
YAL038W	17065.794	1271.0500296776443	8532897.0	1528.231803257445	500.0	Pyk1	K00873	Glycolysis	pyruvate kinase CDC19
YAL039C	3025.8616	225.3643444002924	813956.77	145.77869888628746	269.0	CYC3	K01764	Cofactor biosynthesis	holocytochrome c synthase CYC3
YAL040C	3632.6939	270.5608475881519	2106962.5	377.35450231859295	580.0	CLN3	K06646	Cell cycle	Cln3p
YAL041W	1144.0887	85.2110353663508	977051.75	174.98881772255572	854.0	CDC24	K11236	MAPK signaling pathway	Cdc24p
YAL042W	2619.5953	195.10587575406203	916858.35	164.20825067408475					
YAL043C	1590.3576	118.44887349970747	556625.16	99.69091060225665		Pta1	K06100	mRNA surveillance pathway	Pta1p
YAL044C	5893.6502	438.9555072339238	2062777.6	369.44103876644294		Gcv3		Amino acid metabolism	glycine decarboxylase subunit H
YAL044W-A	2669.5887	198.82935399091912	934356.04	167.3420663455431					
YAL046C	2446.3904	182.20567941480508	856236.64	153.35097380904702					
YAL047C	397.98428	29.64162879882623	139294.5	24.9474808987902		Spc72		Cytoskeleton proteins	
YAL048C	832.34297	61.992401684942315	291320.04	52.17507606786195		GEM1	K07870	Mitochondrial biogenesis	ERMES complex Ca(2+)-binding regulatory GTPase GEM1
YAL049C	4835.2306	360.12505469292864	1692330.7	303.0944352626001					
YAL051W	1147.899	85.49482420899596	401764.65	71.95557564501205					
YAL053W	2189.3598	163.06219556881098	766275.93	137.23911659740833					
YAL054C	7074.7868	526.9258478159883	5044323.0	903.4323084531555	713.0	ACS1	K01895	Glycolysis	acetate--CoA ligase 1
YAL055W	1064.5169	79.28457576233218	372580.92	66.72880397254507					
YAL056W	1555.807	115.87556567966814	544532.45	97.52512048319515					
YAL058W	522.60974	38.92365778801888	262350.09	46.98659214162002	502.0	CNE1	K08054	Protein processing in endoplasmic reticulum	Cne1p
YAL059W	443.87316	33.059404865141914	155355.61	27.824006784150843					
YAL060W	2434.7453	181.33835940024264	930072.7	166.57492519615798	382.0	BDH1	K00004	Butanoate metabolism	(R,R)-butanediol dehydrogenase
YAL061W	1292.901	96.29448559031334	539139.72	96.55928889137112	417.0	BDH2	K00004	Butanoate metabolism	putative dehydrogenase BDH2
YAL062W	7421.5864	552.7552725630698	3391665.0	607.4432070368555	457.0	GDH3	K00262	Amino acid metabolism	glutamate dehydrogenase (NADP(+)) GDH3
YAL063C-A	182.70033	13.607410230582614	63945.115	11.45249478646639					
YAL064C-A	129.31909	9.631607716721877	45261.681	8.106313761093476					
YAL064W	136.22522	10.145972107939636	47678.827	8.539221762949882					
YAL064W-B	252.74169	18.824048419621022	88459.591	15.843008566650466					
YAL065C	247.35805	18.423078164045823	86575.317	15.50553731241511					
YAL067C	447.39201	33.321486687817796	156587.2	28.04458310267125					
YAL067W-A	90.589005	6.74701437821869	31706.152	5.67853448193675					
YAR002C-A	4743.7112	353.3087450570523	1660298.9	297.3575776073885					
YAR002W	1177.8249	87.72368716627355	412238.72	73.83146924639323		NUP60	K18718	Messenger RNA Biogenesis	Nup60p
YAR003W	793.62765	59.108908034721324	277769.68	49.748222550517546		SWD1	K14961	Chromosome-related	Swd1p
YAR007C	1859.5543	138.49848112558905	1154783.2	206.82031109802483	621.0	RFA1	K07466	DNA replication	Rfa1p
YAR008W	474.93892	35.37316390676392	130608.2	23.391774798899956	275.0	SEN34	K15323	Transfer RNA biogenesis	Sen34p
YAR014C	1367.8698	101.8781165344638	478754.43	85.74435456989464					
YAR015W	6926.9991	515.9187091811851	2119661.7	379.62891408237346	306.0	ADE1	K01923	Purine metabolism	phosphoribosylaminoimidazolesuccinocarboxamide synthase
