Systematic name	Abundance (data value)	Abundance [ppm]	Size-weighted abundance	Size-weighted abundance [ppm]	Size	Gene name	KO number	KO category
b1677	4548449.0	30646.2427511	1591957200.0	31333.07175	350			
b3980	4154288.0	27990.490496	1636789500.0	32215.46587	394.0	TufB	K02358	Translation factors
b3339	3461722.0	23324.1645116	1211602700.0	23846.8938308	350	TufA	K02358	Translation factors
b0957	3283264.0	22121.7618489	1149142400.0	22617.5435308	350	OmpA		Transport
b2215	2946101.0	19850.0469974	1107734000.0	21802.5389765	376.0	OmpC	K09475	Transport
b0911	2176358.0	14663.7228605	1212231400.0	23859.2679714	557.0	RpsA	K02945	Ribosome
b3986	1959455.0	13202.2879865	237094060.0	4666.51062822	121.0	RplL	K02935	Ribosome
b0114	1915113.0	12903.5233535	1698705200.0	33434.0972946	887.0	AceE	K00163	Glycolysis
b3340	1829665.0	12327.7973971	1288084200.0	25352.2108877	704.0	FusA	K02355	Translation factors
b0929	1687886.0	11372.5281062	632957250.0	12457.9322415	375.0	OmpF	K09476	Transport
b3317	1495262.0	10074.6786934	408206530.0	8034.36455032	273.0	RplB	K02886	Ribosome
b3296	1382262.0	9313.31467003	284745970.0	5604.40061362	206.0	RpsD	K02986	Ribosome
b3984	1349786.0	9094.49999725	315849920.0	6216.59188173	234.0	RplA	K02863	Ribosome
b0115	1287402.0	8674.17315446	811063260.0	15963.4337653	630.0	AceF	K00627	Glycolysis
b3320	1241483.0	8364.78311384	259469950.0	5106.91528661	209.0	RplC	K02906	Ribosome
b1094	1246446.0	8398.22249125	436256100.0	8586.43918484	350	AcpP	K02078	Lipid and steroid metabolism
b3314	1087200.0	7325.26518797	253317600.0	4985.82407638	233.0	RpsC	K02982	Ribosome
b4143	1064068.0	7169.40790842	583109260.0	11476.8187748	548.0	GroL	K04077	Chaperones and folding catalysts
b3305	1058427.0	7131.40034687	187341580.0	3687.27699959	177.0	RplF	K02933	Ribosome
b0169	1127867.0	7599.26864585	271815950.0	5349.91057809	241.0	RpsB	K02967	Ribosome
b0170	1111858.0	7491.40425071	314655810.0	6193.08928109	283.0	Tsf	K02357	Translation factors
b3230	1120500.0	7549.63175416	145665000.0	2866.99409787	130.0	RpsI	K02996	Ribosome
b3341	1014599.0	6836.09890954	158277440.0	3115.2334899	156.0	RpsG	K02992	Ribosome
b0436	1012961.0	6825.06250007	354536350.0	6978.02233159	350	Tig	K03545	Chaperones and folding catalysts
b3319	963630.0	6492.68330858	193689630.0	3812.21999814	201.0	RplD	K02926	Ribosome
b3983	1003140.0	6758.89120738	142445880.0	2803.63503399	142.0	RplK	K02867	Ribosome
b4200	1010555.0	6808.85151033	132382700.0	2605.57044973	131.0	RpsF	K02990	Ribosome
b1779	989777.0	6668.85485831	327616190.0	6448.17686539	331.0	GapA	K00134	Glycolysis
b0014	902299.0	6079.45130045	575666760.0	11330.3346944	638.0	DnaK	K04043	Chaperones and folding catalysts
b3303	863567.0	5818.48535926	144215690.0	2838.46862356	167.0	RpsE	K02988	Ribosome
b2606	909069.0	6125.0657645	104542940.0	2057.62531805	115.0	RplS	K02884	Ribosome
b4203	861763.0	5806.33048582	128402690.0	2527.23546755	149.0	RplI	K02939	Ribosome
b3308	822887.0	5544.39431083	147296770.0	2899.1107694	179.0	RplE	K02931	Ribosome
b3310	853768.0	5752.46229673	105013460.0	2066.88614298	123.0	RplN	K02874	Ribosome
b3342	812337.0	5473.31120953	100729790.0	1982.57449222	124.0	RpsL	K02950	Ribosome
b3988	771142.0	5195.75022773	1084996800.0	21355.0229761	1407.0	RpoC	K03046	RNA polymerase
b0814	879677.0	5927.0302656	307886950.0	6059.86385516	350			
b2779	804278.0	5419.01180542	347448100.0	6838.51063753	432.0	Eno	K01689	Glycolysis
b3186	809710.0	5455.61118042	83400130.0	1641.490272	103.0	RplU	K02888	Ribosome
b3313	760395.0	5123.33979269	103413720.0	2035.39988933	136.0	RplP	K02878	Ribosome
b3297	784405.0	5285.11280332	101188240.0	1991.59775412	129.0	RpsK	K02948	Ribosome
b3985	786576.0	5299.7404254	129785040.0	2554.44302799	165.0	RplJ	K02864	Ribosome
b3301	742770.0	5004.58721824	106958880.0	2105.17610733	144.0	RplO	K02876	Ribosome
b0116	752884.0	5072.7326672	356867020.0	7023.89482761	474.0	Lpd	K00382	Glycolysis
b3298	727683.0	4902.93501451	85866594.0	1690.03548005	118.0	RpsM	K02952	Ribosome
b3185	730735.0	4923.49858088	62112475.0	1222.50437119	85.0	RpmA	K02899	Ribosome
b3231	712596.0	4801.28281079	101188630.0	1991.60543014	142.0	RplM	K02871	Ribosome
b3987	655362.0	4415.6553018	879495800.0	17310.3303312	1342.0	RpoB	K03043	RNA polymerase
b3637	706378.0	4759.3875763	55097484.0	1084.4345686	78.0	RpmB	K02902	Ribosome
b3306	637908.0	4298.05487999	82928040.0	1632.19854617	130.0	RpsH	K02994	Ribosome
b3294	627918.0	4230.74491014	79745586.0	1569.56114642	127.0	RplQ	K02879	Ribosome
b3295	629581.0	4241.94976298	207132150.0	4076.79711344	329.0	RpoA	K03040	RNA polymerase
b0623	702448.0	4732.90827885	48468912.0	953.970306073	69.0	CspE	K03704	Chaperones and folding catalysts
b1717	652723.0	4397.87441988	42426995.0	835.052649953	65.0	RpmI	K02916	Ribosome
b3315	596234.0	4017.26652326	65585740.0	1290.86554412	110.0	RplV	K02890	Ribosome
b2609	627006.0	4224.60009607	51414492.0	1011.94552644	82.0	RpsP	K02959	Ribosome
b3304	583692.0	3932.7618544	68291964.0	1344.12973412	117.0	RplR	K02881	Ribosome
b3732	583086.0	3928.67878716	268219560.0	5279.12604574	460.0	AtpD	K02112	Oxidative phosphorylation
b3734	567304.0	3822.3438578	291026950.0	5728.02353325	513.0	AtpA	K02111	Oxidative phosphorylation
b0565	578136.0	3895.32700029	183269110.0	3607.12220981	317.0	OmpT	K01355	Peptidases
b2029	587459.0	3958.14290109	274930810.0	5411.21758551	468.0	Gnd	K00033	Pentose phosphate metabolism
b0605	553608.0	3730.06384307	103524700.0	2037.58420955	187.0	AhpC	K03386	Other enzymes
b0023	528726.0	3562.41552776	45999162.0	905.36042262	87.0	RpsT	K02968	Ribosome
b3318	518907.0	3496.25771054	51890700.0	1021.31830319	100.0	RplW	K02892	Ribosome
b1716	500849.0	3374.58769696	59100182.0	1163.21609842	118.0	RplT	K02887	Ribosome
b2296	509945.0	3435.87413197	203978000.0	4014.71679604	400.0	AckA	K00925	Other central metabolism enzymes
b1136	526100.0	3544.72223638	218857600.0	4307.57867349	416.0	Icd	K00031	TCA cycle and anaplerotic enzymes
b3307	457228.0	3080.68097072	46180028.0	908.920246562	101.0	RpsN	K02954	Ribosome
b0741	498865.0	3361.22003127	174602750.0	3436.54998608	350			
b3309	466028.0	3139.97303626	48466912.0	953.93094186	104.0	RplX	K02895	Ribosome
b3321	453280.0	3054.08039404	46687840.0	918.915056618	103.0	RpsJ	K02946	Ribosome
b2508	472392.0	3182.85198002	230527300.0	4537.26295608	488.0	GuaB	K00088	Purine metabolism
b1089	475112.0	3201.17861846	27081384.0	533.018694197	57.0	RpmF	K02911	Ribosome
b3316	444165.0	2992.66594207	40863180.0	804.273475991	92.0	RpsS	K02965	Ribosome
b3165	455175.0	3066.84840134	40510575.0	797.333466696	89.0	RpsO	K02956	Ribosome
b3311	424190.0	2858.07969103	35631960.0	701.312044867	84.0	RpsQ	K02961	Ribosome
b2507	431918.0	2910.14890495	226756950.0	4463.05452443	525.0	GuaA	K01951	Peptidases
b1237	417076.0	2810.14744623	57139412.0	1124.62401373	137.0	Hns	K03746	Chromosome-related
b1288	449050.0	3025.57977618	117651100.0	2315.6215241	262.0	FabI	K00208	Lipid and steroid metabolism
b3168	403894.0	2721.33062714	359465660.0	7075.04153782	890.0	InfB	K02519	Translation factors
