!!SBtab TableType='Proteomaps' Organism='sce' DefaultProteinLength='350' ProteinURL='identifiers.org/sgd/'
!Protein:Identifier	!Abundance:[original]	!Abundance:[ppm]	!SizeWeightedAbundance:[original]	!SizeWeightedAbundance:[ppm]	!Protein:Size	!Protein:Name	!Identifiers:kegg.orthology	!Pathway	!Protein
YAL001C	936.68756	64.10060586590069	327840.65	53.69419675187606		TFC3	K15204	Transcription machinery	Tfc3p
YAL002W	1064.6886	72.86013739577965	372641.01	61.03166190268905					
YAL003W	14515.707	993.357500415502	3019267.1	494.49975686012783	208.0	EFB1	K03232	Translation factors	translation elongation factor 1 subunit beta
YAL005C	9726.9883	665.6497533505487	6244726.5	1022.7699748419068	642.0	Ssa1	K03283	Chaperones and folding catalysts	Hsp70 family ATPase SSA1
YAL007C	3134.3459	214.49358330679843	1097021.1	179.67163859746958		ERP2	K14825	Ribosome biogenesis	Erp2p
YAL008W	1884.3627	128.95312791503758	659526.94	108.01823776131104					
YAL009W	708.72682	48.50050379169458	248054.39	40.626692333078886					
YAL010C	706.48168	48.34686148832741	247268.59	40.49799291826372		MDM10	K17774	Mitochondrial biogenesis	Mdm10p
YAL011W	1250.3217	85.56362005841406	781451.06	127.98713938494846	625.0	SWC3	K11682	Chromosome-related	Swc3p
YAL012W	2795.8162	191.3268841850533	1101551.6	180.41365017652288	394.0	CYS3	K01758	Amino acid metabolism	cystathionine gamma-lyase CYS3
YAL013W	1818.0834	124.41741775105528	636329.19	104.21887806415076					
YAL014C	2118.3272	144.96408700273224	540173.44	88.47035584970233	255.0	SYN8	K08501	SNARE interactions in vesicular transport	Syn8p
YAL015C	610.80707	41.79953372517898	243712.02	39.91549294657985	399.0	NTG1	K10773	Base excision repair	bifunctional N-glycosylase/AP lyase NTG1
YAL016W	4007.7418	274.2629330254961	2544916.0	416.8098752274845	635.0	TPD3	K03456	mRNA surveillance pathway	protein phosphatase 2A structural subunit TPD3
YAL017W	2843.2662	194.57404351354592	995143.17	162.98592979932675		PSK1	K08286	Other enzymes	Psk1p
YAL018C	142.45466	9.74864021298723	49859.131	8.165997687570359					
YAL019W	660.58491	45.20599478963025	231204.72	37.86702999046157		FUN30	K14439	Chromosome-related	Fun30p
YAL020C	1010.3258	69.13991246125956	353614.03	57.915396705819745		ATS1	K15462	Transfer RNA biogenesis	Ats1p
YAL021C	1910.3055	130.72847891666495	1598925.7	261.8742707087457	837.0	CCR4	K12603	RNA degradation	Ccr4p
YAL022C	1293.6668	88.52986759918213	452783.38	74.15749051162345		FUN26	K15014	Alcoholism	Fun26p
YAL023C	6138.5124	420.0785627550601	4659130.9	763.0789264154564	759.0	PMT2	K00728	Glycan metabolism	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2
YAL024C	1124.6002	76.96008493687381	1613801.3	264.31061712644043	1435.0	LTE1	K06681	Cell cycle	Lte1p
YAL025C	460.48691	31.512631516443413	161170.42	26.396715117733265		MAK16	K14831	Ribosome biogenesis	Mak16p
YAL026C	1354.5697	92.69765305476176	1835441.9	300.61122226678486	1355.0	DRS2	K14802	Ribosome biogenesis	aminophospholipid-translocating P4-type ATPase DRS2
YAL027W	423.48253	28.980300268559628	148218.89	24.27549555555321		SAW1	K15080	DNA repair and recombination proteins	Saw1p
YAL028W	433.44175	29.66184239980326	151704.61	24.846391615886024					
YAL029C	1780.4414	121.84145207259124	623154.49	102.0611074095753		MYO4	K10357	Messenger RNA Biogenesis	myosin 4
YAL030W	1841.3474	126.00944967135143	217278.99	35.58625459993723	118.0	SNC1	K08513	SNARE interactions in vesicular transport	SNAP receptor SNC1
YAL031C	1469.8131	100.584137382627	514434.59	84.25481126709178					
YAL032C	871.63243	59.64866967526212	335578.49	54.961510928426584	385.0	PRP45	K06063	Spliceosome	Prp45p
YAL033W	1763.2874	120.66754751788181	305048.72	49.961302817658364	173.0	POP5	K03537	Ribosome biogenesis in eukaryotes	Pop5p
YAL034C	2616.9967	179.08967854666793	915948.85	150.01537413543628					
YAL034W-A	643.3445	44.026176914845486	185926.56	30.451310092386315	289.0	MTW1	K11559	Chromosome-related	Mtw1p
YAL035W	5543.5938	379.3663292106182	5565768.2	911.5692419659828	1004.0	FUN12	K03243	RNA transport	translation initiation factor eIF5B
YAL036C	1701.5536	116.44290084657943	595543.76	97.5389837220981					
YAL037C-A	91.530687	6.263745503380145	32035.74	5.246857967893689					
YAL037W	222.7004	15.240119732751046	77945.14	12.76596322943029					
YAL038W	17675.548	1209.5957971426558	8837774.0	1447.4628939535555	500.0	Pyk1	K00873	Glycolysis	pyruvate kinase CDC19
YAL039C	3142.6446	215.06149060120018	845371.4	138.45610140172954	269.0	CYC3	K01764	Cofactor biosynthesis	holocytochrome c synthase CYC3
YAL040C	4622.4221	316.3275245994822	2681004.8	439.0986878043468	580.0	CLN3	K06646	Cell cycle	Cln3p
YAL041W	1196.716	81.89520596325332	1021995.5	167.38384168202433	854.0	CDC24	K11236	MAPK signaling pathway	Cdc24p
YAL042W	2980.0119	203.93200084518455	1043004.2	170.82467573143566					
YAL043C	1744.6316	119.39086985717596	610621.06	100.00836484578443		Pta1	K06100	mRNA surveillance pathway	Pta1p
YAL044C	7755.1683	530.711635181775	2714308.9	444.5532795337256		Gcv3		Amino acid metabolism	glycine decarboxylase subunit H
YAL044W-A	2960.2621	202.5804571717206	1036091.7	169.69253688578812					
YAL046C	2774.7638	189.88619931577705	971167.33	159.059133441854					
YAL047C	390.14816	26.699119857496942	136551.86	22.3646531864631		Spc72		Cytoskeleton proteins	
YAL048C	866.05936	59.26728619288399	303120.78	49.645542128171535		GEM1	K07870	Mitochondrial biogenesis	ERMES complex Ca(2+)-binding regulatory GTPase GEM1
YAL049C	5231.9384	358.03872669459923	1831178.4	299.9129403183699					
YAL051W	1202.6525	82.3014601540562	420928.38	68.94023439182558					
YAL053W	2703.0429	184.97810259327156	946065.02	154.94784226406202					
YAL054C	9443.7818	646.2690024893318	6733416.4	1102.8082850430812	713.0	ACS1	K01895	Glycolysis	acetate--CoA ligase 1
YAL055W	1170.8676	80.12631506364092	409803.66	67.11821230734786					
YAL056W	1677.9461	114.8273620932098	587281.14	96.1857203486696					
YAL058W	551.15946	37.717651886742956	276682.05	45.315370227616405	502.0	CNE1	K08054	Protein processing in endoplasmic reticulum	Cne1p
YAL059W	666.38469	45.60289278183689	233234.64	38.199493105912836					
YAL060W	2517.1064	172.25385727225432	961534.64	157.4814781019508	382.0	BDH1	K00004	Butanoate metabolism	(R,R)-butanediol dehydrogenase
YAL061W	1136.5252	77.77615184925051	473931.01	77.62107870929167	417.0	BDH2	K00004	Butanoate metabolism	putative dehydrogenase BDH2
YAL062W	7292.5246	499.0514074426109	3332683.7	545.8315626801323	457.0	GDH3	K00262	Amino acid metabolism	glutamate dehydrogenase (NADP(+)) GDH3
YAL063C-A	180.70561	12.366278339777633	63246.964	10.358675560748255					
YAL064C-A	142.17463	9.729476840452818	49761.121	8.149945473716917					
YAL064W	146.162	10.002345664302167	51156.7	8.378515339622155					
YAL064W-B	309.16563	21.157219378372957	108207.97	17.722451536443398					
YAL065C	260.19506	17.806002451142174	91068.271	14.915287841599781					
YAL067C	819.46384	56.07860173695218	286812.34	46.97452318626739					
YAL067W-A	103.19638	7.062067186167943	36118.733	5.915576229276262					
YAR002C-A	4670.0232	319.5850241971958	1634508.1	267.70200557476664					
YAR002W	1443.4687	98.78130357412245	505214.04	82.74465678850436		NUP60	K18718	Messenger RNA Biogenesis	Nup60p
YAR003W	874.06446	59.81510147508665	305922.56	50.104421545887035		SWD1	K14961	Chromosome-related	Swd1p
YAR007C	2376.0159	162.59857100804595	1475505.9	241.660404538467	621.0	RFA1	K07466	DNA replication	Rfa1p
YAR008W	686.66996	46.99108042591469	188834.24	30.92753395910783	275.0	SEN34	K15323	Transfer RNA biogenesis	Sen34p
YAR014C	1631.203	111.6285782532169	570921.05	93.50624209806706					
YAR015W	8115.1967	555.349560947471	2483250.2	406.71016490156296	306.0	ADE1	K01923	Purine metabolism	phosphoribosylaminoimidazolesuccinocarboxamide synthase
YAR018C	1351.2517	92.47059141826146	1081001.4	177.04790989358236	800.0	KIN3	K08857	Chromosome-related	Kin3p
