SPBC106.09	cut4	K03348	anaphase-promoting complex subunit Apc1
SPAC110.04c	pss1	K09485	heat shock protein Pss1
SPBC106.01	mph1	K08866	dual specificity protein kinase Mph1 
SPAC607.03c	snu13	K12845	U3 snoRNP-associated protein Snu13
SPBC106.06	cct4	K09496	chaperonin-containing T-complex delta subunit Cct4
SPAC22F3.11c	snu23	K12848	U4/U6 X U5 tri-snRNP complex subunit Snu23 (predicted)
SPAPJ698.02c	rps002	K02998	40S ribosomal protein S0B
SPBC19F5.05c	ppp1	K14843	pescadillo-family BRCT domain protein (predicted)
SPBC1709.15c	cft2	K14402	cleavage factor two Cft2/polyadenylation factor CPSF-73 (predicted)
SPAC17H9.10c	ddb1	K10610	damaged DNA binding protein Ddb1
SPBC1289.02c	uap2	K13093	U2 snRNP-associated protein Uap2
SPBC17D1.02	dph2	K17866	diphthamide biosynthesis protein (predicted)
SPCC622.12c	gdh1	K00262	NADP-specific glutamate dehydrogenase Gdh1 (predicted) 
SPAPB24D3.04c	mag1	K01247	DNA-3-methyladenine glycosylase Mag1 
SPCC594.05c	spf1	K14960	Set1C PHD Finger protein Spf1
SPBC14C8.17c	spt8	K11360	SAGA complex subunit Spt8
SPAC17G6.10	ssr1	K11649	SWI/SNF and RSC complex subunit Ssr1
SPAC17G6.12	cul1	K03347	cullin 1
SPAC31A2.13c	sft1	K08505	SNARE Sft1 (predicted)
SPAC1002.08c	mtf1	K15267	mitochondrial RNA polymerase specificity factor Mtf1
SPBC106.04	ada1	K01490	adenosine deaminase Ada1 (predicted) 
SPBC17A3.09c	aim22	K03800	lipoate-protein ligase A (predicted) 
SPCC576.15c	ksg1	K06276	serine/threonine protein kinase Ksg1
SPCC188.08c	ubp5	K11838	ubiquitin C-terminal hydrolase Ubp5
SPAC19G12.15c	tpp1	K16055	trehalose-6-phosphate phosphatase Tpp1 
SPAC17C9.08	pnu1	K01173	mitochondrial endodeoxyribonuclease Pnu1 
SPAC4C5.02c	ryh1	K07893	GTPase Ryh1
SPAC17C9.03	tif471	K03260	translation initiation factor eIF4G
SPAC3H8.03	img2	K17430	mitochondrial ribosomal protein subunit Img2 (predicted)
SPAC17C9.06	sam50	K07277	mitochondrial sorting and assembly machinery complex subunit Sam50 (predicted)
SPAC17C9.07	alg8	K03849	glucosyltransferase Alg8 (predicted)
SPBC9B6.04c	tuf1	K02358	mitochondrial translation elongation factor EF-Tu Tuf1
SPAC20G4.07c	sts1	K00223	C-24(28) sterol reductase Sts1 
SPAC9.09	met26	K00549	homocysteine methyltransferase Met26 
SPCC16C4.13c	rpl1201	K02870	60S ribosomal protein L12
SPAC1687.20c	mis6	K11501	centromere connector protein mis6
SPAC9.05	fml1	K14635	ATP-dependent 3' to 5' DNA helicase
SPAC4H3.10c	pyk1	K00873	pyruvate kinase (predicted) 
SPAC869.11	cat1	K16261	cationic amino acid transporter Cat1
SPAC6F6.05	ost2	K12668	oligosaccharyltransferase epsilon subunit Ost2 (predicted) 
SPAC3A12.10	rpl2001	K02882	60S ribosomal protein L20
SPAC6F6.09	eaf6	K11344	NuA4 histone acetyltransferase complex subunit Eaf6 (predicted)
SPBC409.03	swi5	K10991	Swi5 protein
SPAPB24D3.10c	agl1	K01187	alpha-glucosidase Agl1 
SPBC409.06	uch2	K05610	ubiquitin C-terminal hydrolase Uch2
SPBC409.05	skp1	K03094	SCF ubiquitin ligase complex subunit Skp1
SPBC2F12.04	rpl1701	K02880	60S ribosomal protein L17
SPAC343.01c	erg8	K00938	phosphomevalonate kinase (predicted) 
SPBC1539.10	nop16	K14839	ribosome biogenesis protein Nop16 (predicted)
SPBC12D12.03	cct1	K09493	chaperonin-containing T-complex alpha subunit Cct1
SPBC12D12.06	srb11	K15161	cyclin CycC, Srb mediator subunit Srb11
SPBP8B7.24c	atg8	K08341	autophagy associated protein Atg8
SPBC12D12.09	rev7	K13728	DNA polymerase zeta Rev7 (predicted)
SPBC14F5.07	doa10	K10661	ER-localized ubiquitin ligase Doa10 (predicted)
SPBC17D1.06	dbp3	K14811	ATP-dependent RNA helicase Dbp3 (predicted)
SPAC1142.06	get3	K01551	GET complex ATPase subunit Get3 (predicted)
SPCC1450.04	tef5	K03232	translation elongation factor EF-1 beta subunit (eEF1B)
SPBC119.11c	pac1	K03685	double-strand-specific ribonuclease Pac1 
SPCC1450.02	bdf1	K11684	Swr1 complex bromodomain subunit Brf1
SPCC63.08c	atg1	K08269	autophagy and CVT pathway serine/threonine protein kinase Atg1
SPBC18H10.04c	sce3	K03258	translation initiation factor (predicted)
SPCC794.09c	ef1a-a	K03231	translation elongation factor EF-1 alpha Ef1a-a
SPAC23A1.12c	frs1	K01890	phenylalanine-tRNA ligase beta subunit Frs1 (predicted) 
SPCC191.11	inv1	K01193	beta-fructofuranosidase 
SPAC20G8.10c	atg6	K08334	beclin family protein, involved in autophagy
SPBC21C3.13	rps1901	K02966	40S ribosomal protein S19
SPAPB1E7.09	ogm2	K00728	protein O-mannosyltransferase Ogm2 
SPBC21C3.18	spo4	K02214	serine/threonine protein kinase Spo4
