110557	H2-Q6	K06751	histocompatibility 2, Q region locus 6
110006	Gusb	K01195	glucuronidase, beta 
24010	Ik	K13109	IK cytokine
73390	Msl3l2	K18403	male-specific lethal 3-like 2 (Drosophila)
11542	Adora3	K04268	adenosine A3 receptor
11540	Adora2a	K04266	adenosine A2a receptor
11541	Adora2b	K04267	adenosine A2b receptor
258399	Olfr1289	K04257	olfactory receptor 1289
258398	Olfr1295	K04257	olfactory receptor 1295
230737	Gnl2	K14537	guanine nucleotide binding protein-like 2 (nucleolar)
11545	Parp1	K10798	poly (ADP-ribose) polymerase family, member 1 
258395	Olfr1288	K04257	olfactory receptor 1288
258394	Olfr1328	K04257	olfactory receptor 1328
11548	Adra1b	K04136	adrenergic receptor, alpha 1b
11549	Adra1a	K04135	adrenergic receptor, alpha 1a
258391	Olfr1277	K04257	olfactory receptor 1277
258390	Olfr1276	K04257	olfactory receptor 1276
258393	Olfr1325	K04257	olfactory receptor 1325
258392	Olfr190	K04257	olfactory receptor 190
19395	Rasgrp2	K12361	RAS, guanyl releasing protein 2
245533	Awat1	K11171	acyl-CoA wax alcohol acyltransferase 1 
22260	Nr1h2	K08535	nuclear receptor subfamily 1, group H, member 2
213573	Cracr2b	K17199	calcium release activated channel regulator 2B
245537	Nlgn3	K07378	neuroligin 3
213575	Dync2li1	K10417	dynein cytoplasmic 2 light intermediate chain 1
19712	Rest	K09222	RE1-silencing transcription factor
22268	Upk1b	K17347	uroplakin 1B
223649	Nrbp2	K08875	nuclear receptor binding protein 2
54367	Zfp326	K13204	zinc finger protein 326
244486	Adam29	K16069	a disintegrin and metallopeptidase domain 29
16641	Klrc1	K06541	killer cell lectin-like receptor subfamily C, member 1
215303	Camk1g	K08794	calcium/calmodulin-dependent protein kinase I gamma 
286942	Kif19a	K10401	kinesin family member 19A
74018	Als2	K04575	amyotrophic lateral sclerosis 2 (juvenile)
665113	Tnik	K08840	TRAF2 and NCK interacting kinase 
74016	Phf19	K11486	PHD finger protein 19
74011	Slc25a27	K15112	solute carrier family 25, member 27
235386	Hykk	K18201	hydroxylysine kinase 1 
74012	Rap2b	K07838	RAP2B, member of RAS oncogene family
27370	Rps26	K02976	ribosomal protein S26
52864	Slx4	K10484	SLX4 structure-specific endonuclease subunit homolog (S. cerevisiae)
27373	Csnk1e	K08960	casein kinase 1, epsilon 
27374	Prmt5	K02516	protein arginine N-methyltransferase 5 
27375	Tjp3	K06097	tight junction protein 3
27376	Slc25a10	K13577	solute carrier family 25 (mitochondrial carrier, dicarboxylate transporter), member 10
27377	Yme1l1	K08955	YME1-like 1 (S. cerevisiae)
27379	Tcl1b1	K16836	T cell leukemia/lymphoma 1B, 1
113859	Vmn1r29	K04614	vomeronasal 1 receptor 29
504186	Chrna10	K04811	cholinergic receptor, nicotinic, alpha polypeptide 10
11546	Parp2	K10798	poly (ADP-ribose) polymerase family, member 2 
260299	Cadm4	K06783	cell adhesion molecule 4
260298	Fev	K09437	FEV (ETS oncogene family)
57294	Rps27	K02978	ribosomal protein S27
57295	Icmt	K00587	isoprenylcysteine carboxyl methyltransferase 
57296	Psmd8	K03031	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8
260296	Trim61	K12029	tripartite motif-containing 61
233833	Tnrc6a	K18412	trinucleotide repeat containing 6a
15368	Hmox1	K00510	heme oxygenase (decycling) 1 
16709	Ktn1	K17975	kinectin 1
233836	Slc5a11	K14391	solute carrier family 5 (sodium/glucose cotransporter), member 11
230738	Zc3h12a	K18668	zinc finger CCCH type containing 12A
16706	Ksr1	K14958	kinase suppressor of ras 1
258397	Olfr1303	K04257	olfactory receptor 1303
259048	Olfr600	K04257	olfactory receptor 600
259049	Olfr618	K04257	olfactory receptor 618
12018	Bak1	K14021	BCL2-antagonist/killer 1
16644	Kng1	K03898	kininogen 1
259042	Olfr1351	K04257	olfactory receptor 1351
12014	Bach2	K09042	BTB and CNC homology 2
12017	Bag1	K09555	BCL2-associated athanogene 1
259041	Olfr1414	K04257	olfactory receptor 1414
259046	Olfr679	K04257	olfactory receptor 679
259047	Olfr683	K04257	olfactory receptor 683
259044	Olfr1353	K04257	olfactory receptor 1353
259045	Olfr669	K04257	olfactory receptor 669
52468	Ctdsp2	K15731	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2 
52469	Coa3	K18175	cytochrome C oxidase assembly factor 3
26397	Map2k3	K04432	mitogen-activated protein kinase kinase 3 
26396	Map2k2	K04369	mitogen-activated protein kinase kinase 2 
