Dmel_CG43398	scrib	K16175	scribbled
Dmel_CG4924	icln	K05019	CG4924 gene product from transcript CG4924-RA
Dmel_CG2259	Gclc	K11204	Glutamate-cysteine ligase catalytic subunit 
Dmel_CG2257	Ubc-E2H	K10576	CG2257 gene product from transcript CG2257-RA 
8546	ppk26	K03440	pickpocket 26
Dmel_CG2253	Upf2	K14327	CG2253 gene product from transcript CG2253-RA
Dmel_CG5212	Pli	K11964	Pellino
4027	Act5C	K05692	Actin 5C
7109	mts	K04382	microtubule star
Dmel_CG40451	Tim17b	K17795	CG40451 gene product from transcript CG40451-RA
Dmel_CG5216	Sir2	K11411	CG5216 gene product from transcript CG5216-RA 
Dmel_CG5215	Zn72D	K13203	Zinc-finger protein at 72D
Dmel_CG5219	mRpL15	K02876	mitochondrial ribosomal protein L15
Dmel_CG10772	Fur1	K01349	Furin 1 
Dmel_CG18041	dgt1	K18401	dim gamma-tubulin 1
Dmel_CG43782	orb2	K02602	CG43782 gene product from transcript CG43782-RH
Dmel_CG4633	Aats-ala-m	K01872	mitochondrial alanyl-tRNA synthetase 
8166	unc-5	K07521	CG8166 gene product from transcript CG8166-RB
Dmel_CG4637	hh	K06224	hedgehog 
Dmel_CG11607	H2.0	K09339	Homeodomain protein 2.0
Dmel_CG11606	Rpp30	K03539	RNaseP protein p30
Dmel_CG11198	ACC	K11262	Acetyl-CoA carboxylase 
32528	parvin	K06275	CG32528 gene product from transcript CG32528-RB
Dmel_CG43758	sli	K06839	slit
Dmel_CG12559	rl	K04371	rolled 
3994	ZnT35C	K14689	Zinc transporter 35C
Dmel_CG32076	Alg10	K03850	Alpha 3 glucosyltransferase 
Dmel_CG11194	Hey	K09091	Hairy/E(spl)-related with YRPW motif
3991	TppII	K01280	tripeptidyl-peptidase II 
18247	shark	K17512	SH2 ankyrin repeat kinase 
Dmel_CG8844	Pdsw	K03966	CG8844 gene product from transcript CG8844-RB 
32300	oxt	K00771	peptide O-xylosyltransferase 
Dmel_CG4379	Pka-C1	K04345	cAMP-dependent protein kinase 1 
1158	Tim17b1	K17795	CG1158 gene product from transcript CG1158-RA 
Dmel_CG10489	Pole2	K02325	CG10489 gene product from transcript CG10489-RA 
6155	Roe1	K03687	CG6155 gene product from transcript CG6155-RA
Dmel_CG12008	kst	K06115	karst
Dmel_CG10480	Rcc1	K11493	Regulator of chromosome condensation 1 ortholog (H. sapiens)
Dmel_CG2674	Sam-S	K00789	S-adenosylmethionine Synthetase 
Dmel_CG2677	eIF2B-beta	K03754	CG2677 gene product from transcript CG2677-RA 
Dmel_CG2671	l(2)gl	K06094	lethal (2) giant larvae
Dmel_CG2670	Taf7	K03132	TBP-associated factor 7
Dmel_CG2128	Hdac3	K11404	Histone deacetylase 3 
Dmel_CG5454	snRNP-U1-C	K11095	small ribonucleoprotein particle U1 subunit C
31911	Ent2	K15014	Equilibrative nucleoside transporter 2
Dmel_CG5450	Cdlc2	K10418	Cytoplasmic dynein light chain 2 
Dmel_CG5451	Smu1	K13111	SMU1 ortholog
Dmel_CG5452	dnk	K05961	deoxyribonucleoside kinase 
4738	Nup160	K14303	Nucleoporin 160kD
Dmel_CG7776	E(Pc)	K11322	Enhancer of Polycomb
6798	nAChRbeta2	K05312	nicotinic Acetylcholine Receptor beta2
Dmel_CG1245	MED27	K15170	Mediator complex subunit 27
4527	slik	K08836	Sterile20-like kinase 
32789	HIP	K09560	Hsc/Hsp70-interacting protein
Dmel_CG11992	Rel	K09255	Relish
Dmel_CG11994	Ada	K01488	Adenosine deaminase 
Dmel_CG13431	Mgat1	K00726	UDP-GlcNAc:a-3-D-mannoside-beta-1,2-N-acetylglucosaminyltransferase I 
Dmel_CG34361	Dgk	K00901	Diacyl glycerol kinase 
Dmel_CG45110	tau	K04380	CG45110 gene product from transcript CG45110-RH
Dmel_CG17347	l(2)37Ce	K10428	lethal (2) 37Ce
Dmel_CG17342	Lk6	K04372	CG17342 gene product from transcript CG17342-RA 
4414	Ugt58Fa	K00699	CG4414 gene product from transcript CG4414-RB 
Dmel_CG4852	Sras	K08658	severas 
Dmel_CG40478	Dyrk3	K18669	Dual-specificity tyrosine phosphorylation-regulated kinase 3 
Dmel_CG6370	OstDelta	K12667	Oligosaccharide transferase Delta subunit 
11012	Ugt37a1	K00699	UDP-glycosyltransferase 37a1 
Dmel_CG17348	drl	K05128	derailed 
Dmel_CG10673	Prpk	K08851	p53-related protein kinase ortholog 
Dmel_CG9606	Rrp45	K03678	CG9606 gene product from transcript CG9606-RB 
Dmel_CG9092	Gal	K12309	beta galactosidase 
Dmel_CG13852	mats	K06685	mob as tumor suppressor
Dmel_CG11979	Rpb5	K03013	CG11979 gene product from transcript CG11979-RB 
Dmel_CG5942	brm	K11647	brahma 
Dmel_CG4448	wda	K03130	will decrease acetylation
4659	Srp54k	K03106	Signal recognition particle protein 54k
Dmel_CG6226	FK506-bp1	K14826	FK506-binding protein 1 
Dmel_CG6224	dbo	K10457	diablo
Dmel_CG10670	Gen	K15338	XPG-like endonuclease 
Dmel_CG10390	mia	K03131	meiosis I arrest
Dmel_CG2072	Mad1	K06638	CG2072 gene product from transcript CG2072-RA
Dmel_CG10392	sxc	K09667	super sex combs 
5670	Atpalpha	K01539	Na pump alpha subunit 
Dmel_CR31850	snRNA:U2:34ABa	K14277	small nuclear RNA U2 at 34ABa
Dmel_CG33264	Or69a	K08471	Odorant receptor 69a
Dmel_CG10001	AstA-R2	K04233	Allatostatin A receptor 2
Dmel_CG10002	fkh	K08035	fork head
Dmel_CG4445	pgant3	K00710	polypeptide GalNAc transferase 3 
9526	frj	K13516	farjavit
8308	alphaTub67C	K07374	alpha-Tubulin at 67C
Dmel_CG15077	Cyp12b2	K15004	CG15077 gene product from transcript CG15077-RA 
17256	Nek2	K08857	CG17256 gene product from transcript CG17256-RA 
6058	Ald	K01623	Aldolase 
Dmel_CG1913	alphaTub84B	K07374	alpha-Tubulin at 84B
7995	Gk	K00864	Glycerol kinase 
Dmel_CG6824	ovo	K09216	CG6824 gene product from transcript CG6824-RE
Dmel_CG33486	asparagine-synthetase	K01953	asparagine synthetase 
Dmel_CG6794	Dif	K09255	Dorsal-related immunity factor
Dmel_CG15707	krimp	K18413	krimper
9520	C1GalTA	K00731	Core 1 Galactosyltransferase A 
4349	Fer3HCH	K00522	Ferritin 3 heavy chain homologue
Dmel_CG6822	ergic53	K10080	CG6822 gene product from transcript CG6822-RB
Dmel_CG10951	niki	K08857	nimA-like kinase 
Dmel_CG13232	BBS4	K16531	Bardet-Biedl syndrome 4 ortholog (H. sapiens)
Dmel_CG10234	Hs2st	K02513	Heparan sulfate 2-O-sulfotransferase 
5825	His3.3A	K11253	Histone H3.3A
Dmel_CG4443	crl	K04555	courtless 
Dmel_CG1912	Gycalpha99B	K12318	Guanylyl cyclase alpha-subunit at 99B 
Dmel_CG13922	mRpL46	K17427	mitochondrial ribosomal protein L46 
42631	mtTFB1	K15266	Mitochondrial Transcription Factor B1 
Dmel_CG2109	mRpL44	K17425	mitochondrial ribosomal protein L44 
Dmel_CG2108	Rab23	K06234	CG2108 gene product from transcript CG2108-RA
Dmel_CG10847	enc	K02360	encore
Dmel_CG13927	GC	K10106	gamma-glutamyl carboxylase 
Dmel_CG33855	His1:CG33855	K11275	CG33855 gene product from transcript CG33855-RA
Dmel_CG6312	Rfx	K09173	CG6312 gene product from transcript CG6312-RC
Dmel_CG2101	mRpS35	K17413	mitochondrial ribosomal protein S35
Dmel_CG6311	Edc3	K12615	Enhancer of decapping 3
Dmel_CG5585	Rbbp5	K14961	CG5585 gene product from transcript CG5585-RA
Dmel_CG33856	His2A:CG33856	K11251	CG33856 gene product from transcript CG33856-RA
Dmel_CG2105	Corin	K09614	CG2105 gene product from transcript CG2105-RC 
6050	EfTuM	K02358	Elongation factor Tu mitochondrial
Dmel_CG33002	mRpL27	K02899	mitochondrial ribosomal protein L27
Dmel_CG33857	His3:CG33857	K11253	CG33857 gene product from transcript CG33857-RA
9430	Zip42C.2	K14709	Zinc/iron regulated transporter-related protein 42C.2
11611	Tim13	K17781	CG11611 gene product from transcript CG11611-RA 
Dmel_CG3027	pyd3	K01431	CG3027 gene product from transcript CG3027-RA 
18347	GC1	K15107	Glutamate Carrier 1
6372	S-Lap1	K11142	Sperm-Leucylaminopeptidase 1 
Dmel_CG13880	mRpL17	K02879	mitochondrial ribosomal protein L17
Dmel_CG4738	Nup160	K14303	Nucleoporin 160kD
Dmel_CG12532	AP-1-2beta	K12392	Adaptor Protein complex 1/2, beta subunit
Dmel_CG1240	Non2	K15223	Novel nucleolar protein 2
Dmel_CG6172	vnd	K08029	ventral nervous system defective
Dmel_CG6170	HDAC6	K11407	CG6170 gene product from transcript CG6170-RA 
10142	Ance-5	K01283	CG10142 gene product from transcript CG10142-RA 
Dmel_CG6176	Grip75	K16571	CG6176 gene product from transcript CG6176-RA
7623	sll	K15276	slalom
Dmel_CG6174	Arp1	K16575	Actin-related protein 1
Dmel_CG6502	E(z)	K11430	Enhancer of zeste 
Dmel_CG33853	His2A:CG33853	K11251	CG33853 gene product from transcript CG33853-RA
Dmel_CG3753	Marcal1	K14440	CG3753 gene product from transcript CG3753-RA
