sll0289	minD	K03609	septum site-determining protein MinD
slr0072	gidB	K03501	16S rRNA methyltransferase GidB
slr1452	sbpA	K02048	sulfate binding protein SbpA
slr1453	cysT	K02046	sulfate ABC transporter permease
slr0018	fumC	K01679	fumarate hydratase 
slr1454	cysW	K02047	sulfate ABC transporter permease
slr1455	cysA	K02045	sulfate ABC transporter permease
slr0015	lpxB	K00748	lipid-A-disaccharide synthase 
slr0014	mgtC	K07507	Mg2+ transport ATPase
slr0017	murZ	K00790	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 
slr1459	apcF	K02097	phycobilisome core component
slr0012	rbcS	K01602	ribulose bisphosphate carboxylase small subunit
slr1265	rpoC1	K03046	DNA-directed RNA polymerase subunit gamma 
slr1267	mrdB	K03588	rod-shape-determining protein
slr1518	menA	K02548	1,4-dihydroxy-2-naphthoate octaprenyltransferase
sll0945	glgA	K00703	glycogen synthase 
sll0947	lrtA	K05808	light repressed protein
slr1511	fabH	K00648	3-oxoacyl-ACP synthase 
slr1510	plsX	K03621	glycerol-3-phosphate acyltransferase PlsX
slr1517	leuB	K00052	3-isopropylmalate dehydrogenase 
slr1689	mutM	K10563	formamidopyrimidine-DNA glycosylase
sll1425	proS	K01881	prolyl-tRNA synthetase 
sll1382	petF	K02639	ferredoxin
sll1383	suhB	K01092	extragenic suppressor SuhB
slr1139	trxA	K03671	thioredoxin
slr0798	ziaA	K01534	ATPase P
slr1179	anmK	K09001	anhydro-N-acetylmuramic acid kinase
sll1941	gyrA	K02469	DNA gyrase subunit A
slr0646	dacB	K07259	penicillin-binding protein 4
slr0649	metG	K01874	methionyl-tRNA synthetase 
sll1540	dpm1	K00721	dolichyl-phosphate-mannose synthase
sll0401	gltA	K01647	citrate synthase 
sll0402	aspC	K00812	aspartate aminotransferase 
slr1424	murB	K00075	UDP-N-acetylenolpyruvoylglucosamine reductase
sll0404	glcD	K00104	glycolate oxidase subunit GlcD
slr0444	aroA	K00800	3-phosphoshikimate 1-carboxyvinyltransferase 
slr0084	hisH	K02501	imidazole glycerol phosphate synthase subunit HisH
slr0161	pilT	K02669	twitching motility protein
slr0477	purN	K11175	phosphoribosylglycinamide formyltransferase 
slr0088	crtO	K02292	b-carotene ketolase
slr0089	erg6	K05928	delta(24)-sterol C-methyltransferase
slr0165	clpP	K01358	ATP-dependent Clp protease proteolytic subunit 
slr0164	clpP	K01358	ATP-dependent Clp protease-like-protein
slr1463	fus	K02355	elongation factor G
slr0448	sms	K04485	DNA repair protein RadA
slr0854	phr	K01669	deoxyribopyrimidine photolyase
slr1830	phbC	K03821	poly(3-hydroxyalkanoate) synthase
sll0629	psaK	K02698	photosystem I subunit X
slr1834	psaA	K02689	photosystem I P700 chlorophyll a apoprotein A1
slr1835	psaB	K02690	photosystem I P700 chlorophyll a apoprotein A2
sll0587	pykF	K00873	pyruvate kinase
slr0288	glnN	K01915	glutamate--ammonia ligase
sll0621	dsbD	K06196	thiol:disulfide interchange protein DsbD
sll0622	nadA	K03517	quinolinate synthetase
ssr0390	psaK	K02698	photosystem I reaction center subunit X
slr0839	hemH	K01772	ferrochelatase 
slr0838	purM	K01933	phosphoribosylaminoimidazole synthetase 
