Synpcc7942_0959	obgE	K03979	GTPase ObgE
Synpcc7942_0411	trpA	K01695	tryptophan synthase subunit alpha 
Synpcc7942_1441	cobD	K02227	cobalamin biosynthesis protein 
Synpcc7942_1509	mnmA	K00566	tRNA-specific 2-thiouridylase MnmA 
Synpcc7942_0984	recO	K03584	DNA repair protein RecO
Synpcc7942_2022	nusA	K02600	transcription elongation factor NusA
Synpcc7942_0835	ruvB	K03551	Holliday junction DNA helicase RuvB 
Synpcc7942_2020	infB	K02519	translation initiation factor IF-2
Synpcc7942_0142	secD	K03072	preprotein translocase subunit SecD
Synpcc7942_0848	uvrA	K03701	excinuclease ABC subunit A
Synpcc7942_0396	purH	K00602	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase 
Synpcc7942_1615	rnpA	K03536	ribonuclease P 
Synpcc7942_2029	pgi	K01810	glucose-6-phosphate isomerase 
Synpcc7942_1369	recR	K06187	recombination protein RecR
Synpcc7942_1715	upp	K00761	uracil phosphoribosyltransferase 
Synpcc7942_1093	anmK	K09001	anhydro-N-acetylmuramic acid kinase
Synpcc7942_1865	ppnK	K00858	inorganic polyphosphate/ATP-NAD kinase 
Synpcc7942_2393	gltX	K01885	glutamyl-tRNA synthetase 
Synpcc7942_2348	queA	K07568	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
Synpcc7942_0783	hisG	K00765	ATP phosphoribosyltransferase 
Synpcc7942_0160	era	K03595	GTP-binding protein Era
Synpcc7942_2530	rpsB	K02967	30S ribosomal protein S2
Synpcc7942_0021	cbiJ	K05895	cobalt-precorrin-6x reductase 
Synpcc7942_1099	ubiE	K03183	ubiquinone/menaquinone biosynthesis methyltransferase 
Synpcc7942_2082	fusA	K02355	elongation factor G
Synpcc7942_2537	clpP	K01358	ATP-dependent Clp protease proteolytic subunit 
Synpcc7942_2426	petM	K02643	cytochrome b6-f complex subunit PetM
Synpcc7942_2221	rplX	K02895	50S ribosomal protein L24
Synpcc7942_2222	rplN	K02874	50S ribosomal protein L14
Synpcc7942_2223	rpsQ	K02961	30S ribosomal protein S17
Synpcc7942_0559	hslO	K04083	heat shock protein 33
Synpcc7942_2225	rplP	K02878	50S ribosomal protein L16
Synpcc7942_2226	rpsC	K02982	30S ribosomal protein S3
Synpcc7942_1653	gldA	K00005	glycerol dehydrogenase 
Synpcc7942_2228	rpsS	K02965	30S ribosomal protein S19
Synpcc7942_2229	rplB	K02886	50S ribosomal protein L2
Synpcc7942_2343	psaI	K02696	photosystem I reaction center subunit VIII
Synpcc7942_2340	engA	K03977	GTP-binding protein EngA
Synpcc7942_0118	gatB	K02434	aspartyl/glutamyl-tRNA amidotransferase subunit B 
Synpcc7942_0404	prfB	K02836	peptide chain release factor 2
Synpcc7942_2206	rplM	K02871	50S ribosomal protein L13
Synpcc7942_0012	rpsF	K02990	30S ribosomal protein S6
Synpcc7942_0990	cobU	K02231	adenosylcobinamide kinase 
Synpcc7942_1636	phhB	K01724	pterin-4-alpha-carbinolamine dehydratase 
Synpcc7942_R0017	ssrA	K15035	ssrA
Synpcc7942_2230	rplW	K02892	50S ribosomal protein L23
Synpcc7942_2207	truA	K06173	tRNA pseudouridine synthase A 
Synpcc7942_2117	gatA	K02433	aspartyl/glutamyl-tRNA amidotransferase subunit A 
Synpcc7942_2299	rpsO	K02956	30S ribosomal protein S15
Synpcc7942_2298	ruvA	K03550	Holliday junction DNA helicase RuvA
Synpcc7942_2110	fmt	K00604	methionyl-tRNA formyltransferase 
Synpcc7942_1945	uvrC	K03703	excinuclease ABC subunit C
Synpcc7942_2219	rpsH	K02994	30S ribosomal protein S8
Synpcc7942_2218	rplF	K02933	50S ribosomal protein L6
Synpcc7942_1705	psbI	K02710	photosystem II reaction center I protein I
Synpcc7942_2215	rplO	K02876	50S ribosomal protein L15
Synpcc7942_2214	secY	K03076	preprotein translocase subunit SecY
Synpcc7942_2217	rplR	K02881	50S ribosomal protein L18
Synpcc7942_2216	rpsE	K02988	30S ribosomal protein S5
Synpcc7942_1900	dcd	K01494	deoxycytidine triphosphate deaminase 
Synpcc7942_0018	glyS	K01879	glycyl-tRNA synthetase subunit beta 
Synpcc7942_2213	adk	K00939	adenylate kinase 
Synpcc7942_1277	rplT	K02887	50S ribosomal protein L20
