Rv2763c	dfrA	K00287	dihydrofolate reductase
Rv1323	fadA4	K00626	acetyl-CoA acetyltransferase
Rv0198c	zmp1	K07386	zinc metalloprotease
Rv2555c	alaS	K01872	alanine--tRNA ligase
Rv0231	fadE4	K00249	acyl-CoA dehydrogenase FadE4
Rv2773c	dapB	K00215	4-hydroxy-tetrahydrodipicolinate reductase
Rv0233	nrdB	K00526	ribonucleoside-diphosphate reductase subunit beta NrdB
Rv0438c	moeA2	K03750	molybdopterin molybdenumtransferase
Rv1299	prfA	K02835	peptide chain release factor PrfA
Rv0237	lpqI	K01207	lipoprotein LpqI
Rv3792	aftA	K13686	arabinofuranosyltransferase
Rv2122c	hisE	K01523	phosphoribosyl-ATP pyrophosphatase
Rv2072c	cobL	K00595	precorrin-6Y C(5,15)-methyltransferase
Rv1448c	tal	K00616	transaldolase
Rv3534c	hsaF	K01666	4-hydroxy-2-oxovalerate aldolase
Rv2364c	era	K03595	GTPase Era
Rv1737c	narK2	K02575	nitrate/nitrite transporter
Rv0971c	echA7	K01692	enoyl-CoA hydratase EchA7
Rv3731	ligC	K01971	DNA ligase C
Rv0734	mapA	K01265	methionine aminopeptidase
Rv0735	sigL	K03088	ECF RNA polymerase sigma factor SigL
Rv2916c	ffh	K03106	signal recognition particle protein
Rv1859	modC	K02017	molybdenum ABC transporter ATP-binding protein ModC
Rv3756c	proZ	K05846	glycine betaine/carnitine/choline/L-proline ABC transporter permease ProZ
Rv0732	secY	K03076	preprotein translocase SecY
Rv2612c	pgsA1	K00995	CDP-diacylglycerol--inositol 3-phosphatidyltransferase
Rv2604c	snoP	K08681	glutamine amidotransferase SnoP
Rv0937c	mku	K10979	non-homologous end joining protein Ku
Rv1850	ureC	K01428	urease subunit alpha
Rv0470c	pcaA	K00574	cyclopropane mycolic acid synthase
Rv1857	modA	K02020	molybdate ABC transporter substrate-binding lipoprotein ModA
Rv3568c	hsaC	K16049	extradiol dioxygenase
Rv0902c	prrB	K07655	two component sensor histidine kinase PrrB
Rv1141c	echA11	K01692	enoyl-CoA hydratase EchA11
Rv2677c	hemY	K00231	protoporphyrinogen oxidase
Rv2740	ephG	K10533	epoxide hydrolase
Rv1253	deaD	K05592	ATP-dependent RNA helicase DeaD
Rv2786c	ribF	K11753	bifunctional riboflavin kinase/FMN adenylyltransferase
Rv1391	dfp	K13038	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase
Rv1390	rpoZ	K03060	DNA-directed RNA polymerase subunit omega
Rv0423c	thiC	K03147	phosphomethylpyrimidine synthase
Rv1392	metK	K00789	S-adenosylmethionine synthetase
Rv1471	trxB1	K00384	thioredoxin
Rv3883c	mycP1	K14743	membrane-anchored mycosin
Rv0126	treS	K05343	trehalose synthase/amylase TreS
Rv1992c	ctpG	K12954	cation transporter ATPase G
Rv2889c	tsf	K02357	elongation factor EF-Ts
Rv3918c	parA	K03496	chromosome partitioning protein ParA
Rv0041	leuS	K01869	leucine--tRNA ligase
Rv2503c	scoB	K01029	succinyl-CoA:3-ketoacid-CoA transferase subunit B
Rv3537	kstD	K05898	3-oxosteroid 1-dehydrogenase
Rv3410c	guaB3	K00088	oxidoreductase
Rv1932	tpx	K11065	thiol peroxidase
Rv1027c	kdpE	K07667	transcriptional regulator KdpE
Rv2188c	pimB	K13668	alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase
Rv2318	uspC	K02027	sugar ABC transporter substrate-binding lipoprotein UspC
Rv2495c	bkdC	K00627	branched-chain keto acid dehydrogenase E2 component
Rv0719	rplF	K02933	50S ribosomal protein L6
Rv2112c	dop	K13571	pup deamidase/depupylase
Rv1942c	mazF5	K07171	toxin MazF5
Rv1007c	metS	K01874	methionine--tRNA ligase
Rv2213	pepB	K01255	cytosol aminopeptidase
Rv3783	rfbD	K09690	O-antigen/lipopolysaccharide ABC transporter permease RfbD
Rv2215	dlaT	K00658	pyruvate dehydrogenase E2 component dihydrolipoamide acyltransferase
Rv1844c	gnd1	K00033	6-phosphogluconate dehydrogenase
Rv2217	lipB	K03801	octanoyltransferase
Rv3248c	sahH	K01251	adenosylhomocysteinase
Rv2218	lipA	K03644	lipoyl synthase
Rv2746c	pgsA3	K00995	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
Rv2358	smtB	K03892	HTH-type transcriptional regulator SmtB
Rv2359	zur	K03711	zinc uptake regulation protein
Rv2163c	pbpB	K03587	penicillin-binding membrane protein PbpB
Rv3473c	bpoA	K00435	peroxidase BpoA
Rv2801c	mazF9	K07171	mRNA interferase MazF9
Rvnr02	rrl	K01980	23S ribosomal RNA
Rvnr03	rrf	K01985	5S ribosomal RNA
Rv0069c	sdaA	K01752	L-serine dehydratase
Rv2382c	mbtC	K04790	polyketide synthetase
Rv2057c	rpmG1	K02913	50S ribosomal protein L33
Rv0858c	dapC	K14267	N-succinyldiaminopimelate aminotransferase DapC
Rv0234c	gabD1	K00135	succinate-semialdehyde dehydrogenase
Rv3763	lpqH	K14953	lipoprotein LpqH
Rv2398c	cysW	K02047	sulfate ABC transporter permease CysW
Rv3206c	moeB1	K11996	adenylyltransferase/sulfurtransferase
