b3357	crp	K10914	cAMP-activated global transcription factor, mediator of catabolite repression
b2519	pbpC	K05367	penicillin-insensitive murein repair transglycosylase
b3355	prkB	K00855	putative phosphoribulokinase
b3352	yheS	K06158	putative transporter subunit of ABC superfamily: ATP-binding component
b3825	pldB	K01048	lysophospholipase L2 
b3350	kefB	K11747	potassium:proton antiporter
b3821	pldA	K01058	outer membrane phospholipase A 
b3828	metR	K03576	methionine biosynthesis regulon transcriptional regulator
b3829	metE	K00549	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase 
b2511	der	K03977	GTPase
b2517	rlmN	K06941	dual specificity 23S rRNA m(2)A2503, tRNA m(2)A37 methyltransferase, SAM-dependent
b3822	recQ	K03654	ATP-dependent DNA helicase 
b2515	ispG	K03526	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase 
b2514	hisS	K01892	histidyl tRNA synthetase 
b2518	ndk	K00940	multifunctional nucleoside diphosphate kinase and apyrimidinic endonuclease and 3'-phosphodiesterase 
b3258	panF	K14392	pantothenate:sodium symporter
b2694	argV	K14219	tRNA-Arg
b2695	serV	K14233	tRNA-Ser
b2924	mscS	K03442	mechanosensitive channel protein, small conductance
b2199	ccmC	K02195	heme exporter subunit
b2198	ccmD	K02196	cytochrome c biogenesis protein
b2196	ccmF	K02198	heme lyase, CcmF subunit
b2195	dsbE	K02199	periplasmic thioredoxin of cytochrome c-type biogenesis
b2925	fbaA	K01624	fructose-bisphosphate aldolase, class II 
b2193	narP	K07685	response regulator in two-component regulatory system with NarQ or NarX
b3734	atpA	K02111	F1 sector of membrane-bound ATP synthase, alpha subunit 
b3735	atpH	K02113	F1 sector of membrane-bound ATP synthase, delta subunit 
b3736	atpF	K02109	F0 sector of membrane-bound ATP synthase, subunit b 
b3737	atpE	K02110	F0 sector of membrane-bound ATP synthase, subunit c 
b3730	glmU	K04042	fused N-acetyl glucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyl transferase 
b3731	atpC	K02114	F1 sector of membrane-bound ATP synthase, epsilon subunit 
b3732	atpD	K02112	F1 sector of membrane-bound ATP synthase, beta subunit 
b3733	atpG	K02115	F1 sector of membrane-bound ATP synthase, gamma subunit 
b2607	trmD	K00554	tRNA m(1)G37 methyltransferase, SAM-dependent 
b2606	rplS	K02884	50S ribosomal subunit protein L19
b3738	atpB	K02108	F0 sector of membrane-bound ATP synthase, subunit a 
b3739	atpI	K02116	ATP synthase, membrane-bound accessory factor 
b2601	aroF	K01626	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tyrosine-repressible 
b2600	tyrA	K14187	fused chorismate mutase T/prephenate dehydrogenase 
b2175	mepS	K13694	murein DD-endopeptidase, space-maker hydrolase, mutational suppressor of prc thermosensitivity, outer membrane lipoprotein
b2177	yejA	K13893	microcin C transporter YejABEF, periplasmic binding protein
b3452	ugpA	K05814	glycerol-3-phosphate transporter subunit
b2171	yeiP	K02356	elongation factor P-like protein
b2170	setB	K03291	lactose/glucose efflux system
b3455	livG	K01995	leucine/isoleucine/valine transporter subunit
b2179	yejE	K13895	microcin C transporter YejABEF, permease subunit
b2178	yejB	K13894	microcin C transporter YejABEF, permease subunit
b3454	livF	K01996	leucine/isoleucine/valine transporter subunit
b2997	hybO	K06282	hydrogenase 2, small subunit 
b2994	hybC	K06281	hydrogenase 2, large subunit 
b2993	hybD	K03605	maturation protease for hydrogenase 2
b3919	tpiA	K01803	triosephosphate isomerase 
b0047	kefC	K11745	potassium:proton antiporter
b1897	otsB	K01087	trehalose-6-phosphate phosphatase, biosynthetic 
b1896	otsA	K00697	trehalose-6-phosphate synthase 
b3916	pfkA	K00850	6-phosphofructokinase I 
b3359	argD	K00821	bifunctional acetylornithine aminotransferase/succinyldiaminopimelate aminotransferase 
b3911	cpxA	K07640	sensory histidine kinase in two-component regulatory system with CpxR
b3912	cpxR	K07662	response regulator in two-component regulatory system with CpxA
b1890	motA	K02556	proton conductor component of flagella motor
b3205	yhbJ	K06958	adaptor protein RapZ for GlmZ/GlmY sRNA decay
b2146	preT	K17722	dihydropyrimidine dehydrogenase, NADH-dependent, subunit N
b0046	kefF	K11746	potassium-efflux system ancillary protein for KefC, glutathione-regulated
b1096	pabC	K02619	4-amino-4-deoxychorismate lyase component of para-aminobenzoate synthase multienzyme complex 
b1095	fabF	K09458	3-oxoacyl-[acyl-carrier-protein] synthase II 
b1093	fabG	K00059	3-oxoacyl-[acyl-carrier-protein] reductase 
b1091	fabH	K00648	3-oxoacyl-[acyl-carrier-protein] synthase III 
b1090	plsX	K03621	putative phosphate acyltransferase
b1099	holB	K02341	DNA polymerase III, delta prime subunit 
b1098	tmk	K00943	thymidylate kinase 
b1918	yecS	K10009	ABC family putative inner membrane permease
b2777	queE	K10026	7-carboxy-7-deazaguanine synthase
b2779	eno	K01689	enolase 
b1272	sohB	K04774	inner membrane protein, S49 peptidase family protein
b1270	btuR	K00798	cob(I)yrinic acid a,c-diamide adenosyltransferase 
b1277	ribA	K01497	GTP cyclohydrolase II 
b1276	acnA	K01681	aconitate hydratase 1 
b1275	cysB	K13634	N-acetylserine-responsive cysteine regulon transcriptional activator
b1274	topA	K03168	DNA topoisomerase I, omega subunit 
b1278	pgpB	K01096	phosphatidylglycerophosphatase B 
b4359	opgB	K01002	phosphoglycerol transferases I and II 
b1913	uvrC	K03703	excinuclease UvrABC, endonuclease subunit
b3351	kefG	K11748	potassium-efflux system ancillary protein for KefB, glutathione-regulated
b4350	hsdR	K01153	endonuclease R Type I restriction enzyme 
b4355	tsr	K05874	methyl-accepting chemotaxis protein I, serine sensor receptor
b0708	phr	K01669	deoxyribodipyrimidine photolyase, FAD-binding 
b1650	nemA	K10680	chromate reductase, quinone reductase, FMN-linked
b1653	lhr	K03724	putative ATP-dependent helicase
b1876	argS	K01887	arginyl-tRNA synthetase 
b1871	cmoB	K15257	tRNA (cmo5U34)-carboxymethyltransferase, carboxy-SAM-dependent
b1870	cmoA	K15256	carboxy-SAM synthase
b1657	ydhP	K08156	putative transporter
b1872	torZ	K07812	trimethylamine N-oxide reductase system III, catalytic subunit 
b1658	purR	K03604	transcriptional repressor, hypoxanthine-binding
b0875	aqpZ	K06188	aquaporin Z
b1879	flhA	K02400	putative flagellar export pore protein
b1878	flhE	K03516	proton seal during flagellar secretion
b0870	ltaE	K01620	L-allo-threonine aldolase, PLP-dependent 
b0871	poxB	K00156	pyruvate dehydrogenase (pyruvate oxidase), thiamine triphosphate-binding, FAD-binding 
b4136	dsbD	K04084	fused thiol:disulfide interchange protein: activator of DsbC/conserved protein 
b4134	pheU	K14231	tRNA-Phe
b4133	cadC	K03765	cadBA operon transcriptional activator
b4132	cadB	K03757	putative lysine/cadaverine transporter
b4131	cadA	K01582	lysine decarboxylase, acid-inducible 
b4139	aspA	K01744	aspartate ammonia-lyase 
b4138	dcuA	K07791	C4-dicarboxylate antiporter
b1479	maeA	K00027	malate dehydrogenase, (decarboxylating, NAD-requiring) (malic enzyme) 
b1478	adhP	K13953	ethanol-active dehydrogenase/acetaldehyde-active reductase 
b1475	fdnH	K08349	formate dehydrogenase-N, Fe-S (beta) subunit, nitrate-inducible
b1474	fdnG	K08348	formate dehydrogenase-N, alpha subunit, nitrate-inducible 
b1476	fdnI	K08350	formate dehydrogenase-N, cytochrome B556 (gamma) subunit, nitrate-inducible
