MPN238	gatB	K02434	aspartyl/glutamyl-tRNA amidotransferase subunit B
MPN223	G07_orf312	K06023	HPr kinase/phosphorylase
MPN672	hpt	K00760	hypoxanthine-guanine phosphoribosyltransferase
MPN230	rpsR	K02963	30S ribosomal protein S18
MPN231	rplI	K02939	50S ribosomal protein L9
MPN232	dnaB	K02314	replicative DNA helicase DnaB
MPN429	pgk	K00927	phosphoglycerate kinase 
MPN156	rbfA	K02834	ribosome binding factor A
MPN235	ung	K03648	uracil-DNA glycosylase
MPN237	gatA	K02433	aspartyl/glutamyl-tRNA amidotransferase subunit A
MPN034	polC	K03763	DNA polymerase III PolC
MPN033	upp	K00761	uracil phosphoribosyltransferase
MPN108	C09_orf404	K00571	hypothetical protein
MPN136	ugpE	K02026	sn-glycerol-3-phosphate transport system permease
MPN135	ugpA	K02025	sn-glycerol-3-phosphate transport system permease
MPN134	ugpC	K10112	sn-glycerol-3-phosphate transport system permease
MPN133	E07_orf301	K02027	lipoprotein
MPN334	bcrA	K01990	ABC transporter ATP-binding protein
MPN336	nadD	K00969	nicotinate-nucleotide adenylyltransferase 
MPN227	fus	K02355	elongation factor G
MPN062	deoD	K03784	purine nucleoside phosphorylase 
MPN175	rplN	K02874	50S ribosomal protein L14
MPN420	glpQ	K01126	glycerophosphoryl diester phosphodiesterase
MPN569	D02_orf108	K07042	metalloprotein
MPN479	P01_orf197	K01118	ACP phosphodieterase
MPN446	rpsD	K02986	30S ribosomal protein S4
MPN636	frr	K02838	ribosome releasing factor
MPN637	cdsA	K00981	CDP-diglyceride synthetase
MPN528	ppa	K01507	inorganic pyrophosphatase 
MPN631	tsf	K02357	elongation factor Ts
MPN632	pyrH	K09903	uridylate kinase
MPN525	G12_orf413	K03346	hypothetical protein
MPN197	pepF	K08602	oligoendopeptidase F
MPN520	ileS	K01870	isoleucyl-tRNA synthetase 
MPN521	ygl3	K03216	rRNA methylase
MPN522	G12_orf210V	K03439	methyltransferase
MPN389	lplA	K03800	lipoate protein ligase
MPN656	rbgA	K14540	ribosomal biogenesis GTPase
MPN307	arcC	K00926	carbamate kinase 
MPN652	mtlD	K00009	mannitol-1-phosphate 5-dehydrogenase 
MPN653	mtlF	K02798	PTS system mannitol-specific transporter subunit IIA
MPN302	pfkA	K00850	6-phosphofructokinase 
MPN303	pyk	K00873	pyruvate kinase 
MPN546	plsX	K03621	glycerol-3-phosphate acyltransferase PlsX
MPN258	yjcW	K02056	sugar ABC transporter ATP-binding protein
MPN545	rnc	K03685	ribonuclease III
MPN543	fmt	K00604	methionyl-tRNA formyltransferase 
MPN658	rplS	K02884	50S ribosomal protein L19
MPN659	trmD	K00554	tRNA (guanine-N(1)-)-methyltransferase
MPN025	tsr	K01624	fructose-bisphosphate aldolase
MPN024	rpoE	K03048	DNA-directed RNA polymerase subunit delta
MPN021	dnaJ	K03686	molecular chaperone DnaJ
MPN023	metS	K01874	methionyl-tRNA synthetase 
MPN022	pip	K01259	proline iminopeptidase
MPN471	rpmG	K02913	50S ribosomal protein L33
MPN029	efp	K02356	elongation factor P
MPN260	rbsC	K02057	sugar (ribose/galactose) ABC transporter permease
MPN259	A65_orf517	K02057	sugar ABC transporter permease
MPN115	infC	K02520	translation initiation factor IF-3
MPN432	artP	K16787	cobalt ABC transporter ATP-binding protein
MPN622	rpsO	K02956	30S ribosomal protein S15
MPN539	rplL	K02935	50S ribosomal protein L7/L12
MPN538	rplJ	K02864	50S ribosomal protein L10
MPN627	ptsI	K08483	PEP-dependent HPr protein kinase phosphoryltransferase enzyme I
MPN229	ssb	K03111	single-stranded DNA binding protein
MPN434	dnaK	K04043	molecular chaperone DnaK
MPN624	rpmB	K02902	50S ribosomal protein L28
MPN533	ackA	K00925	acetate kinase 
MPN629	tpiA	K01803	triosephosphate isomerase
MPN628	pgm	K15633	phosphoglyceromutase 
MPN537	mucB	K02346	UV protection protein MucB
MPN536	ruvB	K03551	Holliday junction DNA helicase RuvB 
MPN535	ruvA	K03550	Holliday junction DNA helicase RuvA
MPN494	yjfU	K02821	phosphotransferase II subunit A
MPN568	spg	K03595	GTPase Era
MPN496	ulaA	K03475	PTS system ascorbate-specific transporter subunit IIC
MPN317	ftsZ	K03531	cell division protein FtsZ
MPN558	gidB	K03501	methyltransferase GidB
MPN492	yjfW	K03079	L-xylulose 5-phosphate 3-epimerase
MPN493	ulaD	K03078	3-keto-L-gulonate-6-phosphate decarboxylase 
MPN557	gidA	K03495	tRNA uridine 5-carboxymethylaminomethyl modification protein GidA
MPN556	argS	K01887	arginyl-tRNA synthetase 
MPN540	rpmF	K02911	50S ribosomal protein L32
MPN550	G12_orf387	K03151	thiamine biosynthesis protein ThiI
MPN553	thrSv	K01868	threonyl-tRNA synthetase
MPN158	yaaC	K11753	riboflavin kinase 
MPN195	GT9_orf434	K16785	cobalt ABC transporter
MPN167	rplW	K02892	50S ribosomal protein L23
MPN014	dnaE	K02316	hypothetical protein
MPN016	rimK	K05844	ribosomal S6 modification protein
MPN017	mtd1	K01491	5,10-methylene-tetrahydrofolate dehydrogenase
MPN018	pmd1	K06147	ABC transporter ATP-binding protein
MPN487	nifS	K11717	cysteine desulfurase
MPN671	ftsH	K03798	cell division protein FtsH
MPN155	infB	K02519	translation initiation factor IF-2
MPN154	nusA	K02600	transcription elongation factor NusA
MPN361	prfA	K02835	peptide chain release factor 1
MPN046	aspS	K01876	aspartyl-tRNA synthetase 
MPN216	amiD	K15582	peptide ABC transporter permease
MPN431	A05_orf317	K16785	permease
MPN298	acpS	K00997	4'-phosphopantetheinyl transferase 
