AT3G50670	U1-70K	K11093	U1 small nuclear ribonucleoprotein-70K
AT3G21860	SK10	K03094	SKP1-like protein 10
AT5G44790	RAN1	K17686	copper-transporting ATPase RAN1
AT5G06710	HAT14	K09338	homeobox-leucine zipper protein HAT14
AT5G48230	ACAT2	K00626	acetoacetyl-CoA thiolase 2
AT2G41220	GLU2	K00284	ferredoxin-dependent glutamate synthase 2
AT1G76490	HMG1	K00021	3-hydroxy-3-methylglutaryl-coenzyme A reductase 1
AT3G47520	MDH	K00026	malate dehydrogenase
AT2G41880	GK-1	K00942	guanylate kinase 1
AT1G13980	GN	K18443	ARF guanine-nucleotide exchange factor GNOM
AT3G14790	RHM3	K12450	rhamnose biosynthetic enzyme 3
AT1G64780	AMT1;2	K03320	ammonium transporter 1;2
AT2G34630	GPS1	K14066	geranyl diphosphate synthase 1
AT2G01120	ORC4	K02606	origin recognition complex subunit 4
AT2G43010	PIF4	K16189	transcription factor PIF4
AT2G32440	KAO2	K04123	Ent-kaurenoic acid oxidase 2
AT5G05970	NEDD1	K16547	protein NEURAL PRECURSOR CELL EXPRESSED, DEVELOPMENTALLY DOWN-REGULATED GENE 1
AT3G14550	GGPS3	K13789	geranylgeranyl pyrophosphate synthase 3
AT1G51660	MKK4	K13413	mitogen-activated protein kinase kinase 4
AT3G60330	HA7	K01535	H(+)-ATPase 7
AT5G12250	TUB6	K07375	beta-6 tubulin
AT1G04630	MEE4	K11353	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13-A
AT1G62800	ASP4	K14454	aspartate aminotransferase 4
AT4G17380	MSH4	K08740	DNA mismatch repair protein MSH4
AT3G10070	TAF12	K03126	TBP-associated factor 12
AT1G80370	CYCA2;4	K06627	cyclin-A2-4
AT1G09210	CRT1b	K08057	calreticulin 1b
AT1G49910	BUB3.2	K02180	cell cycle arrest protein BUB3
AT3G13290	VCR	K12616	varicose-related protein
AT4G02600	MLO1	K08472	MLO-like protein 1
AT1G16280	RH36	K14778	DEAD-box ATP-dependent RNA helicase 36
AT1G30100	NCED5	K09840	9-cis-epoxycarotenoid dioxygenase
AT3G56150	EIF3C	K03252	eukaryotic translation initiation factor 3 subunit C
AT2G28740	HIS4	K11254	histone H4
AT5G59710	VIP2	K12605	VIRE2 interacting protein 2
AT1G11580	PMEPCRA	K01051	methylesterase PCR A
AT5G44480	DUR	K12448	putative UDP-arabinose 4-epimerase 4
AT5G20410	MGD2	K03715	monogalactosyldiacylglycerol synthase 2
AT5G06000	EIF3G2	K03248	eukaryotic translation initiation factor 3G2
AT5G48300	ADG1	K00975	glucose-1-phosphate adenylyltransferase small subunit
AT5G62480	GSTU9	K00799	glutathione S-transferase tau 9
AT4G05050	UBQ11	K08770	ubiquitin 11
AT1G02950	GSTF4	K00799	glutathione S-transferase F4
AT3G23820	GAE6	K08679	UDP-D-glucuronate 4-epimerase 6
AT4G02020	SWN	K11430	histone-lysine N-methyltransferase EZA1
AT4G35310	CPK5	K13412	calmodulin-domain protein kinase 5
AT1G20510	OPCL1	K10526	OPC-8:0 CoA ligase1
AT4G03510	RMA1	K10666	E3 ubiquitin-protein ligase RMA1
AT4G39800	MIPS1	K01858	myo-inositol-1-phosphate synthase 1
AT4G34570	THY-2	K13998	bifunctional dihydrofolate reductase - thymidylate synthase
AT2G43650	EMB2777	K14767	protein EMBRYO DEFECTIVE 2777
AT1G45145	TRX5	K03671	thioredoxin H5
AT3G60020	SK5	K03094	SKP1-like protein 5
AT4G33090	APM1	K08776	aminopeptidase M1
AT5G58710	ROC7	K01802	cyclophilin ROC7
AT1G19850	MP	K14486	auxin response factor 5
AT1G51780	ILL5	K14664	IAA-amino acid hydrolase ILR1-like 5
AT4G37390	BRU6	K14487	indole-3-acetic acid-amido synthetase GH3.2
AT3G10670	NAP7	K09013	plastidic SufC-like ATP-binding cassette/ATPase
AT3G01280	VDAC1	K15040	voltage dependent anion channel 1
AT2G31865	PARG2	K07759	poly(ADP-ribose) glycohydrolase 2
AT3G21180	ACA9	K01537	calcium-transporting ATPase 9
AT3G06420	ATG8H	K08341	autophagy-related protein 8h
AT1G23080	PIN7	K13947	auxin efflux carrier component 7
AT1G50430	DWF5	K00213	7-dehydrocholesterol reductase
AT5G26030	FC1	K01772	ferrochelatase 1
AT5G22060	J2	K09503	chaperone protein dnaJ 2
AT1G10290	ADL6	K01528	dynamin-like protein 6
AT4G38230	CPK26	K13412	calcium-dependent protein kinase 26
AT3G13320	CAX2	K07300	low affinity calcium antiporter CAX2
AT4G04470	PMP22	K13347	peroxisomal membrane protein PMP22
AT5G07440	GDH2	K00261	glutamate dehydrogenase 2
AT3G10850	GLY2	K01069	hydroxyacylglutathione hydrolase
AT5G17550	PEX19-2	K13337	peroxin 19-2
AT3G52010	scpl37	K16297	serine carboxypeptidase-like 37
AT4G37970	CAD6	K00083	cinnamyl-alcohol dehydrogenase 6
AT1G34065	SAMC2	K15111	S-adenosylmethionine carrier 2
AT4G37010	CEN2	K13448	centrin 2
AT1G10450	SNL6	K11644	paired amphipathic helix protein Sin3-like 6
AT3G46010	ADF1	K05765	actin depolymerizing factor 1
AT4G14716	ARD1	K08967	acireductone dioxygenase 1
AT2G29110	GLR2.8	K05387	glutamate receptor 2.8
AT4G02330	ATPMEPCRB	K01051	Probable pectinesterase/pectinesterase inhibitor 41
AT3G10690	GYRA	K02469	DNA gyrase subunit A
AT1G29260	PEX7	K13341	peroxin 7
AT3G05870	APC11	K03358	anaphase-promoting complex subunit 11
AT1G60170	emb1220	K12844	protein EMBRYO DEFECTIVE 1220
AT5G48010	THAS1	K15821	thalianol synthase 1
AT5G06950	AHBP-1B	K14431	transcription factor TGA2
AT5G47840	AMK2	K00939	adenosine monophosphate kinase
AT2G38120	AUX1	K13946	auxin transporter protein 1
AT4G34370	ARI1	K11968	putative E3 ubiquitin-protein ligase ARI1
AT5G55810	NMNAT	K06210	bifunctional nicotinamide mononucleotide adenyltransferase and nicotinate-nucleotide adenylyltransferase
AT3G54920	PMR6	K01728	putative pectate lyase
AT1G33980	UPF3	K14328	regulator of nonsense transcripts UPF3
AT1G20350	TIM17-1	K17795	translocase inner membrane subunit 17-1
AT5G51700	PBS2	K13458	cysteine and histidine-rich domain-containing protein RAR1
ArthCp085	rpl2	K02886	50S ribosomal protein L2
AT3G17205	UPL6	K10589	E3 ubiquitin-protein ligase UPL6
AT2G02090	ETL1	K14439	protein CHROMATIN REMODELING 19
ArthCp086	ndhB	K05573	NADH dehydrogenase subunit 2
ArthCp081	rps15	K02956	ribosomal protein S15
ArthCp080	ndhH	K05579	NADH dehydrogenase 49 kDa subunit
ArthCt092	trnG	K14225	tRNA-Gly
ArthCt093	trnR	K14219	tRNA-Arg
ArthCt090	trnQ	K14223	tRNA-Gln
ArthCt091	trnS	K14233	tRNA-Ser
ArthCt096	trnY	K14236	tRNA-Tyr
ArthCp088	rps7	K02992	30S ribosomal protein S7
AT2G05990	MOD1	K00208	enoyl-[acyl-carrier-protein] reductase [NADH]
AT5G13050	5-FCL	K01934	5-formyltetrahydrofolate cycloligase
AT2G29680	CDC6	K02213	cell division control 6
AT5G09860	THO1	K12878	THO complex subunit 1
AT3G12120	FAD2	K10256	omega-6 fatty acid desaturase
AT2G16950	TRN1	K18752	transportin 1
AT4G37150	MES9	K08233	methyl esterase 9
AT3G27830	RPL12-A	K02935	50S ribosomal protein L12-1
AT1G70410	BCA4	K01673	beta carbonic anhydrase 4
AT5G27320	GID1C	K14493	gibberellin receptor GID1C
AT1G27680	APL2	K00975	glucose-1-phosphate adenylyltransferase large subunit 2
AT5G03650	SBE2.2	K00700	1,4-alpha-glucan branching enzyme
AT3G21280	UBP7	K11843	ubiquitin-specific protease 7
AT3G44490	hda17	K06067	histone deacetylase 17
AT1G10670	ACLA-1	K01648	ATP-citrate lyase A-1
AT3G53120	VPS37-1	K12185	vacuolar protein-sorting-associated protein 37-1
AT4G04890	PDF2	K09338	homeobox-leucine zipper protein PROTODERMAL FACTOR 2
AT5G16790	THO7	K13176	protein THO7
AT4G35620	CYCB2;2	K05868	cyclin-B2-2
AT2G13650	GONST1	K15356	GDP-mannose transporter GONST1
AT1G74080	MYB122	K09422	myb domain protein 122
AT2G46790	PRR9	K12128	two-component response regulator-like APRR9
AT5G55920	OLI2	K14835	ribosome biogenesis protein OLI2
AT1G15000	scpl50	K09645	serine carboxypeptidase-like 50
AT1G78080	RAP2.4	K09286	ethylene-responsive transcription factor RAP2-4
AT1G73960	TAF2	K03128	TBP-associated factor 2
AT3G14090	EXO70D3	K07195	exocyst subunit exo70 family protein D3
AT2G42830	SHP2	K09264	agamous-like MADS-box protein AGL5
AT4G34710	ADC2	K01583	arginine decarboxylase 2
AT5G16310	UCH1	K05610	ubiquitin thiolesterase UCH1
AT1G60860	AGD2	K12489	ADP-ribosylation factor GTPase-activating protein AGD2
AT1G22760	PAB3	K13126	polyadenylate-binding protein 3
AT3G12230	scpl14	K16296	serine carboxypeptidase-like 14
AT1G72560	PSD	K14288	exportin-T
AT3G55380	UBC14	K10575	ubiquitin-conjugating enzyme E2 14
AT1G61950	CPK19	K13412	calcium-dependent protein kinase 19
AT5G57620	MYB36	K09422	putative transcription factor MYB36
AT5G22330	RIN1	K04499	RuvB-like protein 1
AT2G23410	CPT	K11778	cis-prenyltransferase
AT3G48190	ATM	K04728	serine/threonine-protein kinase ATM
AT3G48170	ALDH10A9	K00130	aldehyde dehydrogenase 10A9
AT5G15840	CO	K12135	zinc finger protein CONSTANS
AT1G64480	CBL8	K06268	calcineurin B-like protein 8
AT1G70700	TIFY7	K13464	putative jasmonate signaling protein JAZ9
AT3G02090	MPPBETA	K17732	probable mitochondrial-processing peptidase subunit beta
AT2G21590	APL4	K00975	glucose-1-phosphate adenylyltransferase large subunit
AT2G02760	UBC2	K10573	ubiquitin-conjugating enzyme E2 A
AT2G01350	QPT	K00767	quinolinate phoshoribosyltransferase
AT3G27720	ARI4	K11968	IBR domain containing protein
AT3G12400	ELC	K12183	protein ELC
