Systematic name	Abundance (data value)	Abundance [ppm]	Size-weighted abundance	Size-weighted abundance [ppm]	Size	Gene name	KO number	KO category
4155	87000000.0	62.0360568111	30450000000.0	62.0360568111	350			
121506	1370000000.0	976.889630243	4.795e+11	976.889630243	350			
12954	195000000.0	139.046334232	68250000000.0	139.046334232	350	CryAa	K09541	Chaperones and folding catalysts
14077	125000000.0	89.1322655331	43750000000.0	89.1322655331	350	FabP3	K08752	PPAR signaling pathway
1415	106000000.0	75.5841611721	37100000000.0	75.5841611721	350			
10815	21600000.0	15.4020554841	7560000000.0	15.4020554841	350			
12955	216000000.0	154.020554841	75600000000.0	154.020554841	350	CryAb	K09542	Chaperones and folding catalysts
380684	28600000.0	20.393462354	10010000000.0	20.393462354	350	NefH	K04574	Cytoskeleton proteins
226180	36000000.0	25.6700924735	12600000000.0	25.6700924735	350	Ina	K07608	Cytoskeleton proteins
18039	129000000.0	91.9844980302	45150000000.0	91.9844980302	350	NefL	K04572	Cytoskeleton proteins
4151	136000000.0	96.9759049001	47600000000.0	96.9759049001	350			
1414	15100000.0	10.7671776764	5285000000.0	10.7671776764	350			
Abpg	10500000.0	7.48711030478	3675000000.0	7.48711030478	350			
20617	24900000.0	17.7551472942	8715000000.0	17.7551472942	350	SncA	K04528	Alzheimer's disease
5354	6129100.0	4.37040454943	2145185000.0	4.37040454943	350			
1417	38200000.0	27.2388203469	13370000000.0	27.2388203469	350			
Bpifa2	306000000.0	218.195786025	1.071e+11	218.195786025	350			
Try5	363000000.0	258.840099108	1.2705e+11	258.840099108	350			
845	13500000.0	9.62628467758	4725000000.0	9.62628467758	350			
21956	31800000.0	22.6752483516	11130000000.0	22.6752483516	350	TnnT2	K12045	Cytoskeleton proteins
10409	38700000.0	27.5953494091	13545000000.0	27.5953494091	350			
22349	1660000000.0	1183.67648628	5.81e+11	1183.67648628	350	Vil1	K05761	Cytoskeleton proteins
218038	12000000.0	8.55669749118	4200000000.0	8.55669749118	350	AmpH	K12562	Fc gamma R-mediated phagocytosis
21954	25100000.0	17.8977589191	8785000000.0	17.8977589191	350	TnnI3	K12044	Cytoskeleton proteins
66473	2120000000.0	1511.68322344	7.42e+11	1511.68322344	350	CtrB1	K01310	Peptidases
19752	1370000000.0	976.889630243	4.795e+11	976.889630243	350	RnaSe1	K01168	Other enzymes
Amy2;Amy2a2	18600000000.0	13262.8811113	6.51e+12	13262.8811113	350			
21924	39600000.0	28.2371017209	13860000000.0	28.2371017209	350	TnnC1	K05865	Calcium signaling pathway
342898	276000000.0	196.804042297	96600000000.0	196.804042297	350			
16204	79400000.0	56.6168150666	27790000000.0	56.6168150666	350	FabP6	K08755	PPAR signaling pathway
5948	466000000.0	332.285085908	1.631e+11	332.285085908	350			
22003	32300000.0	23.0317774138	11305000000.0	23.0317774138	350	Tpm1	K10373	Cytoskeleton proteins
